GO	[-4.56 -0.39]	[-0.39 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.03]	[0.03 0.30]	[0.30 7.02]
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN	-0.502	-1.584	-0.266	-0.502	0.339	5.621	-0.502	0.339	-0.502	0.586	-1.591
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	-0.301	-1.668	-0.301	-0.551	0.301	0.824	-0.551	-1.668	2.633	2.093	-0.969
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	-0.914	-0.914	0.216	-0.914	1.363	-0.406	0.876	2.614	0.491	-0.914	-0.918
GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP	0.510	-0.342	-0.674	-1.290	0.264	0.510	-1.290	5.146	-0.342	-0.674	-0.345
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	-0.351	0.994	-0.831	-0.831	0.256	-0.351	-0.831	-0.831	0.256	-0.351	4.586
GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN	-0.317	-1.374	-0.871	-1.374	0.478	0.286	-0.537	0.725	-0.871	5.160	0.283
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.631	-1.986	-0.251	0.542	-0.407	-0.407	0.770	1.711	1.711	0.357	-2.907
GSE40274_CTRL_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP GSE40274_CTRL_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	-1.132	2.763	0.225	-1.878	-1.132	-1.132	1.333	0.657	-0.393	0.410	0.406
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN	-2.427	0.363	-0.673	-0.673	0.821	2.799	-0.247	-0.247	1.125	-0.247	-1.595
GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_UP GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_UP	2.108	0.258	-0.928	-2.258	0.953	-0.581	-0.928	-0.349	0.668	-0.928	1.664
GSE17721_CPG_VS_GARDIQUIMOD_0.5H_BMDC_UP GSE17721_CPG_VS_GARDIQUIMOD_0.5H_BMDC_UP	-1.165	-1.165	-0.280	-0.582	0.324	0.324	-1.165	2.589	-0.582	1.441	0.604
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP	0.527	-0.872	0.235	-0.872	-0.872	-0.872	2.746	0.527	-0.872	0.527	0.524
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP	-0.914	0.216	1.363	-0.914	-0.914	0.491	0.876	-0.914	0.491	1.363	-0.918
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	-0.928	-0.928	0.258	0.668	0.668	-0.928	0.953	2.587	0.436	-2.258	-0.586
GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP	0.687	-0.653	-0.374	1.384	1.384	0.431	-1.836	-1.836	-0.653	1.006	-0.377
GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN	-1.207	0.573	-0.612	0.302	-0.300	0.302	-1.207	3.144	0.302	0.573	-1.212
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP	-0.643	0.885	0.282	-1.248	-1.248	-1.248	-0.321	1.310	0.540	1.811	-0.323
GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP	1.665	1.665	-0.301	0.301	-1.163	-0.301	-2.597	-0.301	1.301	-0.768	-0.497
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	-1.332	-0.364	-0.705	-0.705	0.797	1.192	-0.705	-0.364	0.246	3.468	-0.709
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN	2.094	-0.733	-0.242	-0.733	1.237	-0.733	-0.733	-1.200	0.370	-1.200	2.082
GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP	-1.836	-0.653	0.239	0.431	0.687	0.687	-0.653	-0.374	1.006	1.819	-1.844
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	0.586	2.248	-0.897	-0.266	-0.502	2.248	-0.897	-0.502	-0.502	-1.584	0.336
