GO	[-5.41 -0.81]	[-0.81 -0.35]	[-0.35 -0.01]	[-0.01 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.03]	[0.03 0.42]	[0.42 1.01]	[1.01 5.77]
PUJANA_BRCA_CENTERED_NETWORK PUJANA_BRCA_CENTERED_NETWORK	-0.763	-1.107	-1.107	-1.107	0.622	-0.511	-0.511	2.612	1.798	-2.212	2.235
GUO_HEX_TARGETS_UP GUO_HEX_TARGETS_UP	-0.915	-0.915	-0.407	4.194	-0.915	0.216	-0.407	-0.915	-0.407	0.874	0.889
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-0.547	-1.637	-0.547	0.803	0.803	1.708	2.940	-0.357	-2.287	-1.161	-0.344
BILD_SRC_ONCOGENIC_SIGNATURE BILD_SRC_ONCOGENIC_SIGNATURE	0.526	-0.874	-0.874	-0.874	0.526	2.046	-0.380	-0.874	-0.874	0.931	0.946
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	-0.999	-0.464	-0.999	-0.204	-0.464	1.752	-0.999	3.071	-0.464	0.425	-0.199
SASSON_RESPONSE_TO_FORSKOLIN_UP SASSON_RESPONSE_TO_FORSKOLIN_UP	0.931	-0.874	0.526	0.235	-0.874	0.235	-0.874	0.931	2.046	-0.874	-0.862
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN	-0.578	-0.999	1.135	1.135	-0.999	0.283	-0.578	2.542	-0.578	0.501	-1.690
TIEN_INTESTINE_PROBIOTICS_2HR_DN TIEN_INTESTINE_PROBIOTICS_2HR_DN	-0.583	-0.583	0.607	-1.167	-0.280	0.323	-0.583	-1.167	0.323	0.323	4.058
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	-0.770	-0.770	-1.418	-1.418	0.426	1.083	1.083	2.027	-0.409	0.214	0.221
LAU_APOPTOSIS_CDKN2A_UP LAU_APOPTOSIS_CDKN2A_UP	-0.248	-0.665	-0.248	1.294	-0.665	1.946	-0.665	1.294	-0.665	-0.248	-0.656
URS_ADIPOCYTE_DIFFERENTIATION_UP URS_ADIPOCYTE_DIFFERENTIATION_UP	0.187	-0.457	-0.457	-0.457	-0.457	0.187	3.777	-0.457	0.187	-0.457	0.586
OZEN_MIR125B1_TARGETS OZEN_MIR125B1_TARGETS	-0.332	2.457	0.795	-0.332	-0.332	0.795	-0.332	-0.332	-0.332	-0.332	-0.328
SMIRNOV_RESPONSE_TO_IR_2HR_UP SMIRNOV_RESPONSE_TO_IR_2HR_UP	-0.332	-0.332	-0.332	-0.332	0.795	-0.332	-0.332	2.457	-0.332	0.795	-0.328
