GO	[-8.57 -0.88]	[-0.88 -0.27]	[-0.27 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.32]	[0.32 0.84]	[0.84 8.92]
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-2.068	0.285	6.984	0.382	-7.214	-7.214	-5.947	0.497	12.991	-0.906	-0.319
TNRC6A_HEK293_Plass TNRC6A_HEK293_Plass	-2.694	-0.594	8.016	0.712	-5.346	-5.346	-5.346	0.548	8.016	-0.594	-0.312
BCCIP_HepG2_POSTAR_eCLIP BCCIP_HepG2_POSTAR_eCLIP	0.416	3.225	10.131	-0.991	-2.533	-5.649	-4.120	-4.120	5.827	-0.493	-1.484
FUS_HEK293T_POSTAR_Piranha_0.01 FUS_HEK293T_POSTAR_Piranha_0.01	-0.504	2.299	11.131	-2.158	-3.546	-4.153	-3.546	-1.007	4.960	-3.546	0.957
HNRNPA1_K562_POSTAR_eCLIP HNRNPA1_K562_POSTAR_eCLIP	-1.218	0.978	7.148	-0.991	-2.991	-4.822	-4.120	-0.991	8.584	0.531	-0.634
PTBP1_HeLa_POSTAR_CIMS PTBP1_HeLa_POSTAR_CIMS	-0.346	2.981	3.318	-1.870	-3.280	-3.280	-5.635	-0.989	5.252	1.116	-0.347
HNRNPU_K562_POSTAR_eCLIP HNRNPU_K562_POSTAR_eCLIP	-1.823	1.043	3.436	-0.989	-2.624	-5.168	-1.823	-2.195	6.642	1.686	0.703
YTHDF3_HEK293T_POSTAR_Piranha_0.01 YTHDF3_HEK293T_POSTAR_Piranha_0.01	-1.506	-0.384	6.867	-0.384	-2.920	-3.607	-3.607	-0.919	5.387	0.451	0.761
YWHAG_K562_POSTAR_eCLIP YWHAG_K562_POSTAR_eCLIP	-1.057	2.944	3.956	-0.523	-2.735	-5.315	-4.507	-0.523	4.324	0.514	0.300
HLTF_K562_POSTAR_eCLIP HLTF_K562_POSTAR_eCLIP	0.321	-0.551	4.231	-0.742	-1.631	-4.087	-3.254	-2.598	5.619	1.437	0.444
YTHDC2_HEK293T_POSTAR_Piranha_0.01 YTHDC2_HEK293T_POSTAR_Piranha_0.01	0.271	1.424	3.535	-0.666	-4.516	-3.440	-2.665	-0.478	5.411	-0.907	0.392
PPIL4_K562_POSTAR_eCLIP PPIL4_K562_POSTAR_eCLIP	-0.373	0.611	2.612	-1.482	-2.888	-4.432	-1.866	-0.373	8.028	0.781	-0.687
TARDBP_H9_POSTAR_iCLIP TARDBP_H9_POSTAR_iCLIP	0.593	2.407	2.072	-0.790	-3.705	-4.806	-2.905	-0.790	3.146	-0.581	1.474
TARDBP_H9_POSTAR_CIMS TARDBP_H9_POSTAR_CIMS	0.664	2.236	2.236	-0.969	-3.553	-4.640	-2.768	-0.718	2.964	-0.521	1.329
SLBP_K562_POSTAR_eCLIP SLBP_K562_POSTAR_eCLIP	-1.380	5.245	1.925	-0.849	-3.216	-3.216	-2.138	-1.380	2.862	-0.258	1.399
