GO	[-6.49 -0.55]	[-0.55 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.97]	[0.97 8.92]
SUB1_HepG2_POSTAR_eCLIP SUB1_HepG2_POSTAR_eCLIP	-2.862	-0.284	4.643	1.698	-0.284	-2.385	1.698	1.037	-0.509	-2.385	-1.634
DDX6_K562_POSTAR_eCLIP DDX6_K562_POSTAR_eCLIP	-1.528	1.667	2.465	1.667	-1.853	-4.419	0.692	2.182	-0.372	-1.009	-1.540
PTBP1_HEK293T,plus_SRRM4_POSTAR_Piranha_0.01 PTBP1_HEK293T,plus_SRRM4_POSTAR_Piranha_0.01	-0.741	1.463	0.458	2.199	-1.405	-4.699	1.691	2.478	-1.149	-0.343	-2.058
DDX55_K562_POSTAR_eCLIP DDX55_K562_POSTAR_eCLIP	-1.391	0.519	5.773	0.862	-1.391	-4.289	-0.460	0.678	1.069	-1.083	-0.630
LARP4_HepG2_POSTAR_eCLIP LARP4_HepG2_POSTAR_eCLIP	-1.908	1.018	4.017	1.018	-1.233	-4.193	1.228	0.514	-0.435	0.284	-1.553
CPSF2_HEK293_POSTAR_PARalyzer CPSF2_HEK293_POSTAR_PARalyzer	-2.222	1.382	0.493	4.171	0.276	-4.631	0.789	0.789	-1.200	-0.440	-0.758
CPSF2_HEK293_POSTAR_PAR-CLIP CPSF2_HEK293_POSTAR_PAR-CLIP	-2.276	1.332	0.469	4.069	0.260	-4.705	0.928	0.755	-0.991	-0.463	-0.789
UPF1_HEK_293_FRT_POSTAR_CIMS UPF1_HEK_293_FRT_POSTAR_CIMS	-1.213	1.039	0.677	1.741	-1.519	-2.311	0.399	5.340	-1.519	-0.742	-0.964
CPSF1_HEK293_POSTAR_Piranha_0.01 CPSF1_HEK293_POSTAR_Piranha_0.01	-1.166	1.196	2.295	1.196	-0.686	-4.443	1.196	1.196	-0.373	-0.686	-2.347
GEMIN5_K562_POSTAR_eCLIP GEMIN5_K562_POSTAR_eCLIP	-0.301	2.280	1.769	0.783	-2.191	-3.060	0.637	0.783	0.946	-0.658	-3.610
LIN28B_K562_POSTAR_eCLIP LIN28B_K562_POSTAR_eCLIP	-3.192	0.483	3.654	1.434	-0.833	-3.192	0.797	1.200	-0.477	-0.349	-1.081
LSM11_HepG2_POSTAR_eCLIP LSM11_HepG2_POSTAR_eCLIP	-0.677	0.999	2.581	2.207	-1.708	-4.025	0.412	0.576	-0.475	-0.677	-0.682
TIA1_HeLa_POSTAR_Piranha_0.01 TIA1_HeLa_POSTAR_Piranha_0.01	-1.213	0.393	0.930	0.722	-1.213	-2.070	2.034	3.988	-0.478	-2.070	-0.915
ATXN2_HEK293T_POSTAR_Piranha_0.01 ATXN2_HEK293T_POSTAR_Piranha_0.01	-3.359	0.702	1.518	1.859	-0.266	-1.738	1.210	0.938	-1.252	-1.252	-0.415
MOV10_HEK293_POSTAR_Piranha_0.01 MOV10_HEK293_POSTAR_Piranha_0.01	-1.984	-0.693	1.534	2.125	-0.509	-2.508	1.039	2.456	0.354	-1.208	-1.216
