GO	[-6.49 -0.55]	[-0.55 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.47]	[0.47 0.97]	[0.97 8.92]
SETBP1_TARGET_GENES SETBP1_TARGET_GENES	-2.358	-0.276	5.110	4.697	-0.647	-3.387	3.207	0.707	-1.300	-1.950	-5.784
TMTCGCGANR_UNKNOWN TMTCGCGANR_UNKNOWN	-1.707	0.428	1.511	4.851	0.428	-2.541	4.851	0.878	-2.090	-5.379	-3.707
YBX3_TARGET_GENES YBX3_TARGET_GENES	-2.657	3.474	6.381	1.905	-0.939	-2.196	-0.736	1.646	-1.181	-1.803	-3.843
SGCGSSAAA_E2F1DP2_01 SGCGSSAAA_E2F1DP2_01	-2.686	2.753	4.981	3.791	-1.827	-1.489	-0.581	0.631	-0.581	-1.489	-3.238
GKCGCNNNNNNNTGAYG_UNKNOWN GKCGCNNNNNNNTGAYG_UNKNOWN	-1.641	-0.452	2.609	5.434	0.756	-1.641	1.040	-0.714	-0.714	-2.487	-2.492
GGAANCGGAANY_UNKNOWN GGAANCGGAANY_UNKNOWN	-0.848	-0.437	1.003	0.784	0.594	-4.400	4.660	2.159	-0.617	-2.568	-2.575
KRCTCNNNNMANAGC_UNKNOWN KRCTCNNNNMANAGC_UNKNOWN	0.939	6.409	0.939	0.288	-1.181	-0.786	-1.747	-1.181	-2.612	-0.786	0.673
HOXD11_TARGET_GENES HOXD11_TARGET_GENES	-2.540	1.502	2.413	1.246	-0.943	-1.583	1.015	0.342	1.246	-1.231	-3.200
SATB1_TARGET_GENES SATB1_TARGET_GENES	-0.750	0.301	4.332	1.577	-1.583	-3.027	1.577	-0.418	0.415	-0.418	-2.463
ATCATGA_MIR433 ATCATGA_MIR433	-0.493	-0.685	0.906	1.396	0.261	-1.237	4.380	0.261	0.261	-0.929	-4.575
YNTTTNNNANGCARM_UNKNOWN YNTTTNNNANGCARM_UNKNOWN	1.638	-2.903	-0.960	-1.998	2.014	0.519	-0.421	-1.998	-0.263	0.519	2.008
CSHL1_TARGET_GENES CSHL1_TARGET_GENES	-0.379	0.814	0.814	2.345	-1.792	-3.003	1.166	2.345	-0.285	-2.544	-1.229
