GO	[-4.93 -0.53]	[-0.53 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.95]	[0.95 8.92]
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	3.633	-2.852	-1.908	-2.852	0.514	6.687	-5.105	-0.758	-0.758	1.018	1.012
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	3.890	-1.346	-1.346	-2.803	0.621	2.583	-2.803	-4.596	-0.421	0.768	3.526
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	3.703	-0.550	-1.316	-2.267	-0.325	1.690	-2.679	-3.686	-0.427	1.690	2.448
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	4.031	-1.572	-0.513	-1.288	0.527	0.817	-1.572	-1.901	-2.719	0.409	4.777
GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP	4.144	-0.672	-2.625	-3.091	-0.407	1.514	-1.278	-1.278	-1.044	1.742	2.515
GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_UP GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_UP	2.059	0.491	-1.818	-2.831	1.022	2.711	-2.831	-2.276	-0.866	1.022	1.241
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP	3.871	-0.443	-1.432	-2.982	-0.443	5.255	-1.843	-0.613	-0.443	-0.311	0.289
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	3.497	-0.898	-1.114	-2.832	-0.898	3.165	-1.996	-1.659	0.753	0.916	0.910
GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_UP	3.812	0.347	-1.317	-3.595	0.463	1.594	-2.455	-1.636	0.347	0.347	1.347
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	2.561	0.508	-1.259	-2.192	-0.516	1.126	-3.062	-1.837	-0.516	1.324	2.843
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN	2.542	-0.652	-1.731	-3.226	0.349	2.877	-0.851	-2.144	-0.258	0.349	1.925
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	3.494	0.508	-0.516	-2.192	-0.828	2.281	-1.528	-3.062	-0.828	1.324	0.777
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	2.287	-0.888	-1.123	-3.102	0.692	2.000	0.417	-1.402	-1.731	-0.398	2.581
GSE2585_CD80_HIGH_VS_LOW_MTEC_UP GSE2585_CD80_HIGH_VS_LOW_MTEC_UP	2.411	-0.270	-1.747	-1.747	0.693	2.411	-2.094	-0.961	-0.961	-0.361	2.127
GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_UP GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_UP	2.046	-0.646	-1.815	-1.815	-2.167	-0.388	-1.507	0.520	1.563	1.146	2.301
GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	2.893	-0.505	-1.507	-1.507	-0.293	2.595	-1.815	-1.241	-0.505	0.309	1.787
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_1H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_1H_UP	2.312	-0.567	-0.956	-1.520	0.676	2.960	-2.821	-0.424	-0.743	-0.424	1.033
GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_DN GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_DN	4.125	-0.413	-1.193	-1.193	-0.413	1.514	0.301	-0.938	-2.790	0.410	0.861
GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_DN GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_DN	2.156	0.585	-1.611	-1.929	0.359	1.049	-1.611	-1.611	-0.334	0.722	1.655
