GO	[-8.57 -0.88]	[-0.88 -0.27]	[-0.27 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.31]	[0.31 0.84]	[0.84 8.92]
GO:0005911 cell-cell junction	-2.404	-0.394	1.427	-1.993	-7.089	-4.873	-2.404	-2.404	6.720	4.557	5.814
GO:0001666 response to hypoxia	-3.030	1.307	2.901	-1.754	-6.026	-3.599	-3.599	-1.754	7.317	1.528	3.228
GO:0035579 specific granule membrane	-3.729	-0.790	1.198	-0.377	-2.728	-3.729	-3.729	-2.028	7.161	0.714	6.553
GO:0032496 response to lipopolysaccharide	-0.505	-0.388	-0.293	-0.505	-4.153	-3.020	-4.857	-3.547	4.206	4.206	7.083
GO:0035578 azurophil granule lumen	-3.729	-0.790	1.810	-0.790	-3.729	-3.729	-1.503	-1.100	9.127	0.363	3.856
GO:0007411 axon guidance	0.405	0.795	-0.388	-2.560	-3.547	-3.547	-4.857	-2.158	2.034	5.356	7.083
GO:0005516 calmodulin binding	0.325	0.827	2.363	-5.613	-4.087	-2.507	-4.087	-1.763	7.213	1.385	2.365
GO:0018108 peptidyl-tyrosine phosphorylation	-1.895	1.775	1.095	-1.257	-3.956	-3.956	-2.764	-1.257	8.512	-0.474	4.379
GO:0048010 vascular endothelial growth factor receptor signaling pathway	-2.941	0.328	1.258	-2.032	-2.032	-2.941	-2.941	-0.985	9.631	0.328	2.803
GO:0004713 protein tyrosine kinase activity	-1.441	1.426	1.426	-1.159	-4.544	-3.154	-3.154	-1.441	6.881	-0.554	5.499
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	0.357	0.259	0.357	-1.980	-4.290	-1.980	-2.935	-1.027	-0.620	2.457	13.870
GO:0000187 activation of MAPK activity	-1.011	0.627	1.540	-0.271	-3.630	-4.724	-4.724	-1.728	3.664	1.834	3.254
GO:0030168 platelet activation	-1.355	-0.405	1.244	-0.772	-3.668	-1.355	-3.668	-2.251	7.618	0.322	4.962
GO:0046718 viral entry into host cell	-2.543	-0.980	1.081	-0.473	-3.521	-1.865	-2.543	-1.865	3.727	4.742	2.823
GO:0044325 ion channel binding	-1.728	-0.392	1.540	-1.011	-1.728	-2.837	-2.837	-2.837	7.139	0.815	4.101
GO:0006887 exocytosis	-1.591	-0.907	3.121	-2.066	-2.066	-1.591	-4.516	-1.211	3.970	2.732	2.734
GO:0030335 positive regulation of cell migration	-0.505	0.309	1.339	-3.020	-2.560	-4.153	-3.547	0.309	3.184	0.795	6.633
GO:0070821 tertiary granule membrane	-2.982	0.314	0.935	0.688	-2.068	-2.982	-2.982	-1.453	4.786	0.314	3.701
GO:0071222 cellular response to lipopolysaccharide	0.321	0.321	1.189	0.321	-3.254	-5.222	-3.254	-1.631	3.807	0.445	4.233
GO:0005178 integrin binding	-0.887	0.280	0.406	-1.187	-3.402	-3.402	-2.631	-1.187	2.068	4.982	4.500
GO:0007179 transforming growth factor beta receptor signaling pathway	-2.802	0.672	2.070	-1.560	-2.802	-2.802	-2.094	-0.588	4.194	-0.268	4.700
GO:0014070 response to organic cyclic compound	-1.787	1.792	0.839	-1.101	-3.466	-2.791	-3.466	-1.101	3.879	1.792	3.103
GO:0001618 virus receptor activity	-1.515	-0.730	0.289	-1.063	-3.065	-1.515	-2.140	-1.515	2.197	5.774	4.062
GO:0043202 lysosomal lumen	-2.028	0.363	-0.247	-0.790	-2.028	-3.729	-1.503	-1.100	5.962	2.162	2.545
GO:0008237 metallopeptidase activity	0.659	1.926	1.205	-0.920	-2.619	-2.619	-3.154	-1.773	2.205	-1.159	5.499
GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway	-1.429	1.994	-0.442	-0.311	-2.975	-2.975	-2.975	-0.827	1.162	1.414	6.246
GO:0010033 response to organic substance	-0.432	0.839	-0.290	-0.290	-2.877	-3.894	-3.894	-0.623	2.341	1.981	3.145
GO:0008081 phosphoric diester hydrolase activity	-1.430	1.274	-0.348	-0.920	-1.430	-2.236	-2.236	-2.236	1.651	3.049	3.599
GO:0035580 specific granule lumen	-1.121	-1.121	0.498	-1.121	-1.121	-2.526	-2.526	-0.737	2.536	1.687	5.962
GO:0008201 heparin binding	-0.505	0.570	-1.356	-0.662	-3.651	-1.083	-1.678	-1.083	1.299	1.087	9.292
GO:0045766 positive regulation of angiogenesis	-1.118	-1.454	0.545	-0.846	-1.867	-3.010	-1.118	-0.628	6.693	0.545	4.229
GO:0007229 integrin-mediated signaling pathway	-0.749	0.759	0.557	-0.521	-3.646	-2.654	-1.962	-1.446	2.651	1.262	3.999
GO:0005884 actin filament	-0.834	0.627	1.167	0.422	-2.692	-1.817	-2.692	-2.692	0.875	2.286	2.737
GO:0030018 Z disc	-0.343	0.869	1.326	-1.504	-2.439	-3.079	-2.439	-1.923	2.196	2.196	2.895
GO:0016337 single organismal cell-cell adhesion	-0.260	0.492	0.347	-0.260	-4.226	-1.049	-4.226	-1.049	1.106	1.982	3.974
GO:0005088 Ras guanyl-nucleotide exchange factor activity	-1.755	1.797	-0.405	-0.772	-2.251	-1.755	-2.251	-1.032	1.244	1.244	6.499
GO:0006469 negative regulation of protein kinase activity	-1.282	0.356	4.227	-0.521	-2.768	-2.768	-2.158	-1.282	1.607	1.081	2.589
GO:0009612 response to mechanical stimulus	0.422	-0.834	0.875	-0.546	-2.692	-2.692	-0.546	-2.692	0.627	3.221	3.222
GO:0005901 caveola	-0.625	0.539	0.539	-1.361	-0.934	-2.858	-2.858	-0.934	3.942	0.357	3.944
GO:0043235 receptor complex	-0.670	0.997	0.351	-1.143	-2.856	-1.840	-2.856	-0.670	0.627	2.014	6.514
GO:0031234 extrinsic component of cytoplasmic side of plasma membrane	-0.985	0.712	0.965	-0.437	-2.941	-2.032	-2.032	-1.422	4.314	0.328	2.803
GO:0005912 adherens junction	-0.934	0.357	0.539	-0.934	-2.858	-2.858	-1.960	-0.405	2.062	2.062	3.424
GO:0006935 chemotaxis	-0.387	-0.387	1.505	-0.870	-3.060	-1.702	-1.702	-2.084	0.875	1.754	6.147
GO:0034765 regulation of ion transmembrane transport	0.821	2.817	-0.554	-0.554	-2.163	-2.619	-2.163	-3.154	1.926	1.426	2.207
GO:0048015 phosphatidylinositol-mediated signaling	-1.618	0.701	1.392	-0.492	-2.699	-2.699	-1.618	-1.618	2.683	1.392	3.070
GO:1904724 tertiary granule lumen	-0.920	-0.577	-0.577	-0.577	-1.430	-2.236	-2.236	0.259	3.049	0.664	5.472
GO:0038111 interleukin-7-mediated signaling pathway	-1.326	2.472	2.472	-0.713	-3.064	-2.326	-1.765	-1.326	1.470	0.541	2.112
GO:0001938 positive regulation of endothelial cell proliferation	-0.405	-0.251	-0.934	-0.625	-1.960	-2.858	-0.934	-0.625	3.942	0.357	5.078
GO:0001822 kidney development	-0.719	0.859	0.859	-1.282	-2.158	-2.158	-2.158	-1.673	1.331	3.783	2.589
GO:0031225 anchored component of membrane	-0.417	-0.417	-0.975	-1.579	-1.579	-0.749	-0.975	-1.579	0.301	5.184	5.651
GO:0004715 non-membrane spanning protein tyrosine kinase activity	-1.326	0.750	1.411	-0.300	-2.112	-1.326	-2.112	-1.326	3.884	-0.513	2.269
GO:0045471 response to ethanol	-1.404	3.492	1.726	-0.809	-1.404	-3.744	-1.404	-1.404	1.445	0.426	2.034
GO:0005057 signal transducer activity, downstream of receptor	-0.957	0.527	2.068	-0.957	-1.656	-1.656	-1.656	-1.656	2.068	0.527	2.598
GO:0005604 basement membrane	0.576	0.576	0.267	-1.027	-1.930	-1.930	-1.027	-2.617	0.782	0.576	6.866
GO:0034446 substrate adhesion-dependent cell spreading	-0.476	0.359	0.614	-1.532	-1.532	-1.532	-1.532	-1.532	2.302	1.787	2.303
GO:0007160 cell-matrix adhesion	-0.390	1.769	0.349	-1.124	-2.061	-1.124	-2.061	-2.765	0.692	2.116	3.786
GO:0032355 response to estradiol	-1.794	0.524	1.737	-0.360	-2.360	-1.352	-1.794	-2.360	2.423	1.436	2.425
GO:0004222 metalloendopeptidase activity	1.006	1.797	0.610	-1.355	-1.755	-2.251	-2.871	-0.566	1.508	-1.032	4.038
GO:0022617 extracellular matrix disassembly	-1.116	0.265	0.265	-1.578	-0.522	-1.578	-3.148	-0.774	3.900	2.093	2.094
GO:0060048 cardiac muscle contraction	-0.392	1.319	-0.675	-0.392	-1.123	-1.123	-1.863	-1.863	4.546	-0.675	2.721
GO:0007257 activation of JUN kinase activity	-0.796	1.448	0.680	-0.430	-1.449	-0.796	-1.449	-1.449	3.079	-1.449	2.477
GO:0005903 brush border	-0.287	-1.121	1.687	-0.287	-0.737	-1.675	-2.526	-2.526	1.687	1.687	2.093
GO:0050727 regulation of inflammatory response	-0.985	-0.667	1.958	-2.941	-2.032	-0.985	-1.422	0.328	2.363	0.965	2.364
GO:0051965 positive regulation of synapse assembly	0.627	1.500	-1.817	-0.834	-0.834	-1.240	-2.692	-0.834	0.262	1.167	4.881
GO:0097110 scaffold protein binding	-0.300	0.302	0.302	-1.326	-1.326	-1.326	-2.112	-1.326	4.504	0.499	2.766
GO:0046854 phosphatidylinositol phosphorylation	-1.735	0.749	1.222	-0.336	-3.026	-2.293	-1.301	-0.960	2.155	1.222	2.523
GO:0008584 male gonad development	-0.887	0.559	1.189	-1.564	-3.402	-2.035	-0.887	-0.650	3.176	1.189	2.069
GO:0002576 platelet degranulation	-0.468	-0.644	0.891	-0.864	-2.408	-2.408	-1.479	-0.644	2.941	0.891	4.166
GO:0051897 positive regulation of protein kinase B signaling	-0.432	-1.618	1.079	0.456	-2.160	-1.618	-2.877	-0.290	3.143	0.456	2.730
GO:0030674 protein binding, bridging	-0.613	-0.266	1.854	0.339	-1.736	-1.736	-2.396	-1.736	2.630	-0.266	3.067
GO:0071560 cellular response to transforming growth factor beta stimulus	-0.260	0.346	-0.434	-0.434	-2.444	-1.604	-1.062	-1.604	0.541	2.211	4.894
GO:0097191 extrinsic apoptotic signaling pathway	-0.599	1.927	0.476	-1.023	-1.739	-1.739	-1.023	-1.023	2.984	-0.599	2.431
GO:0050839 cell adhesion molecule binding	-0.585	0.388	0.817	-0.883	-1.888	-1.300	-1.300	-1.888	0.239	4.113	3.076
GO:0045177 apical part of cell	-0.404	0.672	0.672	-0.588	-2.094	-2.802	-2.094	-1.149	2.070	1.418	2.840
GO:0006805 xenobiotic metabolic process	-1.027	0.576	0.404	-2.617	-1.027	-1.417	-1.930	-0.504	1.022	3.588	2.708
GO:0006813 potassium ion transport	0.283	2.062	0.392	-0.782	-2.028	-2.508	-2.028	-1.627	2.694	0.851	2.064
GO:0043434 response to peptide hormone	-1.430	0.435	0.664	1.274	-2.236	-2.236	-2.236	0.435	0.435	0.664	2.542
GO:0050731 positive regulation of peptidyl-tyrosine phosphorylation	-1.051	0.257	0.257	-0.749	-2.654	-1.962	-1.446	-0.351	3.072	1.896	2.653
GO:0007605 sensory perception of sound	-0.717	1.909	-0.395	-1.206	-1.920	-1.920	-1.920	-0.717	0.932	2.528	3.231
GO:0030203 glycosaminoglycan metabolic process	-1.325	0.793	-0.363	-0.702	-0.702	-1.325	-1.325	-1.325	0.793	2.769	2.770
GO:0007417 central nervous system development	-0.509	-0.922	0.486	-0.692	-1.554	-1.206	-2.502	-0.922	3.981	2.117	2.118
GO:0043410 positive regulation of MAPK cascade	0.435	-0.313	1.081	-0.313	-2.543	-2.543	-1.361	-1.865	1.682	1.365	2.412
GO:0004860 protein kinase inhibitor activity	-0.834	0.262	2.286	0.875	-1.817	-1.240	-1.817	-1.817	-0.546	1.167	3.222
GO:0016529 sarcoplasmic reticulum	-0.555	1.704	-0.332	-0.891	-2.195	-2.195	-0.891	-0.332	2.136	-0.332	3.132
GO:0002020 protease binding	-1.118	0.312	0.312	-1.484	-0.828	-1.944	-1.944	-0.600	2.553	1.556	3.780
GO:0048041 focal adhesion assembly	-0.204	-0.994	0.426	-0.994	-0.994	-0.994	-0.994	-0.994	1.743	0.772	3.811
GO:0043627 response to estrogen	-0.785	-0.507	0.459	-0.785	-0.785	-0.785	-2.609	-1.180	2.408	0.675	4.485
GO:0030182 neuron differentiation	-1.435	-0.352	0.362	-0.352	-2.823	-0.654	-2.270	-0.485	3.428	1.019	3.055
GO:0009966 regulation of signal transduction	-1.023	-0.336	0.749	-1.739	-1.023	-1.739	-1.023	-0.599	1.927	1.927	2.431
GO:0004114 3',5'-cyclic-nucleotide phosphodiesterase activity	-1.035	0.726	-0.491	-1.035	-0.491	-1.035	-1.035	-1.035	0.398	2.248	3.654
GO:0042383 sarcolemma	-0.461	0.594	0.793	-0.658	-1.676	-2.226	-2.226	-0.917	2.623	0.426	3.458
GO:0060070 canonical Wnt signaling pathway	-0.841	2.331	0.367	-1.672	-1.672	-0.841	-2.322	-0.841	1.946	0.748	2.332
GO:0008083 growth factor activity	0.406	0.301	-0.408	-0.542	-1.749	-2.136	-1.749	-0.903	1.023	1.023	6.012
GO:0030334 regulation of cell migration	-2.068	0.481	0.935	0.314	-1.453	-2.068	-1.453	-1.011	2.306	0.688	2.739
GO:0042060 wound healing	0.337	1.137	-1.149	0.488	-1.149	-2.094	-1.560	-1.149	2.070	-0.588	4.196
GO:0004896 cytokine receptor activity	-0.524	2.685	0.555	-0.924	-1.615	-0.924	-1.615	-0.924	-0.524	1.225	2.687
GO:0038083 peptidyl-tyrosine autophosphorylation	-1.190	0.597	0.597	-0.431	-1.946	-0.728	-1.946	-0.242	2.558	-0.728	3.100
GO:0014066 regulation of phosphatidylinositol 3-kinase signaling	-1.278	0.484	0.326	0.326	-2.432	-1.768	-1.278	-0.909	2.176	0.909	3.462
GO:0010595 positive regulation of endothelial cell migration	-0.431	-0.242	1.224	-1.190	-1.190	-1.946	-1.946	-0.431	1.619	0.883	2.560
GO:0086091 regulation of heart rate by cardiac conduction	-0.234	0.646	0.380	-0.453	-1.491	-1.491	-1.491	-1.491	0.984	0.984	2.975
GO:0006027 glycosaminoglycan catabolic process	-1.076	-0.241	-0.241	-1.076	-0.241	-1.076	-1.076	-1.076	1.088	2.147	2.791
GO:0031100 animal organ regeneration	-0.755	-0.256	0.571	0.351	-1.988	-1.224	-1.988	-0.755	1.999	0.571	3.012
GO:0030509 BMP signaling pathway	-0.537	0.736	0.539	-1.474	-1.076	-1.474	-1.995	-1.076	1.526	0.967	3.926
GO:0030325 adrenal gland development	-0.351	-0.828	-0.828	-0.828	-0.828	-0.828	-0.351	-0.351	0.256	3.669	2.866
GO:0005796 Golgi lumen	-0.521	-0.521	-0.521	0.249	-1.004	-2.360	0.249	-0.521	-1.004	2.067	5.624
GO:0043401 steroid hormone mediated signaling pathway	-0.273	0.755	0.331	-0.452	-2.485	-1.639	-1.639	-0.714	2.603	0.519	2.152
GO:0030324 lung development	-0.312	1.576	0.290	-0.312	-1.676	-2.226	-2.951	-0.461	0.793	1.023	2.625
GO:0001974 blood vessel remodeling	-0.702	1.184	0.793	-0.702	-0.702	-0.702	-1.325	0.247	-0.363	-1.325	4.905
GO:0048306 calcium-dependent protein binding	-1.062	-0.434	1.074	-0.690	-1.062	-1.062	-1.062	-1.604	1.074	1.074	4.285
GO:0035025 positive regulation of Rho protein signal transduction	-1.076	-0.241	-0.241	-0.520	-1.076	-1.076	-0.520	-1.076	1.088	1.578	3.506
GO:0009617 response to bacterium	0.216	0.216	0.427	0.716	-1.408	-0.764	-1.408	-1.408	1.079	-0.764	3.865
GO:0019221 cytokine-mediated signaling pathway	-1.231	1.014	0.659	0.284	-1.903	-0.435	-2.843	-0.435	-0.579	1.014	4.396
GO:0048812 neuron projection morphogenesis	-0.761	-0.301	-0.301	0.701	-1.150	-1.710	-2.568	-0.488	0.970	1.638	2.947
GO:0048661 positive regulation of smooth muscle cell proliferation	-1.062	0.784	-0.434	0.346	-1.604	-1.604	-1.604	-0.260	0.541	0.541	4.894
GO:0007613 memory	-0.565	1.457	0.250	-0.858	-0.858	-1.852	-2.734	0.250	0.405	1.823	2.229
GO:0031663 lipopolysaccharide-mediated signaling pathway	-0.363	0.247	-0.363	1.184	-1.325	-1.325	-1.325	-1.325	1.646	0.480	2.177
GO:0000795 synaptonemal complex	-1.118	-0.260	2.051	-1.118	-1.118	-0.550	-0.550	-1.118	1.502	0.347	2.052
GO:0050840 extracellular matrix binding	-0.550	-0.550	-0.550	-0.260	-1.118	-0.550	-1.118	-0.550	0.347	1.031	5.831
GO:0007599 hemostasis	-0.365	0.416	-0.948	-0.948	-0.948	-1.464	-0.948	-0.948	1.231	1.600	4.086
GO:0045668 negative regulation of osteoblast differentiation	-0.957	1.593	1.176	-0.549	-0.957	-0.549	-1.656	-1.656	1.176	-0.300	2.069
GO:0035924 cellular response to vascular endothelial growth factor stimulus	-0.911	0.491	0.217	-0.911	-0.911	-0.911	-0.406	-0.406	0.873	-0.406	5.055
GO:0035329 hippo signaling	-0.550	-0.550	0.644	-0.550	-1.118	-1.118	-1.118	-0.550	3.365	0.347	2.052
GO:0005164 tumor necrosis factor receptor binding	0.264	-0.341	0.509	-1.284	-1.284	-1.284	-1.284	-0.341	0.836	1.719	2.266
GO:0060326 cell chemotaxis	0.250	-1.270	0.604	-0.858	-1.852	-0.858	-0.565	-1.270	0.846	2.228	3.148
GO:0004714 transmembrane receptor protein tyrosine kinase activity	0.272	0.455	-0.332	-0.891	-2.195	-1.395	-0.891	0.272	0.455	0.455	4.925
GO:0005201 extracellular matrix structural constituent	0.262	-0.546	-0.546	-1.817	0.422	-0.834	-0.834	-1.817	0.875	1.167	4.295
GO:0007626 locomotory behavior	0.363	1.198	-0.790	-0.554	0.363	-3.729	-1.100	-0.790	0.521	0.714	2.955
GO:0048754 branching morphogenesis of an epithelial tube	-0.579	0.324	-0.279	-0.579	-1.159	-1.159	-1.159	-0.579	1.961	0.607	3.234
GO:0005581 collagen trimer	0.441	0.441	0.301	-1.224	-0.640	-1.647	-1.224	-1.224	0.441	0.612	5.512
GO:0009653 anatomical structure morphogenesis	-1.185	-0.525	0.330	-1.506	-1.893	-0.919	-0.701	-0.274	2.569	1.403	2.916
GO:0048146 positive regulation of fibroblast proliferation	-0.534	0.476	3.785	0.287	-1.361	-1.361	-0.864	-1.361	0.287	-0.534	2.202
GO:0071944 cell periphery	-1.033	0.814	0.362	-0.667	-0.667	-1.569	-1.569	-1.033	1.111	0.814	3.801
GO:0001658 branching involved in ureteric bud morphogenesis	-0.624	-0.624	0.254	-1.056	-1.056	-1.056	-0.354	-1.056	0.453	3.482	2.894
GO:0043552 positive regulation of phosphatidylinositol 3-kinase activity	-0.640	-0.640	0.880	-0.640	-1.242	-0.640	-0.320	-1.242	2.989	-0.320	2.360
GO:0030141 secretory granule	-1.446	-1.446	1.896	-0.521	-1.051	-1.051	-1.051	-0.351	1.896	0.557	2.653
GO:0019730 antimicrobial humoral response	-0.599	-0.599	-0.599	0.416	0.637	-1.464	0.246	0.416	0.246	-2.278	4.700
