GO	[-4.93 -0.53]	[-0.53 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.95]	[0.95 8.92]
GSE29618_MONOCYTE_VS_PDC_UP GSE29618_MONOCYTE_VS_PDC_UP	-1.972	-1.972	-3.315	-0.421	-1.972	-5.411	-0.421	1.318	0.934	8.696	4.240
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	1.324	-1.528	-2.192	-0.659	-2.192	-3.593	-1.027	-2.192	0.783	1.769	14.046
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	-4.772	0.437	-1.186	-2.491	-2.094	-4.772	0.334	0.437	2.701	5.161	4.367
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	-0.820	-0.646	-1.268	-1.877	-2.690	-3.193	-1.026	-0.646	1.008	6.562	7.970
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	-2.946	-1.747	-0.361	-2.491	-1.446	-5.598	0.437	1.415	1.415	4.384	4.748
GSE10325_BCELL_VS_MYELOID_DN GSE10325_BCELL_VS_MYELOID_DN	-1.467	-0.370	-1.770	-1.204	-1.770	-5.636	-0.483	-0.784	3.287	4.335	5.914
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	-2.625	-0.407	-1.044	-0.407	-3.091	-5.786	-0.407	-0.309	2.249	5.700	4.128
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	-2.832	-0.898	0.277	-0.714	-1.659	-7.740	0.277	0.277	2.848	5.384	2.253
GSE29618_MONOCYTE_VS_MDC_UP GSE29618_MONOCYTE_VS_MDC_UP	-1.659	-1.366	-0.714	-1.996	-1.659	-3.940	-0.326	-0.326	1.745	7.151	4.191
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	3.890	-1.346	-1.346	-2.803	0.621	2.583	-2.803	-4.596	-0.421	0.768	3.526
