GO	[-4.93 -0.53]	[-0.53 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.95]	[0.95 8.92]
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	-5.748	-1.027	8.020	21.489	-0.516	-4.913	0.396	-0.659	-2.192	-3.593	-3.072
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	-6.800	0.928	4.144	9.449	0.293	-6.800	2.820	0.387	-1.278	-3.091	-4.962
GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP	-7.824	3.085	2.479	7.485	0.263	-5.523	3.085	0.352	-1.150	-3.407	-5.537
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	-4.271	2.218	8.362	4.842	-1.297	-5.823	1.280	0.485	-0.539	-3.120	-5.837
GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP	-5.673	3.925	7.681	3.247	-0.994	-4.842	0.416	1.369	-0.494	-4.138	-4.855
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	-5.898	0.722	11.911	3.660	-0.334	-5.898	0.877	-0.562	0.359	-1.929	-5.069
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-8.033	-0.293	3.880	2.595	-1.815	-3.562	2.893	3.536	1.146	-2.167	-5.725
GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN	-3.469	0.693	9.331	2.411	-0.770	-3.469	1.880	1.639	-0.770	-3.469	-7.923
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP	-6.443	0.753	11.892	3.497	-0.431	-5.448	1.097	-0.326	-0.898	-2.832	-2.005
GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP	-1.611	-0.437	7.736	5.128	-1.335	-5.898	2.712	1.664	-1.611	-4.337	-3.730
GSE27786_BCELL_VS_MONO_MAC_UP GSE27786_BCELL_VS_MONO_MAC_UP	-3.062	1.538	3.835	6.623	-1.259	-4.204	1.769	-0.301	1.126	-6.760	-4.926
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	-4.204	1.324	11.149	4.191	-1.027	-5.748	0.508	0.783	-1.528	-1.837	-3.604
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-6.800	0.293	-0.309	3.452	0.387	-4.949	7.472	1.514	1.302	-2.217	-5.800
GSE31082_DN_VS_DP_THYMOCYTE_UP GSE31082_DN_VS_DP_THYMOCYTE_UP	-4.237	1.514	7.472	3.128	-0.407	-6.800	1.742	1.302	-1.549	-2.217	-4.962
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	-5.748	0.301	7.541	4.946	0.508	-3.593	0.783	1.126	-0.516	-2.598	-6.775
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_DN GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_DN	-5.091	2.677	8.633	3.289	0.350	-5.091	1.419	-0.447	-1.952	-2.317	-3.761
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	-8.284	0.264	2.976	3.289	0.572	-5.091	3.961	2.677	-1.112	-1.952	-3.761
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	-4.878	5.401	7.142	3.880	-1.507	-4.171	0.964	-0.646	-1.011	-3.562	-2.176
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	-4.949	1.742	4.144	4.894	-0.309	-5.786	2.249	1.302	-1.278	-3.624	-4.250
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	-5.711	-0.388	8.586	3.207	0.406	-8.033	1.796	0.650	-1.011	-1.011	-2.581
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	-4.842	2.630	6.306	5.053	0.416	-4.842	1.369	-0.494	-1.487	-3.004	-4.150
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	-4.807	1.613	7.752	5.106	0.426	-2.517	0.326	0.678	-1.770	-2.975	-5.649
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP	-3.091	1.106	1.302	1.514	0.623	-5.786	1.106	7.472	-0.672	-1.549	-8.132
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP	-1.860	1.106	8.436	4.894	0.387	-4.237	0.767	-1.044	-0.309	-4.237	-5.800
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-4.237	-0.672	3.128	13.370	0.497	-4.237	0.767	0.497	-2.217	-2.217	-1.868
