GO	[-5.46 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.41]
MORF_NPM1 MORF_NPM1	-4.322	-0.809	0.476	4.288	3.891	-3.577	9.160	2.181	-5.244	-6.469	-6.485
MORF_ANP32B MORF_ANP32B	-3.520	1.400	4.376	1.864	2.993	-3.520	2.686	2.122	-3.520	-7.988	-8.007
MORF_EIF4A2 MORF_EIF4A2	-3.559	-0.887	1.741	4.668	3.814	-3.559	6.091	0.804	-4.422	-5.586	-5.600
MORF_G22P1 MORF_G22P1	-3.886	1.169	5.024	4.206	3.454	-3.886	0.791	1.169	-3.244	-6.848	-6.865
GNF2_RRM1 GNF2_RRM1	-0.338	13.495	6.315	1.027	-1.031	-3.617	-1.423	-2.627	-1.937	-3.617	-3.626
MORF_RFC4 MORF_RFC4	0.745	8.196	7.655	0.928	0.329	-4.930	-0.516	-0.683	-4.030	-4.930	-6.147
MORF_HAT1 MORF_HAT1	-3.404	6.502	6.981	1.267	1.062	-3.404	0.435	0.709	-2.370	-5.798	-7.076
MORF_ACTG1 MORF_ACTG1	-3.524	-2.285	0.362	2.387	2.387	-2.841	8.915	3.869	-2.285	-4.383	-5.557
MORF_PRKDC MORF_PRKDC	0.541	4.893	7.097	3.749	-0.648	-5.289	0.420	-0.502	-3.210	-5.289	-6.293
GNF2_EIF3S6 GNF2_EIF3S6	-2.922	-1.386	0.311	4.016	3.585	-2.295	9.456	0.440	-2.922	-4.831	-4.843
GNF2_FBL GNF2_FBL	-1.663	1.034	5.058	4.190	1.034	-3.139	3.397	-0.330	-4.734	-5.922	-5.937
MORF_PPP1CC MORF_PPP1CC	0.292	6.039	8.549	1.440	-0.420	-4.580	0.519	-0.420	-4.580	-5.521	-4.594
MORF_CDC10 MORF_CDC10	-3.172	0.265	9.125	5.451	0.818	-5.964	-0.340	0.646	-0.466	-4.773	-4.786
GNF2_SMC4L1 GNF2_SMC4L1	0.468	10.190	6.733	0.885	-1.310	-2.478	-0.935	-1.807	-3.450	-3.450	-3.459
GNF2_PA2G4 GNF2_PA2G4	0.559	10.180	4.841	1.644	-1.173	-3.242	-1.173	-3.242	-1.646	-3.242	-3.249
MORF_RAD21 MORF_RAD21	-2.997	1.847	4.469	2.399	2.702	-3.566	2.702	-0.318	-2.086	-5.026	-7.287
GNF2_PCNA GNF2_PCNA	0.238	14.815	3.600	0.582	-0.885	-2.783	-1.893	-1.893	-1.893	-2.783	-2.789
MORF_DNMT1 MORF_DNMT1	0.454	5.015	9.568	1.011	-0.405	-3.687	-0.405	-0.775	-3.687	-4.789	-3.697
GNF2_MCM5 GNF2_MCM5	-0.452	9.953	8.330	-0.715	-0.715	-2.491	-0.715	-2.491	-1.644	-2.491	-2.497
MORF_FBL MORF_FBL	-1.468	3.039	5.124	2.033	1.226	-3.559	0.804	0.804	-3.559	-5.586	-5.600
MORF_RRM1 MORF_RRM1	-0.360	5.680	10.029	0.709	0.525	-3.115	-1.358	-1.008	-3.115	-4.161	-3.124
MORF_DAP3 MORF_DAP3	-2.819	0.938	1.784	1.784	1.784	-3.928	2.040	4.294	-0.885	-5.439	-7.753
GCM_MLL GCM_MLL	-4.024	-0.365	1.519	5.652	0.336	-7.017	3.275	2.617	-0.636	-1.585	-5.774
GCM_ACTG1 GCM_ACTG1	-3.764	0.301	2.383	4.872	2.383	-3.764	1.739	1.196	-1.821	-4.873	-4.885
GNF2_CCNA2 GNF2_CCNA2	-0.374	12.074	5.955	-0.374	-0.885	-2.783	-1.303	-0.885	-1.893	-2.783	-2.789
GNF2_RFC4 GNF2_RFC4	1.041	10.810	4.816	-0.273	-1.094	-2.491	-2.491	-1.644	-1.644	-2.491	-2.497
MORF_NME2 MORF_NME2	-2.771	-0.924	-0.402	1.813	2.725	-2.266	5.984	4.628	-2.266	-2.771	-6.232
MORF_PPP2CA MORF_PPP2CA	-3.203	1.251	2.778	4.405	2.778	-3.203	0.473	1.018	-2.021	-5.166	-5.179
GNF2_RAN GNF2_RAN	0.289	8.479	5.916	1.086	-0.692	-3.534	-0.692	-1.872	-1.366	-3.534	-3.542
MORF_PSMC1 MORF_PSMC1	-6.236	-0.491	2.197	1.444	2.786	-2.241	3.106	3.106	-1.255	-1.863	-7.541
MORF_TPT1 MORF_TPT1	-2.337	-2.337	0.385	1.199	2.126	-1.773	10.868	1.479	-2.337	-3.077	-4.129
GNF2_APEX1 GNF2_APEX1	-0.752	3.095	9.490	2.274	0.390	-3.659	-1.055	-0.752	-1.970	-3.659	-3.668
MORF_EIF3S6 MORF_EIF3S6	-3.841	0.917	2.298	2.648	3.021	-2.390	2.298	0.719	-2.390	-4.957	-4.969
MORF_CTBP1 MORF_CTBP1	-4.580	-0.310	1.684	2.231	2.231	-2.640	1.440	4.719	-0.724	-3.817	-6.780
GNF2_FEN1 GNF2_FEN1	0.613	8.183	5.261	0.879	-1.503	-2.324	-2.324	-0.978	-2.324	-2.324	-2.330
GNF2_CDC20 GNF2_CDC20	-0.950	10.032	5.381	0.638	-0.365	-2.283	-1.468	-2.283	-1.468	-2.283	-2.288
GCM_APEX1 GCM_APEX1	-2.046	1.196	6.085	2.807	1.761	-2.644	0.560	0.406	-3.419	-4.496	-4.507
GNF2_MCM4 GNF2_MCM4	0.272	10.431	5.630	-0.332	-0.893	-2.200	-1.398	-2.200	-1.398	-2.200	-2.205
MORF_RAB1A MORF_RAB1A	-5.439	-1.101	0.380	0.623	1.325	-3.333	2.040	6.367	2.602	-1.645	-6.453
GNF2_CCNB2 GNF2_CCNB2	-0.382	9.841	4.617	0.879	-0.623	-2.324	-1.503	-2.324	-1.503	-2.324	-2.330
GNF2_CENPF GNF2_CENPF	-0.739	9.775	5.340	0.499	-0.739	-2.533	-0.739	-0.739	-2.533	-2.533	-2.539
MODULE_92 MODULE_92	1.525	-1.018	-5.880	-3.812	0.283	8.169	-3.106	-1.300	-1.018	1.793	2.380
GNF2_DAP3 GNF2_DAP3	-1.337	0.468	2.170	2.889	2.889	-3.649	2.889	0.468	-2.852	-4.747	-4.759
GNF2_HCK GNF2_HCK	-1.839	-3.492	-3.492	-0.672	-1.338	-3.492	-0.672	1.116	1.116	4.335	7.242
MORF_PCNA MORF_PCNA	-0.866	7.735	6.429	-0.596	0.726	-2.367	-0.255	-0.866	-2.367	-3.325	-3.333
GNF2_HDAC1 GNF2_HDAC1	-2.473	2.674	5.969	3.495	0.335	-3.229	0.650	-0.270	-2.473	-3.229	-4.297
MORF_RAD54L MORF_RAD54L	0.730	3.746	6.914	1.479	-0.348	-3.077	0.385	-2.337	-2.337	-3.077	-4.129
GNF2_KPNB1 GNF2_KPNB1	-0.962	5.623	6.930	1.642	-0.647	-2.908	-0.422	-1.395	-1.395	-2.908	-2.915
MODULE_124 MODULE_124	-2.202	11.432	4.016	-0.301	0.301	-3.952	-0.301	-1.229	-1.229	-1.229	-2.210
MORF_PTPN11 MORF_PTPN11	-1.099	3.017	5.882	1.601	0.631	-3.267	-1.099	1.601	-2.507	-3.267	-4.339
MODULE_197 MODULE_197	0.403	13.481	3.104	-0.405	-0.880	-2.035	-0.880	0.301	-2.035	-3.501	-2.464
GNF2_CKS2 GNF2_CKS2	-0.492	9.254	3.410	1.465	-1.295	-2.075	-0.810	-2.075	-1.295	-2.075	-2.080
GNF2_XRCC5 GNF2_XRCC5	-2.991	0.938	8.804	3.223	-0.288	-1.457	0.690	-1.457	-2.074	-2.074	-2.998
MORF_PPP6C MORF_PPP6C	-3.115	-1.803	0.709	1.749	1.445	-2.371	5.680	3.243	-1.803	-1.803	-4.171
GCM_NPM1 GCM_NPM1	-1.599	-0.334	2.043	2.043	2.756	-2.076	3.568	0.723	-2.679	-4.538	-4.549
GNF2_CASP1 GNF2_CASP1	-4.245	-4.245	-1.411	-0.772	-0.772	-2.439	-0.553	1.378	1.112	4.010	6.038
GNF2_CDC2 GNF2_CDC2	-0.470	9.775	4.118	0.499	-0.739	-2.533	-0.739	-0.739	-1.679	-2.533	-2.539
MORF_MSH2 MORF_MSH2	-0.434	6.252	5.571	0.542	0.346	-2.449	-1.608	-0.434	-2.449	-2.449	-2.455
GNF2_DEK GNF2_DEK	-0.382	7.402	4.617	0.879	-0.623	-2.324	-0.623	-0.978	-2.324	-2.324	-2.330
GCM_MYST2 GCM_MYST2	-1.585	0.447	2.315	6.103	0.576	-4.024	1.291	0.725	-0.816	-1.585	-7.034
GCM_CSNK2B GCM_CSNK2B	-1.625	0.842	2.749	2.749	1.661	-2.889	1.661	0.633	-2.889	-3.910	-3.919
MORF_BECN1 MORF_BECN1	-3.077	-2.337	1.479	0.949	-0.348	-4.119	2.126	5.766	1.199	-2.337	-2.345
MORF_CDC16 MORF_CDC16	-0.987	1.969	7.495	2.376	-0.275	-2.950	-0.438	-0.275	-2.038	-2.950	-2.957
MORF_UBE2N MORF_UBE2N	-1.178	2.804	6.317	0.653	1.113	-2.851	0.325	0.325	-1.595	-3.868	-3.877
MORF_RAD23B MORF_RAD23B	-2.425	0.536	1.222	3.146	1.441	-3.469	2.817	1.021	0.310	-4.129	-5.894
GNF2_RFC3 GNF2_RFC3	0.285	11.307	2.521	-0.318	-0.991	-1.700	-0.991	-0.991	-1.700	-1.700	-1.705
MORF_PPP1CA MORF_PPP1CA	-3.817	0.663	1.215	0.519	3.547	-2.180	1.948	3.547	-1.452	-2.180	-5.536
GNF2_BUB1B GNF2_BUB1B	-0.783	7.740	6.174	-0.472	-0.472	-2.033	-0.783	-1.260	-0.783	-2.033	-2.038
MORF_JUND MORF_JUND	-1.750	-2.616	-0.315	0.940	2.889	-1.750	7.874	0.677	-1.183	-1.750	-2.622
MORF_ERH MORF_ERH	-1.626	1.401	1.401	1.401	2.342	-2.107	1.401	1.688	-2.107	-4.580	-4.591
GCM_UBE2N GCM_UBE2N	-1.788	-0.516	1.877	5.189	0.584	-4.030	2.809	1.133	-1.137	-1.788	-4.944
GCM_RAB10 GCM_RAB10	-3.566	1.847	-0.559	4.871	1.367	-2.997	0.789	2.114	-0.912	-0.720	-6.013
GCM_DFFA GCM_DFFA	-1.212	1.042	1.278	5.918	1.540	-3.995	0.646	0.487	-1.992	-1.563	-5.137
GNF2_CENPE GNF2_CENPE	-0.958	7.697	4.508	0.302	-0.300	-1.659	-0.549	-1.659	-1.659	-1.659	-1.663
MODULE_244 MODULE_244	-0.793	12.127	2.230	0.566	-0.996	-2.648	0.442	-0.480	-2.215	-1.515	-2.226
GNF2_TNFRSF1B GNF2_TNFRSF1B	-2.324	-2.324	-1.503	-0.978	-1.503	-2.324	-0.978	1.193	1.555	3.438	5.248
GCM_CBFB GCM_CBFB	-0.627	2.073	4.525	3.968	-0.251	-2.866	-0.627	-0.251	-1.966	-2.866	-2.873
