GO	[-5.46 -0.71]	[-0.71 -0.39]	[-0.39 -0.21]	[-0.21 -0.07]	[-0.07 0.00]	[0.00 0.01]	[0.01 0.16]	[0.16 0.34]	[0.34 0.64]	[0.64 1.16]	[1.16 6.41]
HOXA9_DN.V1_UP HOXA9_DN.V1_UP	-3.299	-1.082	-2.787	-1.082	-2.787	-3.891	-0.411	0.390	1.347	9.385	6.387
RPS14_DN.V1_UP RPS14_DN.V1_UP	0.327	-1.861	-2.674	-1.535	-3.759	-1.013	-1.013	-0.373	0.853	8.143	5.324
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	3.264	-0.942	-2.403	-2.403	0.937	1.645	-1.539	-1.212	-2.403	1.386	2.535
ALK_DN.V1_UP ALK_DN.V1_UP	5.885	-1.372	-1.372	-1.744	-0.611	1.875	-0.611	-0.448	-1.372	-1.372	2.842
KRAS.300_UP.V1_DN KRAS.300_UP.V1_DN	-0.352	-1.127	-3.521	-2.283	0.256	4.728	-1.443	-0.352	0.256	0.824	3.065
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	0.459	-0.538	-2.580	-2.048	-0.388	2.730	-1.256	-0.965	-1.256	1.477	4.768
PTEN_DN.V1_UP PTEN_DN.V1_UP	0.410	-1.909	-1.292	-1.292	0.820	5.664	-2.291	-1.292	0.665	-0.514	2.113
IL21_UP.V1_DN IL21_UP.V1_DN	1.391	-1.698	-2.059	-2.059	0.649	2.738	-1.698	-0.705	-1.121	1.177	3.038
NOTCH_DN.V1_DN NOTCH_DN.V1_DN	-0.415	-2.059	-1.121	-2.478	0.293	3.060	-1.387	-1.387	1.177	0.805	3.731
KRAS.LUNG_UP.V1_DN KRAS.LUNG_UP.V1_DN	0.804	-1.467	-2.872	-1.467	1.471	3.414	-1.148	-1.148	-0.672	0.478	2.329
IL2_UP.V1_DN IL2_UP.V1_DN	0.596	-0.916	-4.687	-0.916	-1.392	1.728	-0.730	0.270	0.740	0.740	3.455
KRAS.LUNG.BREAST_UP.V1_DN KRAS.LUNG.BREAST_UP.V1_DN	0.385	-0.461	-1.770	-1.395	0.385	4.408	-2.224	-0.832	-0.461	0.520	2.128
CTIP_DN.V1_DN CTIP_DN.V1_DN	0.342	-0.263	-2.019	-0.945	-1.588	3.547	-2.019	0.342	-0.377	0.811	2.081
VEGF_A_UP.V1_UP VEGF_A_UP.V1_UP	1.122	-1.100	-1.644	-1.100	-1.644	-0.421	-0.702	-0.421	0.285	2.906	3.541
IL15_UP.V1_DN IL15_UP.V1_DN	1.570	-0.928	-3.025	-0.928	-0.327	1.342	-0.571	-0.928	-0.733	0.620	3.638
MEK_UP.V1_UP MEK_UP.V1_UP	1.131	-3.076	-0.398	-0.517	-1.535	-2.202	0.301	0.397	1.131	1.330	2.277
ATF2_S_UP.V1_UP ATF2_S_UP.V1_UP	0.301	0.650	-1.600	-0.525	-0.525	1.163	-2.317	-1.312	-0.675	0.974	4.361
ATF2_S_UP.V1_DN ATF2_S_UP.V1_DN	1.443	0.327	-1.861	-1.535	0.553	-0.373	-1.254	-1.861	1.032	0.553	2.763
MEL18_DN.V1_DN MEL18_DN.V1_DN	1.385	-1.762	-1.762	-0.668	-0.370	0.948	-1.116	-0.870	0.339	0.599	3.553
CAHOY_ASTROGLIAL CAHOY_ASTROGLIAL	0.525	-1.357	-0.734	0.709	-0.734	0.249	-2.370	-1.008	0.709	0.709	3.661
KRAS.BREAST_UP.V1_DN KRAS.BREAST_UP.V1_DN	0.433	-1.004	-1.004	-1.004	-0.291	2.640	-2.106	-0.567	-0.567	1.171	2.284
PTEN_DN.V2_UP PTEN_DN.V2_UP	-0.424	-0.779	-1.325	-1.691	0.421	0.421	-0.779	-0.581	-0.301	2.596	2.935
LEF1_UP.V1_UP LEF1_UP.V1_UP	2.089	-0.495	-1.493	-2.152	0.533	-0.380	-0.285	-1.227	0.417	0.317	2.627
