GO	[-5.63 -0.68]	[-0.68 -0.36]	[-0.36 -0.19]	[-0.19 -0.06]	[-0.06 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.28]	[0.28 0.54]	[0.54 1.06]	[1.06 7.81]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-3.223	1.613	13.495	10.551	-0.293	-7.572	0.527	-0.660	-3.223	-7.572	-7.587
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-0.408	18.096	8.020	1.703	-2.143	-5.457	-0.542	-1.755	-3.133	-5.457	-6.707
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	0.711	16.091	7.190	1.577	-1.979	-4.599	-1.583	-2.455	-1.979	-5.776	-5.787
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.586	6.809	9.451	4.970	-1.338	-6.527	-0.493	-2.483	-3.629	-6.527	-3.639
WINNEPENNINCKX_MELANOMA_METASTASIS_UP WINNEPENNINCKX_MELANOMA_METASTASIS_UP	-0.872	19.128	3.301	2.630	-2.090	-6.611	-0.284	-0.872	-3.070	-4.449	-3.707
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	1.018	12.370	3.633	4.018	-1.543	-6.318	-1.908	-0.319	-4.194	-4.194	-5.116
PUJANA_BRCA_CENTERED_NETWORK PUJANA_BRCA_CENTERED_NETWORK	-0.262	14.697	6.707	0.839	-2.808	-4.692	-0.536	-1.309	-1.704	-4.692	-4.701
KEGG_SPLICEOSOME KEGG_SPLICEOSOME	-2.319	1.449	5.835	12.632	-0.810	-4.858	0.578	-0.597	-4.858	-4.858	-2.955
KONG_E2F3_TARGETS KONG_E2F3_TARGETS	0.385	15.419	3.287	1.195	-3.069	-4.109	0.385	-3.069	-1.768	-4.109	-3.076
FUJII_YBX1_TARGETS_DN FUJII_YBX1_TARGETS_DN	1.077	6.623	8.040	1.718	-3.972	-6.482	0.270	-0.334	-3.376	-2.020	-3.984
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.311	-2.982	-2.982	-2.350	7.377	13.947	-0.613	-2.982	-2.982	-0.828	-0.313
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	-0.689	5.357	3.420	5.357	0.301	-7.154	-0.689	-0.876	0.523	-4.143	-7.168
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	-2.340	0.660	-0.319	3.633	1.018	-5.105	9.922	1.459	-2.852	-4.194	-5.116
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	-1.681	7.554	5.327	3.124	-0.728	-7.781	0.270	0.469	-1.131	-3.376	-4.678
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	0.952	15.825	2.618	1.562	-4.560	-1.948	-1.948	-1.327	-1.615	-2.775	-1.957
BENPORATH_PROLIFERATION BENPORATH_PROLIFERATION	0.761	12.409	3.184	1.900	-2.172	-6.068	-1.406	-0.666	-1.113	-2.667	-3.268
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	-0.402	16.142	4.593	0.709	-2.256	-4.085	-0.921	-1.474	-2.256	-2.256	-1.480
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-2.705	-2.705	-0.929	1.682	0.906	-4.567	10.752	3.924	-0.493	-2.705	-3.493
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	-3.260	-0.974	0.268	4.923	1.142	-4.669	10.418	1.142	-1.511	-3.902	-3.270
REACTOME_NONSENSE_MEDIATED_DECAY_NMD REACTOME_NONSENSE_MEDIATED_DECAY_NMD	-2.194	-0.536	-0.262	2.924	1.058	-4.692	10.382	1.578	-2.808	-3.599	-3.607
REACTOME_S_PHASE REACTOME_S_PHASE	-1.029	7.985	4.664	2.790	-0.806	-5.222	0.956	-0.621	-2.426	-2.945	-5.234
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	-2.319	-0.430	0.426	2.372	0.961	-4.858	9.274	2.372	-2.947	-3.752	-3.760
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	2.880	10.443	3.546	0.738	-2.152	-5.113	-3.072	-0.958	-2.152	-0.345	-3.656
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.031	-2.031	-0.377	2.169	0.942	-3.734	12.111	1.816	-2.732	-2.732	-2.739
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	-3.943	1.302	-3.122	2.857	-0.354	-3.943	2.857	5.452	1.302	-3.943	-3.952
WHITEFORD_PEDIATRIC_CANCER_MARKERS WHITEFORD_PEDIATRIC_CANCER_MARKERS	0.796	11.491	4.984	1.009	-1.759	-3.676	-1.759	-2.878	-1.759	-1.358	-2.263
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	0.858	11.504	3.336	0.858	-1.835	-3.485	-2.510	-0.457	-1.835	-3.485	-1.840
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.343	-4.736	-2.069	-4.038	1.229	13.988	-1.426	-1.426	-1.725	0.864	1.898
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	-1.924	3.983	2.963	6.888	-0.851	-3.254	1.587	-0.301	-1.593	-4.525	-5.349
MISSIAGLIA_REGULATED_BY_METHYLATION_DN MISSIAGLIA_REGULATED_BY_METHYLATION_DN	0.578	11.238	4.376	1.192	-1.815	-4.858	-1.407	-1.407	-1.407	-2.947	-1.412
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	2.182	7.353	5.472	1.905	-1.467	-4.596	-2.657	-1.181	-1.803	-1.803	-3.206
KEGG_RIBOSOME KEGG_RIBOSOME	-1.835	-1.835	-0.671	2.084	0.858	-3.485	11.504	2.084	-2.510	-2.510	-2.516
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	0.342	13.110	3.942	0.809	-1.583	-4.020	-1.583	-0.710	-2.540	-3.192	-0.947
CROONQUIST_IL6_DEPRIVATION_DN CROONQUIST_IL6_DEPRIVATION_DN	0.350	13.533	4.285	0.505	-1.126	-2.064	-2.064	-1.534	-2.064	-2.064	-2.776
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	0.663	12.281	5.197	0.663	-1.901	-3.808	-0.835	-2.280	-2.280	-1.572	-1.579
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.916	-0.559	-3.939	-2.832	0.480	14.946	-1.366	-2.385	-0.897	-1.659	2.253
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-1.835	-1.335	-2.510	-1.835	5.984	10.734	-1.335	-3.485	-0.671	-0.301	0.300
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	-0.451	6.690	5.082	2.117	-0.634	-4.442	-0.868	-0.451	-0.868	-3.371	-4.450
RUIZ_TNC_TARGETS_DN RUIZ_TNC_TARGETS_DN	6.095	7.640	2.418	-1.607	-2.485	-4.638	-0.580	-0.580	-0.767	-1.273	-3.069
REACTOME_MITOTIC_SPINDLE_CHECKPOINT REACTOME_MITOTIC_SPINDLE_CHECKPOINT	-1.166	5.597	2.468	5.082	-0.634	-3.371	0.419	-0.451	-1.166	-4.442	-4.450
REACTOME_DNA_REPLICATION REACTOME_DNA_REPLICATION	-0.923	4.001	5.877	3.186	-0.509	-3.982	1.039	-0.923	-1.985	-3.982	-3.991
REACTOME_CHROMOSOME_MAINTENANCE REACTOME_CHROMOSOME_MAINTENANCE	5.835	9.912	0.301	0.756	-1.407	-2.947	-0.597	-2.319	-1.076	-1.815	-3.760
VERHAAK_AML_WITH_NPM1_MUTATED_UP VERHAAK_AML_WITH_NPM1_MUTATED_UP	-0.301	-0.876	-2.922	-0.533	-2.922	-1.099	-3.484	-0.689	-0.533	6.703	10.881
REACTOME_G2_M_CHECKPOINTS REACTOME_G2_M_CHECKPOINTS	2.592	6.119	2.287	2.287	-1.402	-3.731	0.544	-1.123	-1.402	-3.731	-5.430
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	3.474	8.188	1.300	1.817	-2.007	-3.761	-0.310	-0.996	-2.007	-2.007	-4.648
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-0.645	10.473	1.901	2.823	-1.005	-2.363	-1.005	-1.005	-2.363	-2.363	-2.367
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	4.808	10.141	-0.280	1.055	-1.918	-2.500	-0.280	-1.460	-2.500	-1.918	-3.265
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	6.682	10.011	-0.771	0.737	-1.998	-1.998	-1.077	-1.476	-1.077	-1.998	-2.701
BURTON_ADIPOGENESIS_3 BURTON_ADIPOGENESIS_3	-0.588	12.573	1.421	2.448	-2.097	-3.818	-1.563	-1.563	-2.097	-0.404	-1.155
CROONQUIST_NRAS_SIGNALING_DN CROONQUIST_NRAS_SIGNALING_DN	0.389	10.328	5.298	0.239	-1.301	-2.778	-1.890	-0.884	-1.890	-1.890	-1.895
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	-0.348	-0.984	-0.714	1.781	0.947	-4.109	10.090	1.474	-2.331	-3.069	-3.076
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	6.486	9.844	-0.690	0.435	-1.868	-1.868	-0.313	-1.868	-1.868	-1.868	-2.553
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	4.452	4.891	2.540	-0.395	-1.209	-2.961	1.638	-1.209	-1.534	-2.961	-5.703
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-0.800	5.020	4.161	2.665	-1.034	-5.901	1.490	-0.608	-1.317	-2.545	-3.842
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.807	2.076	5.801	4.716	-0.268	-3.818	-0.268	-0.833	-0.404	-2.807	-3.825
REACTOME_SELENOAMINO_ACID_METABOLISM REACTOME_SELENOAMINO_ACID_METABOLISM	0.453	-1.358	-1.034	2.120	1.009	-3.676	9.496	1.513	-2.256	-2.878	-3.684
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	-3.516	1.171	-0.309	2.417	-0.703	-4.177	3.376	4.482	0.803	-2.468	-5.942
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN	-0.430	7.353	5.472	2.478	-0.736	-2.197	-0.736	-1.181	-1.467	-2.197	-5.548
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	1.381	-1.534	-3.653	-2.395	-0.718	-0.718	-1.534	-1.209	-1.209	3.628	12.127
KRIGE_AMINO_ACID_DEPRIVATION KRIGE_AMINO_ACID_DEPRIVATION	17.626	-1.160	-1.160	-1.160	-0.579	-1.160	-1.160	-1.160	-1.160	0.607	-0.581
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	-0.730	11.039	2.715	1.945	-2.621	-1.933	-0.730	-1.028	-3.610	-1.419	-1.032
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	8.751	7.284	-1.301	0.389	-1.890	-1.301	-0.585	-1.890	-1.890	-1.301	-1.895
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	-3.032	1.509	-2.297	1.821	-0.490	-4.067	2.530	4.265	1.509	-3.032	-3.039
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	7.899	7.899	-0.471	0.301	-2.107	-1.038	-0.710	-2.107	-2.107	-1.486	-2.112
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	6.021	8.400	0.347	0.668	-1.858	-2.432	-0.552	-1.407	-1.051	-2.432	-3.189
REN_BOUND_BY_E2F REN_BOUND_BY_E2F	1.741	9.910	2.609	-0.452	-1.092	-2.487	-0.714	-1.092	-1.641	-2.487	-2.492
SCHUHMACHER_MYC_TARGETS_UP SCHUHMACHER_MYC_TARGETS_UP	1.026	10.898	1.026	0.382	-0.819	-3.235	0.382	-1.171	-0.819	-3.235	-3.242
DANG_MYC_TARGETS_UP DANG_MYC_TARGETS_UP	0.321	5.165	5.165	0.769	-0.399	-5.234	0.446	-0.282	-1.276	-3.262	-4.106
UDAYAKUMAR_MED1_TARGETS_UP UDAYAKUMAR_MED1_TARGETS_UP	0.802	1.000	10.560	0.628	-2.306	-5.567	1.000	-0.884	-0.884	-1.462	-2.313
KARLSSON_TGFB1_TARGETS_UP KARLSSON_TGFB1_TARGETS_UP	0.254	3.237	9.359	1.063	-1.532	-3.943	-1.186	-2.477	0.501	-3.122	-0.908
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP	0.558	8.720	4.439	1.069	-1.707	-3.697	-0.872	-0.284	-2.090	-2.090	-2.549
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	5.397	7.669	0.649	0.649	-1.888	-2.466	-0.270	-1.888	-1.433	-1.888	-3.227
REACTOME_TELOMERE_MAINTENANCE REACTOME_TELOMERE_MAINTENANCE	5.988	9.171	-0.247	-0.247	-1.505	-2.031	-0.554	-2.031	-1.505	-1.101	-2.739
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	1.858	10.011	2.605	0.376	-1.077	-2.695	-1.476	-1.476	-2.695	-1.998	-1.081
REACTOME_MITOTIC_PROPHASE REACTOME_MITOTIC_PROPHASE	3.758	6.440	0.660	2.036	-3.126	-3.126	0.381	-0.800	-0.800	-3.126	-3.135
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	2.182	8.382	2.478	0.806	-1.803	-3.833	-0.430	-0.736	-0.939	-2.197	-3.844
REACTOME_MEIOTIC_RECOMBINATION REACTOME_MEIOTIC_RECOMBINATION	8.432	6.486	-0.690	0.290	-1.363	-0.690	-0.473	-2.547	-1.868	-1.363	-2.553
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	-3.102	1.975	3.163	2.247	-0.607	-6.126	0.452	1.975	0.722	-1.211	-5.162
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	5.679	7.365	-0.437	0.784	-0.617	-2.568	0.301	-1.513	-1.513	-2.568	-3.341
REACTOME_HCMV_LATE_EVENTS REACTOME_HCMV_LATE_EVENTS	7.087	7.087	-1.358	0.453	-1.759	-2.256	0.322	-0.773	-1.034	-1.034	-3.684
REACTOME_DEFENSINS REACTOME_DEFENSINS	-1.657	-0.958	-1.657	-1.657	7.675	5.225	-0.300	-1.657	-1.657	0.302	-0.960
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.846	10.473	1.504	0.588	-2.363	-1.536	-0.645	-1.005	-1.005	-2.363	-2.367
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	2.066	-2.512	-3.663	-3.039	-0.505	1.539	-2.512	-0.663	-1.085	4.095	5.326
REACTOME_HOMOLOGY_DIRECTED_REPAIR REACTOME_HOMOLOGY_DIRECTED_REPAIR	2.974	7.527	1.701	0.978	-1.486	-3.582	-0.686	-0.686	-0.902	-2.335	-3.591
