GO	[-8.26 -0.85]	[-0.85 -0.27]	[-0.27 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.37]	[0.37 1.02]	[1.02 10.22]
GO:0043123 positive regulation of I-kappaB kinase/NF-kappaB signaling	-3.248	0.480	4.889	-5.596	-3.888	-6.840	-3.888	-2.706	8.678	3.719	3.024
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	0.613	0.773	-1.027	-2.935	-1.608	-1.980	-2.418	-1.608	2.157	2.457	5.500
GO:0022617 extracellular matrix disassembly	-1.116	0.598	0.265	0.412	-2.213	-1.578	-3.148	-0.522	-1.116	3.900	4.987
GO:0000902 cell morphogenesis	0.675	-0.315	3.912	-2.609	-2.609	-1.180	-1.746	-1.746	0.937	0.675	2.409
GO:0008081 phosphoric diester hydrolase activity	0.259	0.944	-0.348	-1.430	-2.236	-0.920	-2.236	-2.236	1.274	2.540	3.050
GO:0031514 motile cilium	0.246	3.454	0.736	-1.474	-1.995	-3.687	-1.474	-0.537	0.376	0.539	3.014
GO:0005544 calcium-dependent phospholipid binding	-1.190	0.597	1.619	-1.190	-1.946	-0.728	-1.190	-1.946	0.883	0.883	3.685
GO:1902476 chloride transmembrane transport	-0.418	0.651	0.325	-1.589	-1.589	-1.174	-1.174	-2.127	0.863	3.649	2.785
GO:0006968 cellular defense response	-0.235	0.379	-1.534	-1.534	-1.005	-1.534	-1.005	-0.398	1.502	2.336	2.818
GO:0009972 cytidine deamination	-0.373	0.240	-0.373	-0.373	0.240	-0.373	-0.373	-0.373	-0.373	1.382	2.229
