GO	[-5.46 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.41]
MORF_NPM1 MORF_NPM1	-4.322	-0.809	0.476	4.288	3.891	-3.577	9.160	2.181	-5.244	-6.469	-6.485
GNF2_RRM1 GNF2_RRM1	-0.338	13.495	6.315	1.027	-1.031	-3.617	-1.423	-2.627	-1.937	-3.617	-3.626
MORF_HAT1 MORF_HAT1	-3.404	6.502	6.981	1.267	1.062	-3.404	0.435	0.709	-2.370	-5.798	-7.076
GCM_MLL GCM_MLL	-4.024	-0.365	1.519	5.652	0.336	-7.017	3.275	2.617	-0.636	-1.585	-5.774
MODULE_92 MODULE_92	1.525	-1.018	-5.880	-3.812	0.283	8.169	-3.106	-1.300	-1.018	1.793	2.380
GNF2_HCK GNF2_HCK	-1.839	-3.492	-3.492	-0.672	-1.338	-3.492	-0.672	1.116	1.116	4.335	7.242
MORF_PPP6C MORF_PPP6C	-3.115	-1.803	0.709	1.749	1.445	-2.371	5.680	3.243	-1.803	-1.803	-4.171
MORF_BECN1 MORF_BECN1	-3.077	-2.337	1.479	0.949	-0.348	-4.119	2.126	5.766	1.199	-2.337	-2.345
MORF_EIF4E MORF_EIF4E	-0.912	2.591	3.485	2.189	0.680	-2.441	0.912	-1.775	-0.912	-2.441	-3.417
MODULE_324 MODULE_324	0.564	-1.326	-1.326	-2.678	-1.025	2.598	-1.025	-1.326	-0.424	0.927	6.538
MODULE_436 MODULE_436	0.291	-1.101	-0.443	-4.915	-0.311	-0.311	0.291	-1.849	-0.311	4.803	2.682
MORF_CDH4 MORF_CDH4	2.222	0.549	-1.046	-1.719	1.361	3.285	-1.349	-1.046	-4.227	1.361	-0.802
MODULE_199 MODULE_199	0.879	-1.503	-1.503	-1.503	-0.382	-2.324	0.233	-0.623	-0.382	4.009	3.428
MODULE_113 MODULE_113	0.477	-0.569	-2.473	-1.437	1.085	3.943	-1.893	-1.437	-1.437	0.852	2.662
CAR_HPX CAR_HPX	0.314	-1.457	-1.013	-1.013	0.314	5.415	-0.689	-2.074	-1.457	0.314	3.212
GNF2_KISS1 GNF2_KISS1	-0.228	-0.411	-1.908	-1.158	0.389	8.283	-0.703	-1.158	-0.703	-0.703	0.918
GNF2_DDX5 GNF2_DDX5	-2.533	-0.287	-0.287	1.694	1.006	-1.123	3.035	1.006	-0.739	-0.739	-2.539
MODULE_97 MODULE_97	-1.625	-0.624	3.168	2.358	-0.290	-3.910	1.357	0.313	-0.432	-0.624	-0.881
MORF_MAP3K14 MORF_MAP3K14	0.987	0.311	-1.793	-1.793	0.311	5.954	-2.295	-0.793	-0.793	0.311	0.981
GNF2_SPINK1 GNF2_SPINK1	0.773	-0.994	-0.994	-0.994	2.361	1.215	-0.462	-0.994	-0.994	-0.994	2.355
MODULE_248 MODULE_248	2.778	-1.589	-1.589	-2.549	-0.377	1.509	-0.945	-1.589	0.473	1.251	1.781
GCM_ERBB2IP GCM_ERBB2IP	-0.836	1.507	-1.243	1.883	0.423	-1.822	-0.836	3.240	0.628	-1.243	-1.827
MODULE_410 MODULE_410	-0.234	-1.493	-1.493	-1.493	0.381	1.392	-0.829	-0.453	-0.453	0.647	4.317
MODULE_247 MODULE_247	0.403	-0.430	-1.451	-0.430	-0.797	1.032	-1.451	-0.430	-1.451	3.750	1.447
GNF2_CBFB GNF2_CBFB	-1.202	0.573	1.367	0.929	0.929	-1.202	1.880	-0.300	-1.202	-1.202	-1.205
GNF2_DNM1 GNF2_DNM1	1.000	-0.962	-1.395	-0.962	-0.263	2.884	-1.395	-0.647	-0.647	-0.422	3.357
GNF2_MSN GNF2_MSN	-0.953	-0.953	-0.953	-0.953	0.457	-0.434	0.457	3.194	1.838	-0.434	-0.435
MODULE_426 MODULE_426	0.451	0.301	-0.959	-1.338	1.116	1.116	-3.492	-0.672	-0.672	1.408	1.401
MODULE_329 MODULE_329	1.465	-1.295	-1.295	-0.810	0.317	2.856	-1.295	-0.492	-1.295	0.783	1.093
GNF2_CCNA1 GNF2_CCNA1	0.628	-1.243	-1.243	-1.822	0.628	3.764	0.262	-1.243	-0.836	0.628	0.873
MODULE_298 MODULE_298	-0.222	-1.036	-1.036	-1.036	1.661	2.922	-0.491	-0.222	-1.036	-0.222	0.725
GCM_CDH5 GCM_CDH5	2.015	-1.410	-0.407	-0.765	0.427	3.878	-0.765	-0.407	-0.765	-0.765	0.215
MODULE_239 MODULE_239	-1.821	-0.301	0.963	3.954	0.426	-1.821	0.757	-0.301	0.301	-0.430	-1.829
MODULE_186 MODULE_186	4.566	-0.829	-0.829	-0.829	0.256	0.256	-0.829	-0.351	0.256	0.566	-0.352
MODULE_545 MODULE_545	0.279	0.279	-0.787	-0.324	0.279	4.790	0.279	-0.787	-0.787	-0.324	-0.789
MODULE_318 MODULE_318	0.979	3.980	0.324	0.324	-0.279	-1.160	-0.279	-0.580	-0.580	-0.580	-1.163
MODULE_36 MODULE_36	-1.365	-0.858	0.573	2.373	0.900	-1.365	0.726	1.095	0.726	-1.365	-1.700
