GO	[-6.20 -0.49]	[-0.49 -0.22]	[-0.22 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.17]	[0.17 0.35]	[0.35 0.73]	[0.73 7.26]
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	1.077	0.361	-0.441	-1.386	-2.860	-2.860	-2.020	-2.411	0.737	1.487	10.632
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	0.581	-0.395	-1.209	-2.395	-0.939	-1.209	-2.961	-1.925	-0.395	4.891	9.015
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	-0.267	-0.839	-0.267	-3.007	-2.038	-4.376	-2.483	2.099	0.586	4.147	4.535
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.613	-0.784	-2.975	-2.975	-1.204	2.665	-1.769	-2.118	-0.483	2.377	5.494
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3 MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	2.059	-1.818	-1.439	-1.818	-0.866	3.446	-1.439	-1.439	-0.655	0.491	4.684
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	2.182	-1.181	-3.196	-3.196	-0.319	1.407	-1.803	-0.319	-0.568	1.187	4.209
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	0.594	-1.055	-1.055	-1.055	-2.912	-1.787	-1.055	-0.291	1.220	1.481	6.978
WIERENGA_STAT5A_TARGETS_UP WIERENGA_STAT5A_TARGETS_UP	0.271	-0.711	-0.711	-0.562	-1.929	-2.291	-2.705	0.359	0.464	5.529	3.990
MIKKELSEN_MEF_ICP_WITH_H3K27ME3 MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.831	-0.483	-2.517	-4.104	0.678	2.665	-1.769	-0.978	0.326	-0.278	4.696
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	1.539	-0.505	-4.413	-3.663	0.328	0.724	-0.855	-0.855	-0.377	3.347	2.348
