GO	[-6.20 -0.49]	[-0.49 -0.23]	[-0.23 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.07]	[0.07 0.17]	[0.17 0.35]	[0.35 0.73]	[0.73 7.26]
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	3.205	-1.346	-4.596	-3.315	-0.882	5.032	-0.700	-1.346	-1.637	2.026	2.571
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	2.561	-0.828	-3.062	-4.913	0.783	2.017	-1.027	-1.528	-0.516	1.126	2.843
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	5.758	-0.828	-2.598	-4.204	-0.828	0.637	-1.259	-0.659	0.946	0.396	2.549
GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN	3.639	-1.186	-3.944	-2.477	0.850	3.238	-1.956	-0.354	0.365	-0.677	1.058
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	3.577	0.311	-1.952	-2.425	-1.559	4.828	0.566	-2.994	-0.552	0.566	-0.294
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN	2.312	-0.424	-4.158	-0.956	-0.424	4.478	-1.883	-0.956	-1.520	0.527	2.302
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.748	0.368	-2.267	-2.679	-0.325	1.258	-1.590	-3.149	-0.550	1.068	4.036
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	2.548	-0.431	-2.832	-1.114	0.277	3.497	-0.714	-1.996	-1.659	-0.714	3.829
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	2.395	0.338	-1.660	-3.008	1.329	2.710	-0.367	-4.377	-1.338	0.586	0.911
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP	3.863	-0.348	-2.426	-1.296	-0.621	2.470	-2.426	-2.426	-0.348	0.615	2.159
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN	4.335	-0.278	-1.467	-3.500	0.326	1.392	-0.978	-2.118	-0.784	2.106	0.539
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	2.118	-0.513	-2.719	-2.281	-0.513	2.118	-1.044	-1.572	-0.391	0.663	3.658
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP	2.249	-0.672	-3.091	-1.044	0.928	1.514	-0.843	-3.624	0.387	1.302	0.922
GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_DN GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_DN	2.712	0.359	-3.718	-2.292	-0.711	2.156	0.464	-1.335	0.359	0.464	0.717
GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_UP GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_UP	2.874	3.220	-0.329	-0.446	-0.774	-0.329	-0.594	-1.566	-1.934	-0.993	0.991
GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP	3.452	-1.278	-0.527	-1.044	1.302	0.497	-0.843	-2.625	0.623	-0.407	0.762
