GO	[-7.20 -0.50]	[-0.50 -0.22]	[-0.22 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.17]	[0.17 0.36]	[0.36 0.75]	[0.75 7.51]
RBM10_HEK293_Plass RBM10_HEK293_Plass	-2.045	1.056	3.407	3.407	-0.742	-7.823	1.461	2.197	-0.584	-1.150	-5.515
AGO2_HEK293_Plass AGO2_HEK293_Plass	-2.117	-0.478	2.918	1.688	-1.362	-4.794	0.359	4.459	1.432	-1.074	-3.187
IMP3_HEK293_Plass IMP3_HEK293_Plass	-3.127	1.750	4.157	1.750	-0.609	-4.716	1.029	-0.330	1.029	-1.318	-3.121
CF_Im59_HEK293_Plass CF_Im59_HEK293_Plass	-3.531	1.165	0.981	3.243	-0.995	-5.673	1.367	2.927	0.317	-0.995	-2.137
GPKOW_K562_POSTAR_eCLIP GPKOW_K562_POSTAR_eCLIP	-2.217	1.985	5.283	2.816	-1.860	-5.785	-0.672	0.293	0.386	-0.309	-1.274
CF_Im68_HEK293_Plass CF_Im68_HEK293_Plass	-2.255	1.007	1.199	2.147	-1.027	-5.262	1.410	1.410	1.007	-0.285	-4.448
FMR1_HEK293_Plass FMR1_HEK293_Plass	-3.226	-0.490	3.600	3.600	-0.851	-3.941	1.174	1.405	-0.258	-1.384	-1.380
ZC3H7B_HEK293_Plass ZC3H7B_HEK293_Plass	-3.094	1.052	3.053	2.377	-0.320	-3.797	0.392	1.782	-0.441	-0.784	-3.088
CPSF-160_HEK293_Plass CPSF-160_HEK293_Plass	-1.782	0.742	1.127	3.135	-0.886	-4.013	0.583	3.500	-0.275	-1.133	-2.693
IMP1_HEK293_Plass IMP1_HEK293_Plass	-2.336	0.340	1.699	1.195	-0.373	-4.445	1.195	2.293	0.977	-0.687	-3.577
AGO1_HEK293_Plass AGO1_HEK293_Plass	-1.584	-0.377	0.808	1.501	-0.524	-5.151	2.085	2.085	0.627	-0.377	-2.536
MOV10_HEK293_Plass MOV10_HEK293_Plass	-2.831	0.491	0.255	1.494	-1.125	-4.368	2.372	1.246	1.764	0.255	-1.815
IMP2_HEK293_Plass IMP2_HEK293_Plass	-1.858	0.865	1.770	1.513	-0.554	-5.028	1.060	1.060	1.060	-0.728	-2.785
DDX6_K562_POSTAR_eCLIP DDX6_K562_POSTAR_eCLIP	-2.127	1.106	0.920	1.106	-1.445	-5.076	2.916	-0.336	1.534	-0.747	-0.580
CPSF1_HEK293_POSTAR_Piranha_0.01 CPSF1_HEK293_POSTAR_Piranha_0.01	0.336	0.445	1.077	2.596	-0.813	-4.780	1.753	-0.365	0.890	-2.804	-0.810
C22orf28_HEK293_Plass C22orf28_HEK293_Plass	-2.995	-0.940	0.576	1.255	-0.677	-2.264	0.998	1.543	2.205	0.576	-2.260
FBL_HEK293_Plass FBL_HEK293_Plass	-2.820	1.376	3.010	0.790	-0.910	-1.927	0.790	0.560	0.372	-0.910	-1.330
ZRANB2_K562_POSTAR_eCLIP ZRANB2_K562_POSTAR_eCLIP	-0.373	0.464	1.985	3.731	-0.903	-2.336	1.436	-1.167	-0.373	-2.336	-0.510
NOP58_HEK293_Plass NOP58_HEK293_Plass	-2.043	0.991	1.747	1.471	-0.538	-4.059	0.788	0.458	0.991	-0.727	-1.250
SRRM4_HEK293T_POSTAR_CIMS SRRM4_HEK293T_POSTAR_CIMS	-1.035	0.660	2.663	1.029	-1.318	-3.833	1.750	0.833	-1.035	-0.453	-0.606
DGCR8_HEK293_Plass DGCR8_HEK293_Plass	-1.748	-0.508	1.983	2.412	-1.181	-1.748	0.938	1.244	0.288	-0.508	-1.745
CstF-64tau_HEK293_Plass CstF-64tau_HEK293_Plass	-0.935	0.539	-0.405	0.539	-0.626	-2.862	1.682	1.336	0.763	0.763	-2.858
SSB_HEK293_POSTAR_Piranha_0.01 SSB_HEK293_POSTAR_Piranha_0.01	3.227	-0.546	0.422	0.627	-1.241	-2.696	1.502	-0.546	-0.344	-1.819	0.629
AGO3_HEK293_Plass AGO3_HEK293_Plass	-1.948	-0.431	2.067	0.883	-0.431	-1.948	0.883	1.225	0.370	-0.242	-1.946
CPSF-30_HEK293_Plass CPSF-30_HEK293_Plass	-2.331	0.541	0.384	0.946	0.259	-4.109	0.946	1.195	0.728	0.541	-1.326
SERBP1_K562_POSTAR_eCLIP SERBP1_K562_POSTAR_eCLIP	-0.659	-1.252	1.287	-0.312	1.901	-1.680	3.925	-0.461	0.290	-0.918	-1.676
SUB1_HepG2_POSTAR_eCLIP SUB1_HepG2_POSTAR_eCLIP	-1.341	-0.521	2.794	1.923	-1.341	-2.893	1.923	0.413	-0.521	-0.675	-0.291
SMNDC1_K562_POSTAR_eCLIP SMNDC1_K562_POSTAR_eCLIP	-0.744	0.321	2.670	1.192	-2.072	-3.263	0.968	0.968	0.321	-0.282	-1.273
YTHDF2_HEK293T_POSTAR_Piranha_0.01 YTHDF2_HEK293T_POSTAR_Piranha_0.01	-0.694	1.038	1.273	1.273	-1.209	-3.157	2.454	-0.510	0.644	-0.924	-1.205
LARP4_HepG2_POSTAR_eCLIP LARP4_HepG2_POSTAR_eCLIP	-0.829	0.636	0.782	0.636	-0.659	-5.748	1.125	1.767	0.507	-0.829	-0.300
DHX30_K562_POSTAR_eCLIP DHX30_K562_POSTAR_eCLIP	-1.406	-0.502	2.500	0.944	-0.869	-2.173	0.597	0.944	0.944	0.597	-2.662
ILF3_K562_POSTAR_eCLIP ILF3_K562_POSTAR_eCLIP	0.798	1.056	1.681	1.350	-1.612	-2.253	0.578	-0.797	0.578	-1.612	-0.795
TIA1_K562_POSTAR_eCLIP TIA1_K562_POSTAR_eCLIP	-0.284	-0.518	3.660	1.279	-1.105	-3.071	0.428	-0.678	0.707	0.428	-1.101
MTPAP_K562_POSTAR_eCLIP MTPAP_K562_POSTAR_eCLIP	0.290	0.762	0.977	2.842	-1.540	-2.603	0.290	0.576	0.419	-0.451	-2.006
RBM5_HepG2_POSTAR_eCLIP RBM5_HepG2_POSTAR_eCLIP	-1.280	0.484	0.484	3.957	-1.771	-1.771	1.176	-0.277	-0.427	-0.633	0.327
TARDBP_HEK293T_POSTAR_Piranha_0.01 TARDBP_HEK293T_POSTAR_Piranha_0.01	-0.641	-0.301	0.817	3.093	-0.301	-3.943	0.613	0.441	-0.447	-0.641	-0.300
DICER1_HEK293_POSTAR_PARalyzer DICER1_HEK293_POSTAR_PARalyzer	-0.940	-0.940	3.625	1.380	0.580	-2.396	0.745	-0.539	-0.940	-0.539	0.322
