GO	[-7.84 -0.57]	[-0.57 -0.29]	[-0.29 -0.15]	[-0.15 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.28]	[0.28 0.55]	[0.55 1.09]	[1.09 24.36]
TNRC6A_HEK293_Plass TNRC6A_HEK293_Plass	-2.071	-0.982	1.442	1.714	-0.743	-4.096	2.010	1.442	0.595	0.446	-2.079
BCCIP_HepG2_POSTAR_eCLIP BCCIP_HepG2_POSTAR_eCLIP	2.791	0.284	2.181	1.406	-1.802	-0.939	-0.736	0.806	-0.736	-1.802	-1.188
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-0.355	0.346	0.909	0.909	-0.474	-4.741	1.099	2.333	-0.260	-0.797	-1.267
HNRNPU_K562_POSTAR_eCLIP HNRNPU_K562_POSTAR_eCLIP	-0.275	0.572	2.357	2.065	-2.063	-0.663	-2.063	0.440	0.572	-1.682	0.325
IGF2BP3_PL45_POSTAR_Piranha_0.01 IGF2BP3_PL45_POSTAR_Piranha_0.01	-1.731	0.333	3.679	0.333	-0.755	-1.333	-0.755	-0.392	-0.271	-0.551	2.150
YWHAG_K562_POSTAR_eCLIP YWHAG_K562_POSTAR_eCLIP	0.676	1.039	2.625	1.039	-2.819	-0.956	-0.566	0.292	-1.213	-0.956	0.523
HNRNPUL1_K562_POSTAR_eCLIP HNRNPUL1_K562_POSTAR_eCLIP	2.487	1.030	1.683	0.539	-0.934	-1.362	-0.405	-0.251	-1.362	-1.362	-0.408
HNRNPA1_K562_POSTAR_eCLIP HNRNPA1_K562_POSTAR_eCLIP	-1.959	0.488	0.976	1.180	-1.010	-1.275	0.367	3.173	0.267	-1.010	-0.612
EZH2_HCT116_POSTAR_Piranha_0.01 EZH2_HCT116_POSTAR_Piranha_0.01	1.154	0.289	2.202	-0.731	-2.143	-0.731	-0.488	-1.517	1.467	-0.314	0.443
EZH2_HCT116_POSTAR_iCLIP EZH2_HCT116_POSTAR_iCLIP	1.154	0.289	2.202	-0.731	-2.143	-0.731	-0.488	-1.517	1.467	-0.314	0.443
