GO	[-7.84 -0.56]	[-0.56 -0.29]	[-0.29 -0.15]	[-0.15 -0.05]	[-0.05 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.28]	[0.28 0.54]	[0.54 1.08]	[1.08 8.49]
UCHL5_K562_POSTAR_eCLIP UCHL5_K562_POSTAR_eCLIP	-0.490	2.540	1.405	0.470	-1.384	-3.942	2.226	0.612	0.349	-1.384	-1.725
NCBP2_HepG2_POSTAR_eCLIP NCBP2_HepG2_POSTAR_eCLIP	-0.595	4.070	0.407	1.616	-1.043	-1.714	1.616	0.548	-0.796	-2.702	-1.340
DHX30_K562_POSTAR_eCLIP DHX30_K562_POSTAR_eCLIP	-0.715	2.608	1.368	0.330	-0.715	-2.488	0.756	2.154	-1.093	-1.642	-1.090
GEMIN5_K562_POSTAR_eCLIP GEMIN5_K562_POSTAR_eCLIP	-1.115	2.261	1.743	1.994	-0.560	-1.998	1.095	0.370	-0.715	-1.660	-1.652
EIF3G_HEK293T_POSTAR_PARalyzer EIF3G_HEK293T_POSTAR_PARalyzer	-1.902	0.588	2.634	1.782	-0.475	-2.305	0.588	-0.475	1.098	-1.902	-0.471
EFTUD2_HepG2_POSTAR_eCLIP EFTUD2_HepG2_POSTAR_eCLIP	0.278	0.736	1.688	0.736	-0.427	-0.699	2.457	0.368	-0.874	-4.305	-1.073
NKRF_HepG2_POSTAR_eCLIP NKRF_HepG2_POSTAR_eCLIP	1.096	0.317	1.877	-0.285	-1.294	0.317	0.782	1.096	-2.073	-1.294	-1.290
DROSHA_K562_POSTAR_eCLIP DROSHA_K562_POSTAR_eCLIP	-0.727	2.370	0.611	2.715	-0.273	-1.254	0.788	-0.273	-1.254	-0.963	-2.037
EIF3D_HEK293T_POSTAR_PARalyzer EIF3D_HEK293T_POSTAR_PARalyzer	0.693	3.100	1.074	0.403	-0.580	-2.486	0.872	-1.274	0.403	-0.997	-1.269
EIF3D_HEK293T_POSTAR_PAR-CLIP EIF3D_HEK293T_POSTAR_PAR-CLIP	0.644	2.963	1.007	0.495	-0.623	-2.090	0.814	-1.340	0.495	-1.054	-1.334
EIF3G_HEK293T_POSTAR_PAR-CLIP EIF3G_HEK293T_POSTAR_PAR-CLIP	-2.052	0.510	2.415	1.863	-0.546	-1.692	0.510	-0.546	0.976	-1.118	-0.542
NUDT21_HEK293_POSTAR_Piranha_0.01 NUDT21_HEK293_POSTAR_Piranha_0.01	-0.661	1.888	1.888	0.870	-1.165	-2.446	0.679	0.515	-0.343	-0.886	-0.881
YTHDF2_HEK293T_POSTAR_CIMS YTHDF2_HEK293T_POSTAR_CIMS	0.430	1.913	-0.491	1.026	-0.373	-2.230	0.691	1.221	-0.373	-2.663	-0.487
EIF3B_HEK293T_POSTAR_PAR-CLIP EIF3B_HEK293T_POSTAR_PAR-CLIP	-0.909	0.928	1.716	0.928	-0.479	-2.071	1.716	-0.909	0.543	-0.909	-0.905
RPS3_HepG2_POSTAR_eCLIP RPS3_HepG2_POSTAR_eCLIP	-0.944	2.761	1.245	1.014	0.342	-1.584	0.808	-0.710	-0.710	-0.944	-0.939
