GO	[-5.84 -0.57]	[-0.57 -0.30]	[-0.30 -0.15]	[-0.15 -0.05]	[-0.05 0.00]	[0.00 0.05]	[0.05 0.16]	[0.16 0.33]	[0.33 0.61]	[0.61 1.16]	[1.16 7.51]
LEF1_UP.V1_UP LEF1_UP.V1_UP	0.533	0.533	-2.152	-2.152	-0.635	-0.380	-1.800	-3.018	0.533	3.271	5.893
ERBB2_UP.V1_UP ERBB2_UP.V1_UP	-2.369	-1.352	-1.352	-0.318	-1.100	-3.330	-0.318	0.937	2.906	2.038	3.205
CAHOY_NEURONAL CAHOY_NEURONAL	0.399	0.399	-1.742	-2.302	0.559	1.827	-2.302	-3.038	0.751	0.559	3.342
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	2.898	-1.931	-2.403	-1.539	0.320	0.320	-0.942	-0.942	-0.942	2.898	2.879
KRAS.PROSTATE_UP.V1_DN KRAS.PROSTATE_UP.V1_DN	1.360	-1.349	-0.596	-1.349	1.360	2.907	-1.349	-2.709	-1.718	0.408	2.535
ESC_V6.5_UP_EARLY.V1_DN ESC_V6.5_UP_EARLY.V1_DN	0.726	-0.665	-1.089	-3.677	-0.506	-0.506	-1.364	0.328	-0.378	4.123	2.997
KRAS.LUNG_UP.V1_DN KRAS.LUNG_UP.V1_DN	-0.362	-0.672	-1.467	-1.467	3.414	1.471	-1.148	-2.872	-0.499	1.003	2.017
P53_DN.V1_UP P53_DN.V1_UP	-0.432	-0.900	-1.118	-1.666	-0.326	-1.371	-1.118	0.277	0.277	3.187	5.397
CTIP_DN.V1_UP CTIP_DN.V1_UP	-0.925	-0.694	-1.211	-1.562	3.602	0.831	-0.925	-1.991	-0.365	0.487	3.581
ATM_DN.V1_DN ATM_DN.V1_DN	0.695	-1.612	-1.612	-1.612	1.554	0.538	-2.013	-1.277	0.695	0.695	3.865
BCAT.100_UP.V1_UP BCAT.100_UP.V1_UP	0.572	-0.756	-1.226	-0.756	-1.226	-0.756	-1.226	-0.451	0.572	1.183	5.561
KRAS.LUNG.BREAST_UP.V1_DN KRAS.LUNG.BREAST_UP.V1_DN	0.273	0.385	-0.626	-3.450	1.072	0.864	-2.224	-1.770	0.520	1.072	2.451
MEK_UP.V1_UP MEK_UP.V1_UP	-0.661	0.785	-1.264	-0.398	-1.846	-3.076	-0.517	1.131	0.397	1.330	3.496
KRAS.300_UP.V1_UP KRAS.300_UP.V1_UP	1.225	-0.886	-0.886	-0.672	-0.672	0.351	-1.467	-1.850	-0.499	2.032	4.204
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	2.057	-0.538	-0.388	-1.256	-0.388	1.755	-1.613	-2.048	-0.965	0.459	2.713
ATF2_S_UP.V1_DN ATF2_S_UP.V1_DN	0.694	-0.373	-0.808	-2.238	-0.635	0.431	-2.674	-0.373	1.032	0.553	4.132
KRAS.PROSTATE_UP.V1_UP KRAS.PROSTATE_UP.V1_UP	1.305	-0.461	-3.450	-1.770	1.072	0.520	-0.832	-1.086	0.680	0.520	2.128
KRAS.50_UP.V1_UP KRAS.50_UP.V1_UP	1.802	0.240	-1.091	-0.373	-1.091	-1.091	-1.825	-0.650	0.685	1.000	2.274
IL21_UP.V1_UP IL21_UP.V1_UP	1.296	-0.596	-2.161	-1.471	0.740	-0.345	-1.791	-0.763	0.354	2.018	2.276
ATF2_S_UP.V1_UP ATF2_S_UP.V1_UP	0.301	-0.401	-1.312	-1.312	1.596	0.400	-1.933	-1.312	0.400	0.650	3.630
IL2_UP.V1_DN IL2_UP.V1_DN	0.270	-2.029	-0.335	-1.392	0.740	0.361	-1.392	-0.730	-0.442	2.246	3.124
NOTCH_DN.V1_UP NOTCH_DN.V1_UP	1.816	-2.110	-0.928	-1.158	-0.928	-0.571	-0.436	0.277	0.487	0.620	3.638
CSR_LATE_UP.V1_DN CSR_LATE_UP.V1_DN	0.283	-0.595	-3.103	-0.320	-1.018	-0.785	-0.441	0.856	1.525	0.678	2.065
JNK_DN.V1_UP JNK_DN.V1_UP	2.776	-0.879	-0.879	-0.879	-0.301	-0.879	-0.691	-1.103	0.403	0.524	2.755
