GO	[-5.85 -0.55]	[-0.55 -0.29]	[-0.29 -0.15]	[-0.15 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.26]	[0.26 0.52]	[0.52 1.05]	[1.05 24.36]
GO_RNA_BINDING_INVOLVED_IN_POSTTRANSCRIPTIONAL_GENE_SILENCING GO_RNA_BINDING_INVOLVED_IN_POSTTRANSCRIPTIONAL_GENE_SILENCING	-1.170	-3.235	-2.289	-3.235	10.130	20.935	-2.289	-3.235	-3.235	-0.819	-2.299
GO_ODORANT_BINDING GO_ODORANT_BINDING	-0.244	-1.198	-2.326	-3.277	6.510	20.667	-3.277	-1.675	-1.675	-2.326	-3.288
GO_HORMONE_ACTIVITY GO_HORMONE_ACTIVITY	3.057	-3.791	-3.791	-4.901	2.331	10.456	-2.350	-2.982	-2.982	-0.311	2.665
GO_KERATIN_FILAMENT GO_KERATIN_FILAMENT	-0.526	-1.783	-1.783	-2.654	1.931	20.711	-2.654	-1.783	-2.654	-1.211	0.437
GO_MITOCHONDRIAL_GENE_EXPRESSION GO_MITOCHONDRIAL_GENE_EXPRESSION	-3.197	3.477	4.628	5.045	-0.568	-6.779	0.385	0.987	-0.736	-2.197	-6.803
GO_SPLICEOSOMAL_COMPLEX GO_SPLICEOSOMAL_COMPLEX	-5.114	2.574	2.282	3.907	-0.760	-4.317	0.904	2.574	0.592	-4.317	-5.137
GO_TELOMERE_ORGANIZATION GO_TELOMERE_ORGANIZATION	-0.384	1.957	4.253	3.875	-1.063	-5.812	1.699	-0.384	-1.063	-2.386	-4.094
GO_CHROMOSOME_CENTROMERIC_REGION GO_CHROMOSOME_CENTROMERIC_REGION	-1.703	0.263	3.415	5.692	-1.149	-4.006	2.201	1.464	-0.583	-2.889	-4.027
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.333	-1.533	-2.277	-3.292	-0.991	-0.607	-2.745	-0.991	0.355	6.185	6.618
GO_VIRAL_GENE_EXPRESSION GO_VIRAL_GENE_EXPRESSION	-3.316	1.319	0.934	3.543	-0.547	-6.405	2.298	0.934	0.380	-0.421	-3.928
GO_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY GO_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	-2.821	1.253	2.313	4.075	0.527	-4.159	1.743	0.292	-0.566	-2.821	-2.327
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4.905	-0.956	-0.742	-2.821	-0.956	2.628	-3.427	-1.883	-0.424	0.848	2.296
