GO	[-7.84 -0.62]	[-0.62 -0.29]	[-0.29 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.07]	[0.07 0.23]	[0.23 0.51]	[0.51 1.02]	[1.02 24.36]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	-7.938	10.819	11.947	10.273	-7.938	-7.938	0.325	0.426	-3.494	-6.632	-7.942
MORF_RAB1A MORF_RAB1A	-6.395	0.620	4.243	9.180	-7.688	-7.688	1.115	4.622	1.533	-5.403	-7.692
GCM_RAB10 GCM_RAB10	-7.271	0.372	6.947	12.346	-6.000	-7.271	0.769	3.281	-0.327	-3.576	-7.274
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	-5.012	5.567	5.983	5.983	-8.189	-8.189	-1.077	3.360	0.597	-3.144	-5.015
GO_INTERMEDIATE_FILAMENT GO_INTERMEDIATE_FILAMENT	-1.026	-5.739	-2.189	-4.198	17.885	12.822	0.396	-2.189	-4.198	-2.189	-0.517
GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP	-2.970	1.847	4.322	13.121	-7.938	-7.938	1.185	2.101	-1.465	-3.494	-4.803
GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_DN GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_DN	-2.139	4.273	10.731	3.913	-7.980	-6.671	-0.633	4.273	-2.540	-2.999	-4.838
ZHANG_TLX_TARGETS_36HR_DN ZHANG_TLX_TARGETS_36HR_DN	-3.835	1.584	10.425	6.866	-7.605	-7.605	0.301	2.648	-0.850	-3.249	-3.838
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-5.777	0.496	1.738	7.446	-8.105	-8.105	-0.407	4.878	4.131	-1.547	-3.621
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP	-5.739	2.012	2.848	2.554	-8.064	-8.064	-0.516	7.051	2.275	-0.516	-5.743
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-6.711	0.519	4.983	3.198	-8.022	-8.022	2.307	3.525	2.041	-1.812	-4.167
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	-4.297	3.360	7.310	4.039	-8.189	-8.189	0.597	3.042	-0.698	-1.314	-4.300
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	-4.906	3.483	10.557	0.508	-8.064	-8.064	0.508	1.535	2.012	-1.258	-4.201
GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP	-1.767	0.325	2.101	5.090	-7.938	-7.938	0.426	10.273	0.325	-0.784	-6.635
GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	-4.765	-0.473	6.859	4.750	-7.897	-7.897	0.846	3.319	1.875	-1.444	-4.068
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN	-6.632	0.543	2.372	8.209	-7.938	-7.938	-0.784	3.959	1.847	-0.278	-2.973
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN	-2.620	6.102	12.724	3.442	-6.790	-5.777	-0.671	0.293	-0.407	-3.086	-3.621
GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN	-3.556	2.307	3.198	11.759	-8.022	-6.711	-0.646	2.041	0.519	-2.164	-3.559
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	-4.906	1.321	5.327	4.547	-8.064	-8.064	-0.516	3.823	2.012	-2.189	-2.596
GSE29618_BCELL_VS_MDC_DN GSE29618_BCELL_VS_MDC_DN	-3.618	-1.547	-0.842	1.510	-8.105	-8.105	-1.043	9.414	6.537	1.983	-0.844
GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_DN GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_DN	-5.515	0.879	1.687	4.855	-7.813	-5.515	1.055	6.096	0.879	-0.343	-7.817
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	-4.032	2.438	4.052	5.199	-7.855	-7.855	0.447	3.360	1.036	-2.066	-4.733
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	-4.554	2.323	2.323	4.674	-7.646	-7.646	0.634	6.346	-0.309	-0.686	-5.369
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN	-3.587	1.535	5.327	8.981	-8.064	-5.739	-0.398	2.848	-0.301	-1.526	-4.909
