GO	[-7.84 -0.57]	[-0.57 -0.30]	[-0.30 -0.15]	[-0.15 -0.05]	[-0.05 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.28]	[0.28 0.55]	[0.55 1.08]	[1.08 8.49]
DDX6_K562_POSTAR_eCLIP DDX6_K562_POSTAR_eCLIP	-1.528	0.851	2.465	4.127	-0.633	-5.223	2.182	0.552	-1.248	-1.248	-1.865
TIA1_K562_POSTAR_eCLIP TIA1_K562_POSTAR_eCLIP	-2.169	1.007	1.432	3.168	-0.310	-2.627	0.293	2.833	-1.161	-0.555	-3.179
LIN28B_K562_POSTAR_eCLIP LIN28B_K562_POSTAR_eCLIP	-0.833	1.434	1.200	1.200	-0.349	-4.792	2.921	0.258	-1.361	0.360	-2.128
LARP4_HepG2_POSTAR_eCLIP LARP4_HepG2_POSTAR_eCLIP	-0.974	2.586	0.514	0.829	-0.435	-4.193	1.983	1.459	0.284	-1.908	-1.919
DHX30_K562_POSTAR_eCLIP DHX30_K562_POSTAR_eCLIP	-0.770	1.109	0.347	1.109	-0.260	-1.406	2.713	1.668	-0.385	-3.181	-3.193
EWSR1_K562_POSTAR_eCLIP EWSR1_K562_POSTAR_eCLIP	0.441	-1.226	1.945	3.996	-0.641	-2.196	0.817	0.613	-0.301	-2.196	-1.658
GEMIN5_K562_POSTAR_eCLIP GEMIN5_K562_POSTAR_eCLIP	-0.301	0.946	0.783	3.834	-1.027	-3.060	1.126	0.946	-0.516	-2.596	-1.270
FAM120A_HepG2_POSTAR_eCLIP FAM120A_HepG2_POSTAR_eCLIP	-0.398	-0.516	2.560	1.538	0.396	-3.060	1.324	1.538	-0.828	-1.027	-3.077
RPS3_K562_POSTAR_eCLIP RPS3_K562_POSTAR_eCLIP	-1.015	0.523	-0.441	3.056	-0.594	-3.795	1.519	2.071	-0.594	-1.631	-0.324
FAM120A_K562_POSTAR_eCLIP FAM120A_K562_POSTAR_eCLIP	-1.658	1.512	1.745	0.753	-0.559	-1.995	1.745	1.745	-2.384	-0.431	-1.670
