GO	[-25.09 -0.57]	[-0.57 -0.25]	[-0.25 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.02]	[0.02 0.09]	[0.09 0.18]	[0.18 0.33]	[0.33 0.67]	[0.67 5.36]
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	2.793	-0.939	-1.467	-3.833	-0.430	2.793	-1.803	-1.181	-3.196	1.905	4.209
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	1.061	-0.413	-0.553	-0.727	-4.121	-3.393	-1.497	-1.497	0.692	3.733	6.324
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	3.621	0.326	-2.975	-2.118	-1.466	0.831	-0.978	-2.118	-0.621	-0.278	7.727
NAGASHIMA_NRG1_SIGNALING_UP NAGASHIMA_NRG1_SIGNALING_UP	-1.280	-1.027	-0.268	-0.486	-4.005	-4.780	-0.813	1.755	2.018	3.601	2.289
MIKKELSEN_IPS_WITH_HCP_H3K27ME3 MIKKELSEN_IPS_WITH_HCP_H3K27ME3	3.057	-0.398	-1.433	-2.466	-0.398	1.948	-1.888	-2.466	-0.790	0.477	3.911
CERVERA_SDHB_TARGETS_1_UP CERVERA_SDHB_TARGETS_1_UP	0.426	0.301	-0.810	-0.810	-2.947	-1.407	-1.815	-0.810	0.426	2.728	6.344
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3 MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	1.784	1.275	-2.515	-2.515	-1.632	-0.783	-1.295	-0.441	-0.320	2.379	3.045
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	-0.417	-0.417	0.984	-0.417	-3.714	-2.287	-1.787	-0.291	0.594	2.079	3.980
WIERENGA_STAT5A_TARGETS_GROUP1 WIERENGA_STAT5A_TARGETS_GROUP1	0.992	-0.726	0.611	0.789	-1.609	-4.059	-0.726	-2.042	1.472	0.459	3.074
WIERENGA_STAT5A_TARGETS_DN WIERENGA_STAT5A_TARGETS_DN	0.277	1.295	0.607	-1.996	-2.832	-1.366	-0.559	-0.897	0.480	0.753	4.568
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	0.326	-0.427	-1.280	-0.427	0.326	0.326	-1.771	-0.910	-0.910	0.679	6.173
SERVITJA_ISLET_HNF1A_TARGETS_DN SERVITJA_ISLET_HNF1A_TARGETS_DN	0.947	0.259	-0.506	-0.984	0.259	0.729	-3.069	0.541	-1.768	0.259	3.276
MCCABE_HOXC6_TARGETS_DN MCCABE_HOXC6_TARGETS_DN	0.930	0.527	1.436	-0.870	-0.870	-0.870	0.236	-0.378	-0.870	-0.870	2.034
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	-1.433	-0.398	0.477	-0.398	-1.433	-2.466	-0.398	0.477	1.631	0.850	2.283
GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_UP GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_UP	-1.077	-0.520	-0.240	0.371	-1.077	-1.077	-0.240	-0.520	0.371	1.579	2.789
AGARWAL_AKT_PATHWAY_TARGETS AGARWAL_AKT_PATHWAY_TARGETS	-0.373	0.240	0.240	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.712	3.242
