GO	[-25.09 -0.59]	[-0.59 -0.26]	[-0.26 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.02]	[0.02 0.10]	[0.10 0.19]	[0.19 0.34]	[0.34 0.68]	[0.68 7.04]
TMTCGCGANR_UNKNOWN TMTCGCGANR_UNKNOWN	-3.697	-0.518	0.558	2.322	1.511	-1.707	4.438	0.708	0.558	-3.070	-3.707
SREBP1_01 SREBP1_01	-4.005	-0.634	2.916	2.299	-1.926	-1.280	2.599	1.284	1.078	-1.027	-4.015
SETBP1_TARGET_GENES SETBP1_TARGET_GENES	-3.387	-0.375	0.707	2.875	-0.375	-1.950	1.986	2.265	0.435	-0.647	-4.050
EMX1_TARGET_GENES EMX1_TARGET_GENES	-2.266	0.737	0.737	1.930	-0.698	-2.678	4.413	1.690	-1.316	-0.550	-2.688
NRSF_01 NRSF_01	3.214	-0.279	-1.176	0.325	0.325	1.387	-1.591	-3.859	-2.130	-0.418	2.784
HOXD11_TARGET_GENES HOXD11_TARGET_GENES	-2.014	1.015	0.473	1.502	-2.540	-2.014	3.942	0.628	0.809	-0.523	-2.548
NR1D1_TARGET_GENES NR1D1_TARGET_GENES	-1.251	2.253	1.580	1.288	-1.679	-1.251	1.288	1.288	-0.918	-0.918	-2.963
ZNF667_TARGET_GENES ZNF667_TARGET_GENES	-0.982	-0.551	-0.282	2.330	-0.551	-1.635	3.826	0.969	0.769	-1.276	-3.271
SNRNP70_TARGET_GENES SNRNP70_TARGET_GENES	-2.728	0.569	1.571	1.835	0.726	-3.326	0.726	0.905	0.569	-0.903	-2.235
GKCGCNNNNNNNTGAYG_UNKNOWN GKCGCNNNNNNNTGAYG_UNKNOWN	-2.487	0.756	1.368	1.040	-0.452	-0.714	1.368	0.756	0.520	-1.641	-2.492
ATGAAGG_MIR205 ATGAAGG_MIR205	0.259	0.357	0.615	2.168	-1.612	-3.561	3.862	-0.470	-0.806	-0.621	-0.350
SNACANNNYSYAGA_UNKNOWN SNACANNNYSYAGA_UNKNOWN	-2.064	-0.571	1.774	-0.257	-0.390	-2.064	1.774	2.499	-0.257	0.350	-2.070
ETF_Q6 ETF_Q6	-0.810	0.961	0.426	3.508	-0.597	-0.810	1.192	1.192	-1.407	-2.319	-1.412
MIR4255 MIR4255	-0.974	-0.337	0.481	2.713	-0.452	-2.250	1.591	1.843	-0.767	0.268	-2.724
MIR141_5P MIR141_5P	-1.201	1.081	-0.623	-1.201	-0.623	-1.621	1.353	1.655	2.349	-2.163	0.454
ZNF677_TARGET_GENES ZNF677_TARGET_GENES	-0.750	-0.566	2.794	2.458	-0.418	-2.455	-0.301	-0.301	1.099	-0.418	-1.986
MIR1825 MIR1825	1.354	-0.822	0.936	1.354	-0.635	-3.595	0.936	0.758	-2.454	0.463	-0.360
SIPA1_TARGET_GENES SIPA1_TARGET_GENES	-1.285	0.496	-0.719	0.665	-1.285	-1.676	1.915	0.861	1.915	0.665	-2.169
MIR5197_5P MIR5197_5P	-2.775	1.341	1.562	0.635	-0.411	-2.332	1.341	-0.309	1.137	-0.536	-1.333
MIR4473 MIR4473	-0.313	1.368	0.290	0.290	-0.981	-0.473	2.037	2.037	-2.547	-1.868	-0.475
MIR5088_5P MIR5088_5P	1.789	-0.860	-0.250	0.359	-1.533	-1.533	0.940	0.940	-1.533	0.940	-0.251
STTTCRNTTT_IRF_Q6 STTTCRNTTT_IRF_Q6	-0.620	1.460	0.707	1.244	-2.203	-0.790	-2.203	-0.790	-0.790	1.460	1.685
MIR6800_5P MIR6800_5P	-0.373	0.240	2.279	0.684	-1.090	-0.373	-1.090	0.240	2.279	-1.823	-0.652
TERF2_TARGET_GENES TERF2_TARGET_GENES	-1.513	-0.301	1.251	2.515	0.784	-2.568	0.301	0.784	-0.301	-0.437	-1.518
MIR20A_3P MIR20A_3P	1.117	-0.421	0.491	1.117	-0.700	-3.315	2.026	0.621	-0.317	-1.972	-0.320
COBLL1_TARGET_GENES COBLL1_TARGET_GENES	-1.507	0.515	0.515	-0.482	0.263	-1.507	3.289	1.889	-0.343	-0.885	-1.169
MIR4633_3P_MIR6500_5P MIR4633_3P_MIR6500_5P	0.984	-1.491	-0.234	0.647	0.647	-0.453	2.391	-0.828	-1.491	0.381	-0.830
MIR3936 MIR3936	0.216	1.513	0.216	0.716	0.716	0.716	-0.764	0.716	-1.408	-1.408	-1.411
MIR4772_5P MIR4772_5P	0.499	-0.837	0.499	0.499	0.499	-0.513	-2.114	0.499	1.819	-2.114	0.497
MIR4755_3P MIR4755_3P	0.274	-1.034	0.834	2.036	-1.317	-2.061	-0.800	1.030	-1.034	1.490	0.506
MIR6719_3P MIR6719_3P	-0.469	-0.644	-0.332	1.359	-0.644	-1.899	3.343	-0.469	1.113	-0.332	-1.146
