GO	[-7.02 -0.59]	[-0.59 -0.26]	[-0.26 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.02]	[0.02 0.09]	[0.09 0.19]	[0.19 0.34]	[0.34 0.69]	[0.69 6.83]
IGF2BP1_HEK293_POSTAR_Piranha_0.01 IGF2BP1_HEK293_POSTAR_Piranha_0.01	-5.026	-0.413	0.541	1.061	3.003	-1.856	1.277	-0.413	1.061	-0.301	-1.868
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-3.425	-1.882	0.677	4.071	-0.742	-1.213	0.292	2.959	0.399	-0.310	-0.749
IGF2BP1_K562_POSTAR_eCLIP IGF2BP1_K562_POSTAR_eCLIP	-3.164	-1.445	-0.555	2.217	2.217	-1.161	2.516	0.824	0.293	-1.161	-0.930
DDX6_K562_POSTAR_eCLIP DDX6_K562_POSTAR_eCLIP	-1.528	0.430	4.506	1.027	-0.490	-1.853	0.430	0.851	0.692	-1.009	-3.178
FAM120A_K562_POSTAR_eCLIP FAM120A_K562_POSTAR_eCLIP	-0.897	-0.326	2.848	0.753	1.512	-2.830	0.916	0.753	-0.431	-0.559	-3.956
IGF2BP2_HEK293_POSTAR_Piranha_0.01 IGF2BP2_HEK293_POSTAR_Piranha_0.01	-3.425	-0.424	0.527	0.677	3.312	-1.519	1.487	0.527	0.677	-0.742	-2.324
UPF1_HEK_293_FRT_POSTAR_CIMS UPF1_HEK_293_FRT_POSTAR_CIMS	-1.213	-0.566	0.399	1.487	1.252	-2.820	1.741	0.399	1.039	-0.310	-3.441
IGF2BP3_HEK293_POSTAR_Piranha_0.01 IGF2BP3_HEK293_POSTAR_Piranha_0.01	-2.394	-0.939	0.746	0.935	2.540	-1.925	1.917	0.746	-0.282	-0.538	-1.936
MOV10_HEK293_POSTAR_Piranha_0.01 MOV10_HEK293_POSTAR_Piranha_0.01	-1.984	-1.208	0.829	1.274	2.125	-2.508	0.645	1.818	-0.254	-0.693	-1.216
CAPRIN1_HEK293_POSTAR_Piranha_0.01 CAPRIN1_HEK293_POSTAR_Piranha_0.01	-1.926	-1.331	0.791	-0.240	1.730	-1.926	2.121	1.064	0.373	-0.389	-1.338
RBPMS_HEK293_POSTAR_PAR-CLIP RBPMS_HEK293_POSTAR_PAR-CLIP	-1.533	0.694	-0.390	0.505	2.905	-2.769	1.457	0.916	-0.571	-0.811	-1.133
RBPMS_HEK293_POSTAR_Piranha_0.01 RBPMS_HEK293_POSTAR_Piranha_0.01	-1.533	0.694	-0.390	0.505	2.905	-2.769	1.457	0.916	-0.571	-0.811	-1.133
RBM47_MDA-MB-231_POSTAR_HITS-CLIP RBM47_MDA-MB-231_POSTAR_HITS-CLIP	-1.658	-2.384	0.916	2.848	-0.326	-1.658	0.916	0.753	1.097	0.278	-1.376
CSTF2T_K562_POSTAR_eCLIP CSTF2T_K562_POSTAR_eCLIP	-1.141	0.388	0.699	1.630	-0.332	-3.051	1.630	0.893	0.699	-2.413	-0.650
TIA1_K562_POSTAR_eCLIP TIA1_K562_POSTAR_eCLIP	-2.169	0.293	0.824	1.936	1.432	-2.627	1.007	-0.310	0.824	-0.922	-1.455
DDX42_K562_POSTAR_eCLIP DDX42_K562_POSTAR_eCLIP	0.200	-0.952	-0.434	3.190	0.821	-0.952	-0.952	1.283	0.200	-0.434	-0.955
FAM120A_HepG2_POSTAR_eCLIP FAM120A_HepG2_POSTAR_eCLIP	-1.027	1.769	2.017	1.126	0.396	-2.596	-0.398	0.396	0.783	-1.259	-1.850
TARDBP_HEK293T_POSTAR_Piranha_0.01 TARDBP_HEK293T_POSTAR_Piranha_0.01	-2.061	0.274	0.661	0.661	2.340	-1.317	1.249	0.510	-0.329	-3.125	0.271
SUB1_HepG2_POSTAR_eCLIP SUB1_HepG2_POSTAR_eCLIP	-1.975	-0.661	0.319	1.037	0.692	-1.320	2.525	1.037	1.037	-1.622	-1.330
