GO	[-6.41 -0.50]	[-0.50 -0.23]	[-0.23 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.04]	[0.04 0.11]	[0.11 0.19]	[0.19 0.33]	[0.33 0.65]	[0.65 5.29]
GNF2_HPX GNF2_HPX	3.627	0.282	-1.066	-2.743	0.534	1.097	-3.416	-1.745	-1.066	0.282	4.024
MODULE_92 MODULE_92	2.393	-1.018	-3.812	-0.786	0.392	1.525	-1.638	-2.042	-0.786	0.678	4.657
MORF_MAP2K7 MORF_MAP2K7	3.492	0.310	-2.907	-2.010	0.840	2.817	-1.653	-2.907	-0.677	0.413	1.431
MODULE_111 MODULE_111	2.047	-0.454	-0.802	-0.330	-1.663	-0.454	-3.848	-1.038	-0.454	0.662	6.982
GNF2_LCAT GNF2_LCAT	2.256	0.272	-0.868	-1.906	0.700	1.117	-3.062	-2.421	-0.868	0.388	3.760
GNF2_HPN GNF2_HPN	2.554	-0.311	-1.046	-1.719	0.715	1.121	-3.381	-2.166	-0.797	0.549	3.270
MODULE_274 MODULE_274	3.977	-0.427	-3.409	-1.282	0.326	0.680	-1.775	-1.282	-0.427	2.189	0.676
GNF2_GSTM1 GNF2_GSTM1	2.479	-0.312	-0.635	-2.015	0.291	0.980	-2.015	-2.015	-0.870	0.291	4.125
MORF_CD8A MORF_CD8A	3.472	-0.311	-2.992	-1.436	0.940	0.738	-1.101	-1.849	-0.443	-0.311	2.329
GNF2_TST GNF2_TST	2.777	-0.250	-1.031	-2.405	0.359	0.689	-2.405	-1.384	-0.537	0.509	3.172
GNF2_RAB3A GNF2_RAB3A	3.199	-0.765	-1.410	-0.765	-0.407	0.427	0.216	-1.410	-0.407	-0.765	3.191
GNF2_MAPT GNF2_MAPT	5.543	0.339	-1.576	-0.893	0.339	-0.266	-0.893	-1.576	-0.500	0.339	0.582
MORF_CDH4 MORF_CDH4	2.554	-0.596	-2.166	-1.349	1.121	0.906	-1.349	-1.046	-1.046	0.408	2.542
GNF2_CYP2B6 GNF2_CYP2B6	2.492	-0.451	-0.756	-0.756	-0.256	-0.256	-1.992	-1.226	-0.756	0.849	3.015
MORF_IL9 MORF_IL9	5.361	-0.572	-0.391	-1.129	0.917	0.350	-1.537	-1.129	-0.813	-0.572	0.912
MORF_PTPRR MORF_PTPRR	2.994	0.279	-0.678	-1.280	0.773	1.549	-2.270	-1.713	-0.678	0.279	0.768
MORF_TNFRSF6 MORF_TNFRSF6	2.078	-0.378	-3.053	-1.090	0.573	0.573	-0.665	-1.090	-0.506	0.328	3.005
GNF2_DNM1 GNF2_DNM1	2.884	-0.263	-0.962	-1.395	-0.422	0.520	-0.263	-2.002	-0.962	0.342	2.426
MORF_LCAT MORF_LCAT	4.665	-0.567	-1.005	-1.005	0.433	0.433	-2.108	-0.762	-0.567	0.433	1.164
MODULE_200 MODULE_200	2.680	-1.119	-1.119	-0.550	-0.550	-0.260	-1.119	-0.260	0.347	0.347	2.051
MORF_BCL2L11 MORF_BCL2L11	2.664	-0.436	-2.112	-1.160	0.487	0.487	-1.160	-0.929	-0.327	-0.327	2.966
MODULE_80 MODULE_80	2.885	-1.285	-0.341	-0.671	-0.671	-0.341	-1.285	-0.341	0.264	0.264	2.265
MORF_EPHA7 MORF_EPHA7	2.816	0.520	-1.772	-0.626	0.520	1.073	-1.772	-0.833	-1.396	0.384	1.065
GNF2_RTN1 GNF2_RTN1	3.701	1.227	-0.431	-0.242	-0.242	0.370	-1.950	-1.192	-0.431	-0.242	-0.732
MORF_LMO1 MORF_LMO1	3.904	0.499	-2.116	0.499	-0.300	-0.838	-0.513	-0.300	0.752	-0.838	-0.516
MORF_MAP3K14 MORF_MAP3K14	2.089	-0.418	-1.386	-0.793	0.987	0.987	-1.793	-0.583	-1.386	0.311	1.766
MORF_WNT1 MORF_WNT1	2.830	-0.734	-1.358	-1.008	0.525	1.169	-1.008	-1.008	-1.008	0.709	1.163
MODULE_51 MODULE_51	3.750	-0.797	-0.797	-0.797	-0.797	-0.430	-0.797	-0.218	-0.218	-0.218	1.931
MODULE_368 MODULE_368	3.187	-0.298	-0.746	-0.746	0.656	1.129	-0.746	-0.298	-0.298	-0.746	-0.299
