GO	[-6.41 -0.50]	[-0.50 -0.23]	[-0.23 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.04]	[0.04 0.11]	[0.11 0.19]	[0.19 0.33]	[0.33 0.65]	[0.65 5.29]
MORF_NPM1 MORF_NPM1	-5.244	-1.301	3.891	8.060	1.896	-0.348	1.896	-0.470	-1.301	-6.469	-6.485
MORF_G22P1 MORF_G22P1	-4.654	-2.699	1.169	4.607	0.791	0.276	4.206	3.822	-1.206	-6.848	-6.865
MORF_ACTG1 MORF_ACTG1	-5.544	-0.487	3.468	8.331	3.087	-0.487	0.256	-0.352	-1.444	-5.544	-5.557
MORF_CTBP1 MORF_CTBP1	-4.580	-2.180	1.011	0.826	0.396	0.826	5.583	5.583	-0.724	-6.764	-5.536
MORF_ANP32B MORF_ANP32B	-4.834	-2.532	1.400	4.759	0.545	-0.278	5.157	2.686	-0.982	-4.834	-6.694
GCM_TPT1 GCM_TPT1	-1.858	-0.860	3.681	11.398	1.832	-0.566	-0.860	-2.741	-2.741	-2.741	-2.748
MORF_DAP3 MORF_DAP3	-3.333	-1.983	2.313	0.938	0.771	-0.703	4.680	6.825	-1.645	-4.620	-6.453
GNF2_EIF3S6 GNF2_EIF3S6	-3.725	-0.291	4.469	9.456	1.775	-0.583	-0.418	-1.386	-1.386	-4.831	-3.736
GCM_NPM1 GCM_NPM1	-2.076	-0.334	3.150	8.324	1.433	-0.334	0.723	-0.669	-4.538	-4.538	-4.549
MORF_RAD21 MORF_RAD21	-2.997	-3.566	0.789	1.367	0.499	-0.426	8.626	3.359	-0.426	-4.233	-6.013
MORF_TPT1 MORF_TPT1	-4.119	0.259	3.746	8.798	1.788	-0.506	-0.986	-0.506	-1.332	-4.119	-4.129
MORF_HAT1 MORF_HAT1	-2.370	-2.847	0.327	1.492	0.876	-0.498	8.504	2.280	-0.375	-2.847	-7.076
GNF2_FBL GNF2_FBL	-5.922	-1.038	4.615	5.519	0.837	0.510	1.497	-0.330	-2.070	-3.139	-3.860
MORF_NME2 MORF_NME2	-4.102	-1.839	1.087	5.984	2.401	-0.542	2.401	0.556	-0.542	-3.374	-6.232
