GO	[-5.35 -0.83]	[-0.83 -0.36]	[-0.36 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.64]	[0.64 5.00]
GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP	-1.583	2.818	2.818	-0.502	0.339	-1.583	-1.583	-0.502	-0.502	0.339	0.330
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	0.303	1.894	-0.299	-1.206	-0.299	0.574	-1.206	-1.206	-1.206	3.146	-0.307
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	-0.695	-0.695	-0.695	0.347	-0.260	1.821	0.792	3.800	-1.072	-2.467	-0.713
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN	-0.336	-1.029	0.478	-1.751	0.754	-0.336	-0.601	-1.751	0.478	4.317	0.261
GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP	-1.625	-0.526	1.674	-1.625	-0.526	-0.283	0.320	-0.526	-0.526	0.320	3.942
GSE11924_TH2_VS_TH17_CD4_TCELL_UP GSE11924_TH2_VS_TH17_CD4_TCELL_UP	-1.080	-0.240	-0.240	1.590	-0.521	-1.080	-1.080	0.687	-1.080	0.372	2.785
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP	0.454	-0.354	3.545	-0.354	-1.793	-1.793	1.049	-1.063	0.254	-0.354	0.442
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	-0.266	4.118	1.290	0.586	-0.896	-0.502	-1.583	-0.896	0.339	-0.896	-0.513
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_UP THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_UP	-0.736	-1.373	-1.373	0.758	0.231	0.454	4.057	0.231	-0.736	-0.736	0.443
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP	0.363	2.714	-0.663	-0.663	0.363	-0.663	-0.663	-0.663	-0.663	1.950	-0.252
GSE14308_TH2_VS_TH1_UP GSE14308_TH2_VS_TH1_UP	-0.625	-1.513	0.398	0.616	-2.341	0.886	0.886	-0.625	-0.382	2.952	-0.641
GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP	-0.287	-0.472	-1.131	-0.287	0.316	4.199	0.501	1.016	-1.692	-1.131	-0.486
GSE3982_EOSINOPHIL_VS_NEUTROPHIL_UP GSE3982_EOSINOPHIL_VS_NEUTROPHIL_UP	0.544	-0.260	-0.435	-0.260	0.792	-0.260	-2.467	-0.435	3.800	-0.695	-0.713
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP	-1.289	0.264	0.264	-0.673	0.841	0.510	-1.289	1.735	-1.289	-0.341	1.229
GSE12198_NK_VS_NK_ACT_EXPANSION_SYSTEM_DERIVED_NK_CELL_UP GSE12198_NK_VS_NK_ACT_EXPANSION_SYSTEM_DERIVED_NK_CELL_UP	-0.502	-0.502	-0.896	-0.502	0.339	0.339	3.442	-1.583	0.339	-0.896	1.266
GSE17721_LPS_VS_CPG_24H_BMDC_DN GSE17721_LPS_VS_CPG_24H_BMDC_DN	0.442	0.442	0.274	-1.222	3.379	-0.529	0.442	0.917	-0.529	-1.801	-1.247
GSE27786_LIN_NEG_VS_CD4_TCELL_DN GSE27786_LIN_NEG_VS_CD4_TCELL_DN	0.437	0.669	0.437	2.110	-0.580	-1.442	-0.580	-2.256	-0.580	1.291	0.249
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP	0.501	1.430	0.501	-0.300	1.430	0.501	-0.515	-2.129	-1.337	-1.337	0.487
GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN	0.824	0.458	-0.955	-0.434	0.199	0.458	-0.434	-0.955	-0.955	3.219	-0.442
