GO	[-5.58 -0.85]	[-0.85 -0.37]	[-0.37 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.62]	[0.62 5.34]
GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	-0.611	-0.919	-0.611	0.562	-0.392	1.075	-0.240	7.362	-1.950	-1.950	-0.611
GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP	-1.584	2.815	2.815	-0.267	-0.503	-0.503	-1.584	-0.898	-0.898	0.585	0.338
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP	0.396	2.881	-0.623	-0.623	0.396	-0.623	-0.623	-0.623	-0.623	2.078	-0.623
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_FUSION_GFP_DN GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_FUSION_GFP_DN	-1.458	-1.458	-0.431	2.505	1.951	-0.431	-0.801	1.460	-0.431	-0.431	-0.431
GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_DN	-1.753	-0.337	-1.031	-0.602	0.268	0.268	1.491	4.312	-0.602	-0.602	-0.337
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	-1.879	-1.132	0.656	-0.393	-0.393	0.965	-0.393	0.409	-1.879	2.233	0.965
GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN	-1.542	0.359	-0.479	-1.542	0.616	-0.479	-1.542	0.359	2.329	0.616	0.945
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	0.302	1.891	-0.300	-0.300	-0.300	-1.207	-1.207	-0.300	-1.207	3.142	-0.300
GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	-0.302	-0.769	2.071	0.980	-1.731	-1.164	-0.769	1.300	-1.731	0.301	1.300
GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_DN GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_DN	0.232	0.397	2.445	-1.515	0.615	-2.343	-1.515	-0.383	0.232	0.615	0.884
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN	-0.337	-1.031	0.477	-1.753	-0.337	-0.602	-1.031	0.268	0.752	4.312	0.268
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	-0.250	4.242	1.343	-0.479	-0.479	-1.542	-0.250	-0.865	0.359	-0.865	-0.479
GSE12505_WT_VS_E2_2_HET_PDC_DN GSE12505_WT_VS_E2_2_HET_PDC_DN	1.733	-0.674	-1.291	0.263	-0.674	1.249	0.263	-1.291	-1.291	0.839	0.839
GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP	0.820	-1.044	0.566	0.566	-2.428	0.820	0.566	0.820	-2.428	0.362	-0.247
GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP	-0.455	0.989	-1.500	-1.500	3.013	0.648	0.380	-0.833	-0.455	-0.455	0.380
