GO	[-6.29 -0.68]	[-0.68 -0.16]	[-0.16 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.35]	[0.35 1.02]	[1.02 4.75]
HP_ABNORMALITY_OF_THE_PYLORUS HP_ABNORMALITY_OF_THE_PYLORUS	-0.705	-0.364	0.797	-0.705	-0.705	1.191	-1.333	-0.364	3.467	-1.333	0.480
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	2.729	2.273	-1.286	-0.570	0.854	-0.360	-0.868	-1.877	-0.868	-0.570	0.607
HP_PNEUMONIA HP_PNEUMONIA	0.268	0.477	-0.337	0.752	-1.753	-1.753	-0.337	0.752	1.492	-1.753	1.091
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	-0.956	-0.435	-0.956	0.823	0.199	1.847	-0.956	1.847	0.457	-0.956	-0.435
GOBP_STEROL_METABOLIC_PROCESS GOBP_STEROL_METABOLIC_PROCESS	0.982	1.978	0.323	-1.165	-1.165	-0.582	-0.582	-1.165	0.323	1.441	-0.280
GOBP_CELL_MATURATION GOBP_CELL_MATURATION	-0.435	-0.956	1.289	-0.435	-0.956	2.491	-0.435	-0.435	0.199	-0.956	1.289
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-0.997	0.284	-0.319	-0.997	0.502	0.284	2.020	2.020	-1.711	0.284	-0.997
GOBP_ODONTOGENESIS GOBP_ODONTOGENESIS	-0.498	-0.498	1.054	-0.498	-0.498	0.166	-0.498	1.054	2.558	-0.498	-0.498
GOMF_ALPHA_TUBULIN_BINDING GOMF_ALPHA_TUBULIN_BINDING	-0.456	0.187	3.780	-0.456	-0.456	0.579	-0.456	0.579	-0.456	-0.456	-0.456
HP_ABNORMALITY_OF_THE_5TH_TOE HP_ABNORMALITY_OF_THE_5TH_TOE	-0.664	-0.664	-0.248	-0.248	-0.664	-0.664	0.763	1.948	-0.664	-0.248	1.948
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	1.060	3.888	-0.325	-0.325	-0.789	-0.789	-0.325	-0.325	0.279	-0.789	-0.325
HP_GASTROINTESTINAL_INFLAMMATION HP_GASTROINTESTINAL_INFLAMMATION	-0.706	0.331	2.556	0.331	-0.273	-0.706	-0.706	-0.706	-0.706	0.331	1.210
GOCC_MICROBODY_MEMBRANE GOCC_MICROBODY_MEMBRANE	-0.664	-0.664	-0.248	-0.664	-0.248	-0.248	1.948	-0.248	2.711	-0.248	-0.664
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III	-0.456	3.780	-0.456	-0.456	-0.456	0.187	0.187	-0.456	-0.456	0.187	0.579
HP_CONFUSION HP_CONFUSION	-0.415	0.211	0.211	-0.415	-0.415	-0.415	2.045	-0.415	-0.415	-0.415	2.045
GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	-0.415	-0.415	-0.415	2.989	-0.415	-0.415	0.211	0.641	-0.415	-0.415	0.641
HP_SCOTOMA HP_SCOTOMA	-0.332	0.796	0.796	-0.332	2.459	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332
GOBP_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS GOBP_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	3.064	-0.249	1.015	-0.249
