GO	[-6.06 -0.65]	[-0.65 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.34]	[0.34 1.03]	[1.03 4.64]
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	-0.734	-0.734	-0.734	-0.433	-0.433	-1.964	-0.242	2.092	5.081	0.599	-1.955
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	2.846	1.382	-0.374	-0.374	-1.099	-1.837	-1.099	-1.837	1.382	-0.374	0.692
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN	-1.417	-0.409	-1.417	-1.417	1.084	0.718	0.427	-1.417	2.028	1.084	0.217
GNF2_APEX1 GNF2_APEX1	7.386	-0.872	0.285	-0.872	-0.872	-0.538	-0.872	-0.317	-0.317	0.285	-0.314
chr1p32 chr1p32	-0.957	-0.435	-0.957	0.457	-0.957	2.489	-0.957	0.823	-0.957	0.823	0.827
CATRRAGC_UNKNOWN CATRRAGC_UNKNOWN	-0.407	-0.407	1.362	-0.915	-0.915	-0.915	0.216	0.875	3.365	-0.915	-0.404
GO_REGULATION_OF_RNA_STABILITY GO_REGULATION_OF_RNA_STABILITY	2.444	1.984	0.397	-0.627	-0.384	-0.986	0.614	-2.344	-1.516	-0.384	0.401
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN	3.962	-1.133	-0.394	0.409	0.409	0.964	0.225	-1.133	-1.880	-0.681	0.227
GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_DN GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_DN	-0.603	-1.753	-0.337	-1.031	0.752	-1.753	1.090	0.477	1.490	1.490	-0.598
GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP	-0.831	0.256	-0.352	-0.831	-0.352	-0.352	-0.831	3.699	1.528	-0.831	0.257
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	-0.873	-0.873	-0.873	0.527	0.932	1.442	-0.379	2.048	-0.873	0.235	-0.869
GO_SPLICEOSOMAL_COMPLEX GO_SPLICEOSOMAL_COMPLEX	2.271	2.271	-0.869	-0.869	-2.768	0.405	0.248	-0.571	-0.361	-0.571	0.613
REACTOME_MEMBRANE_TRAFFICKING REACTOME_MEMBRANE_TRAFFICKING	1.608	-1.669	2.091	-1.669	-0.301	-0.964	0.301	-0.301	1.184	-0.552	-0.298
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	-1.585	2.813	-0.898	-0.503	0.902	-0.503	-0.267	1.287	-0.267	-1.585	0.341
GSE14308_TH2_VS_INDUCED_TREG_UP GSE14308_TH2_VS_INDUCED_TREG_UP	-1.964	0.369	-1.201	-0.433	-0.734	1.637	3.150	0.599	-0.433	-0.734	-0.239
REACTOME_MRNA_PROCESSING REACTOME_MRNA_PROCESSING	2.867	1.276	-0.674	-0.674	-0.674	-2.981	-0.276	-0.674	0.976	-0.276	0.331
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	0.786	1.476	-0.495	-1.305	-0.495	-1.305	0.316	-0.286	0.522	2.372	-2.082
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.925	-0.707	1.695	0.627	0.925	-0.707	0.389	-0.707	-1.922	-1.922	0.632
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	1.090	0.752	-1.753	0.268	-0.337	0.752	0.477	-1.753	-1.753	0.268	1.098
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-1.602	-1.132	-0.342	-0.342	-0.342	-0.528	1.101	2.137	-1.132	3.008	-0.777
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	1.308	-1.249	-0.643	-1.249	0.282	1.308	-0.321	0.884	1.308	-1.249	-0.639
GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	-1.795	-1.065	-1.065	-0.628	1.435	1.047	-0.356	2.382	-0.628	-0.356	0.724
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.330	1.523	-0.844	-0.551	-0.551	-2.726	-0.346	-0.844	1.181	-0.346	0.427
GO_NUCLEAR_SPECK GO_NUCLEAR_SPECK	1.617	0.717	-2.981	0.501	0.327	-0.998	-0.998	0.327	-0.674	1.996	-0.436
GO_CATALYTIC_STEP_2_SPLICEOSOME GO_CATALYTIC_STEP_2_SPLICEOSOME	1.589	1.589	-1.375	-0.386	-1.375	-0.386	0.453	0.230	-0.386	-1.375	1.143
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP	0.246	-0.706	-1.333	-1.333	0.480	3.465	-0.364	1.191	-0.364	0.246	-0.701
GNF2_DAP3 GNF2_DAP3	4.597	0.459	0.459	-0.512	-1.194	0.286	-0.794	-0.512	-1.768	-0.512	0.686
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_DN GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_DN	-1.333	-0.364	-0.706	2.196	-0.364	1.191	-0.706	0.246	-0.364	-1.333	1.668
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2 SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	-0.248	-0.664	0.362	-0.248	-0.664	-0.248	-0.664	1.947	-0.664	-0.664	2.720
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	-0.455	0.380	0.648	-1.501	-0.455	1.399	2.414	0.380	-0.833	-1.501	-0.452
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	1.331	-0.394	-1.133	-1.133	0.964	0.409	-1.880	-0.681	2.232	0.409	-0.390
GSE3039_B2_VS_B1_BCELL_DN GSE3039_B2_VS_B1_BCELL_DN	1.036	0.645	0.645	-1.124	0.645	-1.124	-0.552	1.036	0.645	-1.124	-1.119
chr21q22 chr21q22	-0.222	0.397	1.668	1.668	0.728	-1.040	-1.040	-1.040	-0.222	-1.040	-0.220
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	1.136	-0.386	-0.737	0.453	-0.386	-1.375	2.696	0.230	0.756	-0.737	-1.369
LIN_MELANOMA_COPY_NUMBER_UP LIN_MELANOMA_COPY_NUMBER_UP	0.566	0.256	-0.831	-0.831	4.597	-0.831	-0.352	-0.352	-0.352	-0.352	0.257
ATACTGT_MIR144 ATACTGT_MIR144	-2.938	-1.411	1.314	0.520	-0.653	-0.972	0.520	0.341	0.341	1.314	0.750
GO_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY GO_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	-0.342	0.509	-0.342	-1.291	-0.342	1.732	2.908	-0.342	-0.674	-1.291	-0.340
GSE360_CTRL_VS_L_MAJOR_MAC_UP GSE360_CTRL_VS_L_MAJOR_MAC_UP	-0.401	-1.552	-1.552	1.927	-0.401	-1.016	0.379	2.377	-0.235	0.851	-0.645
GNF2_DEK GNF2_DEK	3.869	-0.552	-0.301	-0.964	-1.669	0.301	0.301	-0.964	0.301	0.823	-0.298
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	-1.236	-0.454	-0.454	0.572	2.026	-0.761	0.853	-0.761	0.572	-2.006	1.198
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	2.048	0.235	-0.379	-0.873	0.932	-0.873	-0.873	0.235	1.442	-0.379	-0.869
HUTTMANN_B_CLL_POOR_SURVIVAL_DN HUTTMANN_B_CLL_POOR_SURVIVAL_DN	-0.790	-0.790	0.278	-0.325	0.609	-0.325	-0.790	1.060	-0.790	-0.325	3.049
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	-1.016	0.851	-0.401	0.589	-0.401	1.927	-1.552	0.589	0.589	-2.387	0.383
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN	2.587	0.323	-1.166	-1.166	-0.582	0.982	-0.280	0.323	0.608	-1.166	-0.278
MORF_PPP1CA MORF_PPP1CA	4.486	-0.419	-1.587	-0.248	-0.248	-0.248	-0.419	-1.045	0.565	0.565	-1.038
GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP	-0.769	-0.769	0.427	0.215	2.598	-0.409	0.718	1.523	-1.417	-0.769	-0.764
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	-1.501	-0.234	-0.234	-0.234	-0.455	-0.234	3.012	-0.455	-0.234	-1.501	1.408
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.831	0.256	-0.352	0.256	0.993	-0.831	-0.831	0.566	-0.352	2.886	-0.828
GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN	-1.669	1.608	-0.552	-0.964	0.823	-0.964	-0.301	1.608	0.528	0.528	-0.959
MENSE_HYPOXIA_UP MENSE_HYPOXIA_UP	0.527	-0.379	-0.873	2.048	-0.379	0.527	1.442	-0.873	0.235	-0.873	-0.869
TIEN_INTESTINE_PROBIOTICS_6HR_DN TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.351	-0.761	-0.761	-2.006	0.351	0.351	1.582	2.026	0.572	-0.454	-1.229
RODRIGUES_THYROID_CARCINOMA_DN RODRIGUES_THYROID_CARCINOMA_DN	-0.915	-0.915	-0.407	-0.407	-0.915	1.362	0.490	0.490	1.362	-0.915	0.880
TAVAZOIE_METASTASIS TAVAZOIE_METASTASIS	-0.498	0.166	0.166	-0.498	0.166	1.054	-0.498	3.512	-0.498	-0.498	-0.496
GO_CELL_CELL_JUNCTION_ASSEMBLY GO_CELL_CELL_JUNCTION_ASSEMBLY	-0.664	-0.664	-0.664	-0.664	1.947	0.362	-0.248	1.947	0.362	-0.664	-0.246
GO_NEURON_MIGRATION GO_NEURON_MIGRATION	-0.223	-0.223	-0.623	-0.223	-0.623	-0.623	-0.623	2.077	2.077	0.396	-0.620
chr2q33 chr2q33	-0.664	0.763	-0.248	-0.664	-0.248	-0.664	-0.664	-0.664	0.362	2.710	0.767
BURTON_ADIPOGENESIS_PEAK_AT_24HR BURTON_ADIPOGENESIS_PEAK_AT_24HR	0.362	2.710	-0.664	0.763	-0.664	-0.664	-0.664	-0.248	-0.248	0.763	-0.662
SILIGAN_BOUND_BY_EWS_FLT1_FUSION SILIGAN_BOUND_BY_EWS_FLT1_FUSION	-0.456	-0.456	1.150	-0.456	2.758	-0.456	-0.456	0.578	0.187	-0.456	-0.454
MEL18_DN.V1_UP MEL18_DN.V1_UP	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	-0.456	-0.456	0.578	1.880	1.886
chr3q26 chr3q26	-0.498	-0.498	-0.498	1.736	-0.498	-0.498	0.524	1.054	-0.498	1.054	-0.496
