GO	[-5.47 -0.81]	[-0.81 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.72]	[0.72 6.80]
CCCNNNNNNAAGWT_UNKNOWN CCCNNNNNNAAGWT_UNKNOWN	-0.279	-1.163	-1.163	-0.279	-1.163	0.984	-0.581	1.981	-1.163	1.443	0.962
MIR7112_3P MIR7112_3P	0.610	-1.163	-0.279	-1.163	-1.163	-1.163	1.443	0.324	-0.581	0.984	1.943
MIR4256 MIR4256	-0.351	-0.351	0.996	-0.830	-0.830	-0.830	0.996	3.705	-0.830	-0.351	-0.360
MIR548U MIR548U	3.443	-1.834	0.432	1.386	-1.096	0.239	-0.652	-0.652	-0.652	0.432	-0.387
MIR4679 MIR4679	-0.704	-1.331	2.201	0.482	0.247	0.247	0.247	-1.331	-0.704	2.201	-0.721
PAX5_01 PAX5_01	0.587	2.819	-0.266	-1.582	-0.896	-1.582	0.340	-0.266	-0.501	0.905	0.327
MIR2681_5P MIR2681_5P	0.239	-1.834	1.386	-0.373	-1.834	-0.652	-0.373	-0.373	0.432	1.386	1.350
MIR374A_3P MIR374A_3P	-0.501	0.905	-0.896	-1.582	0.587	-1.582	-0.266	1.740	0.340	1.291	-0.517
MIR3139 MIR3139	-0.580	-0.580	-0.580	-0.580	-0.580	2.224	0.435	0.435	0.435	-0.580	0.879
MIR4727_3P MIR4727_3P	2.048	-0.414	2.048	-0.414	-0.414	-0.414	-0.414	-0.414	0.211	-0.414	0.207
MIR4513 MIR4513	-0.331	-0.331	0.273	-0.331	0.797	-0.331	-0.331	-0.331	-0.331	3.579	-0.337
MIR4453 MIR4453	-0.373	-0.373	-0.373	-0.373	3.260	-0.373	0.713	-0.373	-0.373	0.240	0.235
