name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.4.2-x1-0	DAC+SB.4.2-x1-0	0	0	NA	NA	NA	1
STRG.2.1-x3-0	STRG.2.1-x3-0	0.473293573461312	1.24045616105097	4.03506660162338	0.307419005315034	0.758524463982473	1
DAC+SB.7.1-x1-0	DAC+SB.7.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.9.1-x1-0	DAC+SB.9.1-x1-0	2.85907585169652	0.372788799804456	1.69159828404487	0.220376671766928	0.825577812061226	1
DAC+SB.11.2-x1-0	DAC+SB.11.2-x1-0	0	0	NA	NA	NA	1
DAC.3.1-x2-0	DAC.3.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.13.2-x1-0	DAC+SB.13.2-x1-0	0.159800609692122	0.0325764164162482	4.03133051327268	0.00808081012186777	0.993552516534625	1
STRG.5.2-x3-0	STRG.5.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.13.1-x1-0	DAC+SB.13.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.13.3-x1-0	DAC+SB.13.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.14.2-x1-0	DAC+SB.14.2-x1-0	0.247842349830648	0.659048191231861	3.99781275429002	0.16485219086978	0.869060323589532	1
DAC+SB.14.1-x1-0	DAC+SB.14.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.4-x1-0	DAC+SB.15.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.5-x1-0	DAC+SB.15.5-x1-0	1.11203832417702	-2.22716364747659	2.31628112767959	-0.961525620038928	0.336287949935979	1
DAC+SB.15.1-x1-0	DAC+SB.15.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.2-x1-0	DAC+SB.15.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.3-x1-0	DAC+SB.15.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.17.1-x1-0	DAC+SB.17.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.19.3-x1-0	DAC+SB.19.3-x1-0	1.45802953934956	1.64949465898133	1.53015319820652	1.07799314533648	0.281036815169058	1
DAC.4.1-x2-0	DAC.4.1-x2-0	0	0	NA	NA	NA	1
DAC.4.2-x2-0	DAC.4.2-x2-0	0.272982702947003	1.89908154733033	4.00784658038396	0.473840879195629	0.635613381033258	1
DAC+SB.20.1-x1-0	DAC+SB.20.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.21.2-x1-0	DAC+SB.21.2-x1-0	4.25137602991009	0.305784217404215	2.4609696143873	0.124253552590224	0.901114521887264	0.999958274405444
DAC+SB.21.3-x1-0	DAC+SB.21.3-x1-0	3.45203961632895	0.598217438079862	3.80785300147039	0.157100979961375	0.875165265275827	0.999958274405444
DAC+SB.21.1-x1-0	DAC+SB.21.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.23.2-x1-0	DAC+SB.23.2-x1-0	14.0700381185211	0.386706625078385	0.953732929180113	0.405466366156426	0.685134736463897	0.999958274405444
DAC+SB.23.1-x1-0	DAC+SB.23.1-x1-0	0.473293573461312	1.24045616105097	4.03506660162338	0.307419005315034	0.758524463982473	1
DAC+SB.26.1-x1-0	DAC+SB.26.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.26.2-x1-0	DAC+SB.26.2-x1-0	1.77862598061374	1.14729492550487	1.78382909075777	0.643164152580054	0.520117591070806	1
DAC+SB.27.1-x1-0	DAC+SB.27.1-x1-0	0.065853881199312	-0.956781536234985	4.05510627592671	-0.235944873236727	0.813475447255682	1
STRG.9.1-x3-0	STRG.9.1-x3-0	0.473293573461312	1.24045616105097	4.03506660162338	0.307419005315034	0.758524463982473	1
DAC+SB.33.1-x1-0	DAC+SB.33.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.35.1-x1-0	DAC+SB.35.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.35.2-x1-0	DAC+SB.35.2-x1-0	1.89372976147672	-2.51447191375624	3.91673104847307	-0.64198227619854	0.520884690980767	1
DAC+SB.38.1-x1-0	DAC+SB.38.1-x1-0	0.0909942343156678	0.835497440242589	4.05841609783705	0.205867860786347	0.83689413106139	1
DAC+SB.39.1-x1-0	DAC+SB.39.1-x1-0	6.94183936511786	0.656792644961608	0.9267343296702	0.708717292468645	0.478499931606193	0.999958274405444
DAC+SB.41.1-x1-0	DAC+SB.41.1-x1-0	1.07714752544752	0.544927314917602	3.6133303059648	0.150810268858634	0.880125385541926	1
DAC+SB.43.1-x1-0	DAC+SB.43.1-x1-0	0.473293573461312	1.24045616105097	4.03506660162338	0.307419005315034	0.758524463982473	1
DAC+SB.44.1-x1-0	DAC+SB.44.1-x1-0	0.867066209522683	-1.43213953647538	3.55101009823505	-0.403304833514045	0.686723986380844	1
DAC+SB.46.1-x1-0	DAC+SB.46.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.46.2-x1-0	DAC+SB.46.2-x1-0	0.498637193838437	0.82006509556409	3.42143665615055	0.239684430249468	0.81057490602178	1
DAC+SB.47.1-x1-0	DAC+SB.47.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.47.2-x1-0	DAC+SB.47.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.48.1-x1-0	DAC+SB.48.1-x1-0	21.9299340773067	0.226322365848916	0.629649699817121	0.359441711660707	0.719264675362327	0.999958274405444
DAC+SB.50.1-x1-0	DAC+SB.50.1-x1-0	4.83133132869325	0.728983402709474	1.05530203596657	0.690781764712302	0.489702696822149	0.999958274405444
DAC+SB.51.1-x1-0	DAC+SB.51.1-x1-0	4.80793052639774	-0.56367120531441	1.81273465747236	-0.31095075221896	0.755838060899778	0.999958274405444
DAC+SB.51.2-x1-0	DAC+SB.51.2-x1-0	4.11546583169326	1.8784064110628	2.00230296009016	0.938122975645113	0.348181215731455	0.999958274405444
DAC+SB.52.3-x1-0	DAC+SB.52.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.52.1-x1-0	DAC+SB.52.1-x1-0	22.5878211254241	-0.0258583965750466	0.515056344377033	-0.050204986031815	0.95995903828781	0.999958274405444
DAC+SB.52.2-x1-0	DAC+SB.52.2-x1-0	2.81086025435567	1.90100734195358	2.10410979021	0.903473455044306	0.366274670346755	1
DAC+SB.53.1-x1-0	DAC+SB.53.1-x1-0	12.2622897327241	-0.285290978652763	0.823916405440215	-0.346262044024155	0.729145790746176	0.999958274405444
DAC+SB.53.2-x1-0	DAC+SB.53.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.54.1-x1-0	DAC+SB.54.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.54.2-x1-0	DAC+SB.54.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.55.1-x1-0	DAC+SB.55.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.58.2-x1-0	DAC+SB.58.2-x1-0	3.11723968361391	-3.98025817198652	1.96401385507435	-2.02659373390003	0.0427039779161979	1
DAC+SB.58.1-x1-0	DAC+SB.58.1-x1-0	17.1504877255085	0.132686628213242	0.53596921274649	0.24756389930181	0.804471845503876	0.999958274405444
DAC+SB.61.1-x1-0	DAC+SB.61.1-x1-0	0.0939467284928097	0.859741913597836	4.05684691921159	0.211923676372023	0.832166579022923	1
DAC+SB.62.2-x1-0	DAC+SB.62.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.62.3-x1-0	DAC+SB.62.3-x1-0	2.52166217059025	0.443614320287133	2.45246993175752	0.180884713220204	0.856458068004359	1
DAC+SB.62.1-x1-0	DAC+SB.62.1-x1-0	22.474598783526	0.733927590743972	0.890005233433725	0.824632893350986	0.409580040852612	0.999958274405444
DAC+SB.64.1-x1-0	DAC+SB.64.1-x1-0	0.395123287195872	-2.59191594332892	3.99110745738051	-0.649422740682124	0.516065169163133	1
DAC+SB.64.2-x1-0	DAC+SB.64.2-x1-0	0.577093006365481	1.2892639701324	3.18991199106865	0.404169134992495	0.686088348846446	1
DAC+SB.66.1-x1-0	DAC+SB.66.1-x1-0	2.13065428202311	-4.51331824191944	3.94431879464567	-1.1442579763193	0.252516665667403	1
DAC+SB.66.2-x1-0	DAC+SB.66.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.3-x1-0	DAC+SB.66.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.4-x1-0	DAC+SB.66.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.5-x1-0	DAC+SB.66.5-x1-0	0.679586113534295	-3.14793283838262	3.98088123995763	-0.790762810702718	0.429082415356836	1
STRG.19.1-x3-0	STRG.19.1-x3-0	15.7961762256403	1.1380213540656	0.93685639306781	1.2147233690097	0.22447161646144	0.999958274405444
DAC+SB.67.8-x1-0	DAC+SB.67.8-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.3-x1-0	DAC+SB.67.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.7-x1-0	DAC+SB.67.7-x1-0	0	0	NA	NA	NA	1
STRG.20.6-x3-0	STRG.20.6-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.9-x1-0	DAC+SB.67.9-x1-0	0	0	NA	NA	NA	1
STRG.20.5-x3-0	STRG.20.5-x3-0	0	0	NA	NA	NA	1
DAC.10.1-x2-0	DAC.10.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.67.2-x1-0	DAC+SB.67.2-x1-0	3.28643978888413	0.44391846541084	1.26572360212617	0.350723068342205	0.725796117524232	1
DAC+SB.67.6-x1-0	DAC+SB.67.6-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.4-x1-0	DAC+SB.67.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.1-x1-0	DAC+SB.67.1-x1-0	0	0	NA	NA	NA	1
STRG.20.2-x3-0	STRG.20.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.5-x1-0	DAC+SB.67.5-x1-0	0	0	NA	NA	NA	1
STRG.20.1-x3-0	STRG.20.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.68.1-x1-0	DAC+SB.68.1-x1-0	0	0	NA	NA	NA	1
STRG.21.1-x3-0	STRG.21.1-x3-0	0	0	NA	NA	NA	1
STRG.22.1-x3-0	STRG.22.1-x3-0	134.513210925148	0.00201503825778385	0.281348500126406	0.00716207215207659	0.994285542060661	0.999958274405444
DAC+SB.71.1-x1-0	DAC+SB.71.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.71.2-x1-0	DAC+SB.71.2-x1-0	27.7669963355327	0.574467530186136	0.48739535813091	1.17864793047914	0.238538397476971	0.999958274405444
DAC+SB.70.1-x1-0	DAC+SB.70.1-x1-0	5.56160468298179	0.0557591808252097	0.868612879921711	0.0641933617542436	0.948816263047499	0.999958274405444
DAC+SB.72.1-x1-0	DAC+SB.72.1-x1-0	1.12322293026116	0.290767906085608	2.00305067615543	0.14516253110665	0.884582548373672	1
DAC+SB.74.3-x1-0	DAC+SB.74.3-x1-0	50.8887798306418	0.0695801672880478	3.73064789110727	0.0186509607229097	0.985119549114865	0.999958274405444
STRG.23.1-x3-0	STRG.23.1-x3-0	99.6278545140687	0.217492847056481	0.274566192383446	0.792132655402602	0.428283331001994	0.999958274405444
DAC+SB.74.1-x1-0	DAC+SB.74.1-x1-0	4.39655435946	-0.299170187217502	1.19243991129103	-0.250889109283164	0.801899844711528	0.999958274405444
DAC+SB.74.2-x1-0	DAC+SB.74.2-x1-0	0.954647097038442	-0.636258224611487	2.05817735051544	-0.309136734233395	0.757217516913606	1
STRG.24.1-x3-0	STRG.24.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.75.1-x1-0	DAC+SB.75.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.75.2-x1-0	DAC+SB.75.2-x1-0	9.083417004301	-0.901671629421621	1.08953655473117	-0.827573545381504	0.407912055363604	0.999958274405444
STRG.25.1-x3-0	STRG.25.1-x3-0	1.59709438437777	4.08419489799336	3.94151325807447	1.03619971076505	0.300108981688139	1
DAC+SB.77.1-x1-0	DAC+SB.77.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.77.2-x1-0	DAC+SB.77.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.78.1-x1-0	DAC+SB.78.1-x1-0	0.207211080748526	-0.357066207966498	4.00949217673657	-0.0890552200196891	0.929038025179197	1
DAC+SB.83.1-x1-0	DAC+SB.83.1-x1-0	1.22596363174628	0.00890541422438832	2.09136507749641	0.00425818252404266	0.996602472174385	1
DAC+SB.84.1-x1-0	DAC+SB.84.1-x1-0	18.7442858587357	1.09175864718767	0.688223017453455	1.58634428012502	0.112661232734549	0.927444366729892
DAC+SB.84.2-x1-0	DAC+SB.84.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.85.1-x1-0	DAC+SB.85.1-x1-0	3.2167847758251	0.486845884219957	1.64501544676772	0.295952165784557	0.76726661194683	1
DAC+SB.88.1-x1-0	DAC+SB.88.1-x1-0	16.3946849361002	-0.121357150404987	0.68925910939728	-0.176068982985379	0.860239748215807	0.999958274405444
DAC+SB.88.2-x1-0	DAC+SB.88.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.92.1-x1-0	DAC+SB.92.1-x1-0	1.96995836033669	1.08489815098131	1.57856724541793	0.687267618234458	0.491914100666022	1
DAC+SB.93.1-x1-0	DAC+SB.93.1-x1-0	0.0939467284928098	0.859741913597837	4.05684691921159	0.211923676372023	0.832166579022923	1
DAC+SB.94.2-x1-0	DAC+SB.94.2-x1-0	0	0	NA	NA	NA	1
