name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.4.2-x1-0	DAC+SB.4.2-x1-0	0	0	NA	NA	NA	1
STRG.2.1-x3-0	STRG.2.1-x3-0	0.0876397039873977	1.07831420409969	4.04178656277444	0.266791476331569	0.789629717369589	1
DAC+SB.7.1-x1-0	DAC+SB.7.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.9.1-x1-0	DAC+SB.9.1-x1-0	3.18016788235662	-0.183447958118813	1.12212670073025	-0.163482392852278	0.870138635117707	1
DAC+SB.11.2-x1-0	DAC+SB.11.2-x1-0	0	0	NA	NA	NA	1
DAC.3.1-x2-0	DAC.3.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.13.2-x1-0	DAC+SB.13.2-x1-0	0	0	NA	NA	NA	1
STRG.5.2-x3-0	STRG.5.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.13.1-x1-0	DAC+SB.13.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.13.3-x1-0	DAC+SB.13.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.14.2-x1-0	DAC+SB.14.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.14.1-x1-0	DAC+SB.14.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.4-x1-0	DAC+SB.15.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.5-x1-0	DAC+SB.15.5-x1-0	0.57623187085628	-2.86589575795329	3.98187586205495	-0.719735083974783	0.471688120577858	1
DAC+SB.15.1-x1-0	DAC+SB.15.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.2-x1-0	DAC+SB.15.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.3-x1-0	DAC+SB.15.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.17.1-x1-0	DAC+SB.17.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.19.3-x1-0	DAC+SB.19.3-x1-0	0.245545628777099	-0.593923347551099	3.71210723028349	-0.159996279931208	0.872884004652806	1
DAC.4.1-x2-0	DAC.4.1-x2-0	0.0862714588910819	-1.00557955195339	4.04011179618294	-0.248898942079636	0.803438953650139	1
DAC.4.2-x2-0	DAC.4.2-x2-0	0.262919111962193	2.09593850783845	4.00072755109865	0.523889337893774	0.600355511046566	1
DAC+SB.20.1-x1-0	DAC+SB.20.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.21.2-x1-0	DAC+SB.21.2-x1-0	1.1097423761774	-0.235030203655435	3.88336691037043	-0.0605222759219051	0.951739674747475	1
DAC+SB.21.3-x1-0	DAC+SB.21.3-x1-0	2.86337708456149	-0.759139089049903	3.82981876229271	-0.198218019224347	0.842874489887499	1
DAC+SB.21.1-x1-0	DAC+SB.21.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.23.2-x1-0	DAC+SB.23.2-x1-0	5.56672987584453	-0.102000453216965	1.15188634404066	-0.0885507964780285	0.929438913114556	0.99977667339471
DAC+SB.23.1-x1-0	DAC+SB.23.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.26.1-x1-0	DAC+SB.26.1-x1-0	0.175279407974795	1.69838383057732	4.01365742451893	0.423151168857139	0.672184971457198	1
DAC+SB.26.2-x1-0	DAC+SB.26.2-x1-0	0.338362145789212	1.0126117063693	3.48214801033639	0.290800880193336	0.771203612126624	1
