name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.4.2-x1-0	DAC+SB.4.2-x1-0	0	0	NA	NA	NA	1
STRG.2.1-x3-0	STRG.2.1-x3-0	0.444985258129762	-0.0080132455329021	2.24709590019342	-0.00356604519291426	0.997154713627882	1
DAC+SB.7.1-x1-0	DAC+SB.7.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.9.1-x1-0	DAC+SB.9.1-x1-0	3.85937242033684	-0.292149822964051	0.869767226684249	-0.335894264581332	0.73695060224585	1
DAC+SB.11.2-x1-0	DAC+SB.11.2-x1-0	0	0	NA	NA	NA	1
DAC.3.1-x2-0	DAC.3.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.13.2-x1-0	DAC+SB.13.2-x1-0	0.744872544714126	-2.16114338863127	4.01802415237495	-0.537862219507535	0.590672172990377	1
STRG.5.2-x3-0	STRG.5.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.13.1-x1-0	DAC+SB.13.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.13.3-x1-0	DAC+SB.13.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.14.2-x1-0	DAC+SB.14.2-x1-0	0.0769543698852593	0.364009433359879	4.06387474162592	0.0895720110739048	0.928627326905465	1
DAC+SB.14.1-x1-0	DAC+SB.14.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.4-x1-0	DAC+SB.15.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.5-x1-0	DAC+SB.15.5-x1-0	1.69637499345177	-0.802451450390834	1.71345320680215	-0.468324111335647	0.639552828427375	1
DAC+SB.15.1-x1-0	DAC+SB.15.1-x1-0	0.744872544714126	-2.16114338863127	4.01802415237495	-0.537862219507535	0.590672172990377	1
DAC+SB.15.2-x1-0	DAC+SB.15.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.15.3-x1-0	DAC+SB.15.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.17.1-x1-0	DAC+SB.17.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.19.3-x1-0	DAC+SB.19.3-x1-0	1.68901125485573	-0.961916306416757	1.33557851245763	-0.720224455128972	0.471386809137212	1
DAC.4.1-x2-0	DAC.4.1-x2-0	0.678319896293976	-3.39128824321702	3.9844714871208	-0.851126242006964	0.394699229481523	1
DAC.4.2-x2-0	DAC.4.2-x2-0	0	0	NA	NA	NA	1
DAC+SB.20.1-x1-0	DAC+SB.20.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.21.2-x1-0	DAC+SB.21.2-x1-0	6.10533275689205	0.140903018558536	1.99334019995802	0.0706868895542786	0.943646955355089	0.999886859973333
DAC+SB.21.3-x1-0	DAC+SB.21.3-x1-0	3.47497229337951	0.212686472993206	3.80376836995021	0.0559146752135146	0.955409779990161	1
DAC+SB.21.1-x1-0	DAC+SB.21.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.23.2-x1-0	DAC+SB.23.2-x1-0	16.7215599660722	0.439023489088927	0.611761476892211	0.717638337280071	0.472980312854565	0.999886859973333
DAC+SB.23.1-x1-0	DAC+SB.23.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.26.1-x1-0	DAC+SB.26.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.26.2-x1-0	DAC+SB.26.2-x1-0	1.23320919057879	2.35344673805353	1.52392033647708	1.54433711639685	0.122506685329554	1
DAC+SB.27.1-x1-0	DAC+SB.27.1-x1-0	0	0	NA	NA	NA	1
STRG.9.1-x3-0	STRG.9.1-x3-0	0.606914494410396	0.527816522246603	1.76938903531155	0.298304393049245	0.765470851676023	1
DAC+SB.33.1-x1-0	DAC+SB.33.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.35.1-x1-0	DAC+SB.35.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.35.2-x1-0	DAC+SB.35.2-x1-0	0.696900814356323	2.69076142973768	3.97097985693439	0.677606416219637	0.49802127683509	1
DAC+SB.38.1-x1-0	DAC+SB.38.1-x1-0	0.290708526983132	-2.5060925966718	4.00574356350479	-0.625624820196707	0.531561054983145	1
DAC+SB.39.1-x1-0	DAC+SB.39.1-x1-0	11.2232303481023	-0.0314803904542974	0.713052662691009	-0.0441487594134951	0.964785826257184	0.999886859973333
DAC+SB.41.1-x1-0	DAC+SB.41.1-x1-0	4.27689728937223	-0.223573341667648	1.13907646205458	-0.196275973664124	0.844394165862175	0.999886859973333
DAC+SB.43.1-x1-0	DAC+SB.43.1-x1-0	2.30081795935373	0.9554632393617	1.67359467125903	0.570904804950719	0.568064173684156	1
DAC+SB.44.1-x1-0	DAC+SB.44.1-x1-0	0.348082415802051	0.616878200659513	2.24544987055737	0.274723657271578	0.783528554363703	1
DAC+SB.46.1-x1-0	DAC+SB.46.1-x1-0	1.15471608968168	3.2930751981019	3.94975641616758	0.833741337724605	0.404426758470654	1
