GO	[-4.16 -0.18]	[-0.18 -0.11]	[-0.11 -0.07]	[-0.07 -0.04]	[-0.04 -0.02]	[-0.02 0.00]	[0.00 0.03]	[0.03 0.06]	[0.06 0.10]	[0.10 0.18]	[0.18 2.76]
XU_GH1_AUTOCRINE_TARGETS_DN XU_GH1_AUTOCRINE_TARGETS_DN	-0.644	0.883	2.379	0.539	-0.322	-0.644	-1.250	1.808	-1.250	-1.250	-0.314
FIGUEROA_AML_METHYLATION_CLUSTER_3_UP FIGUEROA_AML_METHYLATION_CLUSTER_3_UP	1.035	-0.553	-1.125	0.644	-0.553	-1.125	-1.125	-0.553	-0.261	3.398	0.657
YAMAZAKI_TCEB3_TARGETS_DN YAMAZAKI_TCEB3_TARGETS_DN	-2.219	-0.901	0.694	-0.334	1.330	-2.219	-0.334	2.167	0.455	0.270	0.280
ZHAN_MULTIPLE_MYELOMA_PR_UP ZHAN_MULTIPLE_MYELOMA_PR_UP	-0.748	0.655	-0.748	-0.748	1.719	-0.299	0.655	1.719	-0.748	-0.299	-0.739
VERHAAK_GLIOBLASTOMA_NEURAL VERHAAK_GLIOBLASTOMA_NEURAL	-0.832	-0.352	-0.352	1.526	0.992	0.255	-0.352	-0.832	2.159	-0.832	-0.821
CAFFAREL_RESPONSE_TO_THC_24HR_5_DN CAFFAREL_RESPONSE_TO_THC_24HR_5_DN	-0.707	-0.707	-0.273	-0.707	0.706	0.331	0.331	-0.707	0.331	3.381	-0.698
SESTO_RESPONSE_TO_UV_C2 SESTO_RESPONSE_TO_UV_C2	-0.223	-1.041	1.667	-0.223	2.264	-0.223	-1.041	-1.041	0.727	-0.493	-0.484
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	-0.957	-0.436	-0.957	0.822	0.456	-0.957	-0.436	-0.957	0.822	1.287	1.306
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	-0.523	-0.523	0.684	2.814	-0.523	1.092	-0.523	-1.083	0.684	-0.523	-1.069
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP	1.059	0.278	-0.325	-0.325	3.884	-0.325	-0.325	-0.325	-0.790	-0.790	-0.780
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN	-0.623	0.824	-0.224	-0.623	2.879	-0.224	-0.623	-0.224	0.824	-0.623	-0.615
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	0.312	-0.290	-0.290	0.312	3.992
