GO	[-4.56 -0.39]	[-0.39 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.30]	[0.30 7.02]
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN	-0.502	-1.583	-0.266	-0.896	1.290	4.846	-0.502	-0.896	0.339	0.586	-1.603
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	-1.331	-0.363	-1.331	-0.704	0.481	2.804	-0.704	-0.363	-0.363	3.470	-0.717
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	-0.351	0.995	-0.830	-0.830	0.256	-0.830	-0.830	-0.830	0.567	-0.351	4.559
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	-1.233	-0.759	-1.233	-0.452	0.855	-0.255	2.030	3.655	-1.233	-0.255	-0.776
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP	0.217	-0.913	-0.913	-0.913	-0.913	2.616	-0.406	0.877	0.877	-0.913	0.863
GSE25087_TREG_VS_TCONV_FETUS_DN GSE25087_TREG_VS_TCONV_FETUS_DN	0.617	0.617	1.345	0.360	-1.541	1.345	-1.541	-1.541	-0.477	0.947	-0.879
GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	-0.767	-0.408	1.526	-0.767	1.087	0.215	-1.415	-0.408	-1.415	2.602	0.209
GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_DN GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_DN	0.454	-0.627	0.720	-1.793	0.720	0.720	-1.063	-1.793	2.387	0.254	-0.364
GSE24574_BCL6_HIGH_TFH_VS_NAIVE_CD4_TCELL_UP GSE24574_BCL6_HIGH_TFH_VS_NAIVE_CD4_TCELL_UP	0.427	0.775	-0.997	0.427	-0.997	1.757	-0.997	-0.997	1.757	-0.463	-0.472
GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN	-0.316	-1.372	-0.870	-1.372	-0.316	0.287	-0.316	0.726	-0.536	5.164	0.277
GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_UP GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_UP	1.585	0.574	-0.255	-1.233	-0.255	-2.003	0.352	-2.003	0.352	0.352	1.555
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN	-2.425	0.363	-0.672	0.567	0.822	3.327	-0.247	-0.417	-0.247	-0.247	-1.611
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	0.586	2.250	-0.896	0.339	-0.896	2.250	-0.502	-0.896	-0.502	-1.583	0.330
GSE11057_CD4_CENT_MEM_VS_PBMC_UP GSE11057_CD4_CENT_MEM_VS_PBMC_UP	0.684	-1.457	-0.218	0.684	0.684	0.684	1.463	-0.799	0.404	-1.457	-1.476
GSE14026_TH1_VS_TH17_UP GSE14026_TH1_VS_TH17_UP	-0.223	-0.622	-0.622	-0.223	2.884	-0.622	-0.622	-0.622	-0.223	-0.223	2.057
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	-0.929	0.557	1.237	-0.283	0.320	1.237	0.320	-1.625	-1.625	1.237	-0.946
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.630	-1.984	-0.406	0.358	-0.251	1.044	1.044	1.044	0.772	0.358	-2.929
GSE3982_EOSINOPHIL_VS_MAC_DN GSE3982_EOSINOPHIL_VS_MAC_DN	-1.372	-0.536	1.028	1.028	-2.172	0.287	1.028	-0.316	-1.372	1.382	0.277
GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP	2.171	2.171	-0.929	-0.526	0.557	-1.625	-0.929	-0.283	-0.526	-0.526	0.544
GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP	-1.835	-0.653	0.239	0.239	0.239	0.432	-0.653	1.385	0.688	1.821	-1.858
GSE42724_MEMORY_VS_B1_BCELL_UP GSE42724_MEMORY_VS_B1_BCELL_UP	-0.477	-1.541	-0.864	-1.541	0.617	0.947	-0.249	-0.249	1.345	1.808	-0.489
GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	0.424	0.424	0.262	-0.841	1.911	0.886	0.632	0.632	-0.841	-1.253	-2.757
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	1.526	0.215	-0.408	2.032	-1.415	-0.767	-1.415	0.215	0.428	0.720	-0.781
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	-0.913	-0.913	0.877	-0.913	0.877	0.492	0.877	0.877	0.492	-0.913	-0.925
GSE24210_RESTING_TREG_VS_TCONV_UP GSE24210_RESTING_TREG_VS_TCONV_UP	-2.679	-0.329	0.274	0.917	-1.222	0.442	0.442	1.223	-1.222	1.572	-0.341
GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN	0.372	-0.521	-0.521	2.167	-1.080	-0.521	-0.521	1.590	-1.080	1.095	-0.531
GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_UP	0.347	-1.122	-1.122	1.038	-1.122	0.347	0.647	1.038	-1.122	-0.259	1.020
GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP	-0.385	2.114	0.758	-0.736	0.231	-0.736	-1.373	-0.385	-1.373	1.139	0.742
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	-0.926	-0.926	0.258	1.291	0.258	-0.580	0.669	2.110	0.669	-2.256	-0.595
