GO	[-4.16 -0.18]	[-0.18 -0.11]	[-0.11 -0.07]	[-0.07 -0.04]	[-0.04 -0.02]	[-0.02 0.00]	[0.00 0.03]	[0.03 0.06]	[0.06 0.10]	[0.10 0.17]	[0.17 2.76]
MIR22_5P MIR22_5P	-1.101	1.813	1.813	-1.841	-0.656	0.684	1.379	-0.376	-0.656	0.237	-1.800
MIR4735_3P MIR4735_3P	-0.835	-1.504	1.872	1.397	-0.235	-0.235	-1.504	-1.504	-0.457	1.397	0.671
MIR6513_3P MIR6513_3P	-0.302	0.526	1.182	-0.967	0.300	-0.302	-1.672	0.821	-1.672	2.627	-0.938
MIR548AU_3P MIR548AU_3P	0.451	0.451	-0.357	3.534	-0.357	0.716	-0.357	0.252	-1.799	-1.799	-0.606
MIR193A_3P_MIR193B_3P MIR193A_3P_MIR193B_3P	1.058	3.035	-0.791	-0.791	-0.326	0.608	-0.791	-0.791	-0.791	0.278	0.288
MIR6728_3P MIR6728_3P	1.509	2.695	0.345	-1.126	-0.553	-0.261	-0.261	0.644	-1.126	-1.126	-0.536
MIR3128 MIR3128	0.860	1.232	-0.934	0.860	-0.934	0.860	-1.630	-0.934	1.668	-0.934	-0.508
MIR7112_3P MIR7112_3P	-0.301	1.370	-0.301	2.478	-1.210	0.301	-1.210	0.301	0.571	-1.210	-0.595
MIR3925_3P MIR3925_3P	0.571	2.478	0.301	0.301	-1.210	0.929	-1.210	0.301	-0.301	-1.210	-0.595
MIR331_5P MIR331_5P	0.654	-0.749	-0.299	-0.749	2.410	-0.749	0.654	-0.749	0.654	-0.749	0.313
MIR3670 MIR3670	0.475	-0.541	1.605	-0.541	-0.541	2.377	-0.177	-0.541	-0.541	-0.541	-0.171
