GO	[-2.11 -0.35]	[-0.35 -0.22]	[-0.22 -0.14]	[-0.14 -0.08]	[-0.08 -0.03]	[-0.03 0.02]	[0.02 0.07]	[0.07 0.13]	[0.13 0.21]	[0.21 0.33]	[0.33 4.12]
KARLSSON_TGFB1_TARGETS_UP KARLSSON_TGFB1_TARGETS_UP	-0.695	-0.695	-0.695	-2.467	-0.260	-0.695	-2.467	0.544	1.821	2.254	2.211
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN	1.980	0.609	0.324	-0.581	-0.581	-1.164	-1.164	-1.164	1.980	0.984	-1.179
KEGG_PURINE_METABOLISM KEGG_PURINE_METABOLISM	-0.259	-1.122	-0.259	1.038	-0.259	2.071	1.514	-1.122	0.347	-1.122	-1.137
PID_SMAD2_3NUCLEAR_PATHWAY PID_SMAD2_3NUCLEAR_PATHWAY	1.311	0.886	-1.247	-1.247	0.886	1.813	-1.247	-0.642	-0.642	0.283	-0.328
BROWNE_HCMV_INFECTION_30MIN_DN BROWNE_HCMV_INFECTION_30MIN_DN	-0.218	-1.457	0.404	-0.431	0.404	0.404	-1.457	0.404	0.404	-1.457	3.080
PID_CXCR4_PATHWAY PID_CXCR4_PATHWAY	-1.541	0.947	-0.864	2.333	0.617	0.360	-1.541	0.617	-0.864	-0.477	0.350
BROWNE_HCMV_INFECTION_12HR_UP BROWNE_HCMV_INFECTION_12HR_UP	-0.747	-0.298	-0.747	1.723	-0.747	-0.298	-0.747	-0.747	0.657	1.723	0.646
HENDRICKS_SMARCA4_TARGETS_UP HENDRICKS_SMARCA4_TARGETS_UP	-0.414	0.211	0.211	-0.414	-0.414	-0.414	-0.414	4.091	-0.414	-0.414	0.633
BURTON_ADIPOGENESIS_8 BURTON_ADIPOGENESIS_8	-0.622	1.391	0.397	-0.622	-0.223	2.884	-0.622	-0.622	-0.223	-0.622	-0.227
REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX	-0.580	-0.580	1.495	-0.580	0.435	0.435	2.223	-0.199	-0.580	-0.580	-0.588
NICK_RESPONSE_TO_PROC_TREATMENT_DN NICK_RESPONSE_TO_PROC_TREATMENT_DN	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	2.461	1.532	-0.335
LANDIS_BREAST_CANCER_PROGRESSION_DN LANDIS_BREAST_CANCER_PROGRESSION_DN	-0.373	-0.373	0.240	-0.373	-0.373	-0.373	0.713	-0.373	-0.373	3.259	0.236
