GO	[-2.64 -0.21]	[-0.21 -0.13]	[-0.13 -0.08]	[-0.08 -0.05]	[-0.05 -0.01]	[-0.01 0.01]	[0.01 0.05]	[0.05 0.09]	[0.09 0.14]	[0.14 0.22]	[0.22 1.47]
GOBP_RESPONSE_TO_IONIZING_RADIATION GOBP_RESPONSE_TO_IONIZING_RADIATION	-1.839	1.004	1.816	2.305	-0.655	0.238	-0.655	-1.839	0.238	-0.375	-0.368
GOBP_PROTEIN_METHYLATION GOBP_PROTEIN_METHYLATION	0.238	2.305	-1.099	-1.099	0.238	1.004	0.686	-0.375	1.004	-1.099	-1.822
GOCC_GOLGI_CISTERNA_MEMBRANE GOCC_GOLGI_CISTERNA_MEMBRANE	-0.464	-0.204	-0.999	-0.464	-0.999	-0.464	-0.999	0.773	-0.204	1.218	3.097
GOCC_CIS_GOLGI_NETWORK GOCC_CIS_GOLGI_NETWORK	0.255	0.566	-0.352	-0.832	-0.832	-0.352	-0.832	0.255	-0.832	0.566	3.725
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION GOBP_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	-0.873	3.526	-0.873	-0.379	-0.873	0.526	0.526	-0.873	0.235	0.235	0.238
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	1.635	1.319	1.319	0.579	0.404	-0.511	-1.444	-0.741	-2.666	0.265	-0.726
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	2.213	1.108	1.804	0.237	0.388	-0.895	-1.319	-0.377	-1.319	-1.319	-0.368
GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	1.059	-0.790	0.278	1.059	-0.790	-0.790	-0.790	-0.790	0.278	0.278	1.634
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	0.609	-0.325	-0.790	0.609	0.278	-0.790	-0.790	-0.325	-0.790	3.038	0.282
GOMF_DNA_POLYMERASE_BINDING GOMF_DNA_POLYMERASE_BINDING	0.239	-0.373	4.450	0.239	-0.373	-0.373	0.239	-0.373	-0.373	-0.373	-0.370
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	-0.415	2.988	0.211	1.258	-0.415	-0.415	0.211	-0.415	-0.415	-0.415	-0.411
GOCC_GOLGI_CIS_CISTERNA GOCC_GOLGI_CIS_CISTERNA	-0.332	-0.332	-0.332	-0.332	0.272	-0.332	-0.332	-0.332	-0.332	0.795	3.592
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	0.712	-0.373	-0.373	-0.373	0.239	-0.373	-0.373	-0.373	-0.373	0.239	3.273
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.239	-0.373	0.239	3.255	0.717
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.712	-0.373	3.255	-0.373	0.239	-0.373	-0.373	-0.373	0.239	-0.373	-0.370
GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	0.312	0.312	3.967	-0.288
GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	-0.290	-0.290	0.312	0.312	-0.290	-0.290	-0.290	-0.290	-0.290	3.967	-0.288
GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS	-0.415	-0.415	0.640	0.211	-0.415	-0.415	1.258	-0.415	-0.415	-0.415	2.057
GOMF_ANTIPORTER_ACTIVITY GOMF_ANTIPORTER_ACTIVITY	-0.332	2.458	-0.332	-0.332	0.795	-0.332	-0.332	0.795	-0.332	-0.332	-0.329
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	-0.373	2.234	-0.373	-0.373	0.239	-0.373	-0.373	-0.373	-0.373	0.239	1.393
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	-0.249	-0.249	3.063	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	1.021
