GO	[-3.28 -0.32]	[-0.32 -0.20]	[-0.20 -0.13]	[-0.13 -0.07]	[-0.07 -0.03]	[-0.03 0.02]	[0.02 0.06]	[0.06 0.12]	[0.12 0.19]	[0.19 0.32]	[0.32 2.54]
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.045	-0.786	-0.270	-1.268	0.334	4.178	1.532	1.149	-0.786	-1.268	-0.485
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	4.141	0.564	-0.390	0.799	0.373	-0.917	-0.917	-2.849	-0.609	-1.345	1.049
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	-0.913	-0.913	-0.406	1.946	1.365	0.217	0.492	-0.913	-0.913	1.365	-0.925
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	4.176	-0.551	-1.122	-0.551	0.647	-0.551	1.038	-0.259	-0.259	-0.551	-1.137
WP_CHOLESTEROL_METABOLISM_INCLUDES_BOTH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS WP_CHOLESTEROL_METABOLISM_INCLUDES_BOTH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS	1.495	2.223	0.894	-0.580	-0.580	-0.580	0.435	-0.580	-0.580	-0.580	-0.588
GALE_APL_WITH_FLT3_MUTATED_UP GALE_APL_WITH_FLT3_MUTATED_UP	-1.122	2.702	-1.122	0.647	1.514	0.347	-0.551	-1.122	-0.259	-0.259	-0.561
TSENG_IRS1_TARGETS_UP TSENG_IRS1_TARGETS_UP	2.071	-1.122	-1.122	-0.551	0.647	-0.551	2.071	-0.259	-0.259	0.347	-1.137
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	-1.302	-0.285	1.480	0.524	0.788	-1.302	-0.814	1.107	-2.087	0.788	0.308
GROSS_HYPOXIA_VIA_ELK3_DN GROSS_HYPOXIA_VIA_ELK3_DN	3.598	-0.673	-0.341	-0.673	-1.289	-0.341	0.510	0.264	0.510	0.510	-1.306
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	-0.872	0.236	-0.378	0.934	1.444	-0.872	0.236	-0.872	2.051	-0.872	-0.386
FIRESTEIN_PROLIFERATION FIRESTEIN_PROLIFERATION	-0.432	-1.199	-0.432	1.238	1.641	0.601	-1.199	-1.961	-0.432	0.371	1.212
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	-0.351	0.567	-0.351	-0.830	-0.830	0.567	-0.830	1.530	-0.351	2.164	-0.841
MORI_PLASMA_CELL_UP MORI_PLASMA_CELL_UP	-0.176	-0.539	-0.539	-0.539	-0.539	-0.539	0.477	2.382	-0.539	1.610	-0.180
DURAND_STROMA_NS_UP DURAND_STROMA_NS_UP	-0.663	0.363	-0.663	-0.247	-0.247	-0.663	-0.663	0.764	-0.663	0.764	2.686
WP_PRADERWILLI_AND_ANGELMAN_SYNDROME WP_PRADERWILLI_AND_ANGELMAN_SYNDROME	-0.373	-0.373	-0.373	1.386	-0.373	1.386	-0.373	1.386	-0.373	-0.373	-0.378
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	2.461	0.796	-0.331	-0.331	-0.331	-0.331	0.796	-0.331	-0.331	-0.331	-0.335
