GO	[-3.28 -0.32]	[-0.32 -0.20]	[-0.20 -0.13]	[-0.13 -0.07]	[-0.07 -0.03]	[-0.03 0.02]	[0.02 0.06]	[0.06 0.12]	[0.12 0.19]	[0.19 0.32]	[0.32 2.54]
GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.756	-2.129	-2.129	-2.129	-0.300	-0.515	1.067	2.307	-0.515	0.302	1.809
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN	-2.594	-0.491	-0.767	-0.767	0.708	4.707	0.982	0.982	-0.767	-1.161	-0.505
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	-1.233	-2.003	1.193	-1.233	0.352	0.855	-0.452	-2.003	1.585	1.585	0.341
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	3.502	0.265	0.265	0.414	0.414	0.265	0.414	-3.189	-1.599	-1.599	0.810
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP	0.318	0.788	-0.285	-1.302	-0.285	-2.087	2.897	-0.494	-0.814	-1.302	2.336
GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_DN GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_DN	-0.673	-0.673	-1.289	0.841	-0.673	2.291	1.735	-1.289	0.510	0.510	-1.306
GSE22886_NEUTROPHIL_VS_DC_DN GSE22886_NEUTROPHIL_VS_DC_DN	0.406	-0.569	1.860	1.860	1.483	-0.359	0.250	-1.283	-0.569	-0.866	-2.800
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	0.334	1.966	-0.786	-0.473	-2.045	-0.270	0.549	-0.473	-1.268	-0.473	2.933
GSE16385_IL4_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP GSE16385_IL4_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP	-0.406	1.358	0.772	1.044	0.543	1.044	-2.891	-0.251	-0.251	-0.943	-2.016
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_RAG2_KO_NK_CELL_DN GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_RAG2_KO_NK_CELL_DN	-0.864	-0.477	-0.249	0.947	-0.864	4.247	0.617	-1.541	-0.249	-0.864	-0.257
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_UP GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_UP	-1.793	-0.627	-1.793	0.720	0.254	-0.354	2.387	-1.063	0.720	0.720	0.442
GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN	-0.336	-0.601	0.754	0.269	0.269	3.034	-1.029	-0.601	-1.029	1.494	-1.773
GSE15659_CD45RA_NEG_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_DN GSE15659_CD45RA_NEG_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_DN	0.303	-1.206	-1.206	1.375	0.933	0.303	-1.206	1.375	0.303	0.303	-1.221
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN	0.417	-0.365	0.642	0.642	0.245	-2.298	-0.365	2.049	-2.298	0.642	-0.377
GSE15215_CD2_POS_VS_NEG_PDC_DN GSE15215_CD2_POS_VS_NEG_PDC_DN	-2.094	0.315	2.361	-1.022	2.809	-0.456	-0.456	0.484	-0.694	-0.694	-0.299
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN	-0.704	-0.704	-1.331	-0.704	0.247	-1.331	0.481	2.804	0.247	1.193	0.470
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP	0.283	-1.247	0.541	0.886	-1.247	-0.642	-0.642	0.541	1.813	0.886	-1.264
GSE43955_1H_VS_10H_ACT_CD4_TCELL_DN GSE43955_1H_VS_10H_ACT_CD4_TCELL_DN	-1.289	2.912	-0.673	0.841	-0.341	-0.673	0.510	0.510	0.510	-0.673	-1.306
GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN	-0.502	-1.583	0.904	-0.266	0.904	-0.502	0.339	-0.896	-0.502	-0.896	3.395
GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP	0.877	-0.406	0.877	0.217	0.877	-0.913	1.946	-0.913	-0.913	-0.406	-0.925
