GO	[-1.96 -0.23]	[-0.23 -0.14]	[-0.14 -0.09]	[-0.09 -0.06]	[-0.06 -0.02]	[-0.02 0.02]	[0.02 0.05]	[0.05 0.09]	[0.09 0.15]	[0.15 0.23]	[0.23 3.36]
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	-1.417	-0.769	-1.417	1.085	3.919	0.427	0.427	0.215	-0.409	-1.417	0.215
GOBP_LIPID_PHOSPHORYLATION GOBP_LIPID_PHOSPHORYLATION	-0.748	0.304	0.304	4.090	0.656	-0.748	-0.748	-0.748	-0.298	0.304	-0.748
HP_CONTRACTURES_OF_THE_JOINTS_OF_THE_LOWER_LIMBS HP_CONTRACTURES_OF_THE_JOINTS_OF_THE_LOWER_LIMBS	-0.455	-1.501	-0.455	-1.501	0.380	0.648	-0.234	1.877	-0.833	2.416	-0.455
HP_PROPORTIONATE_SHORT_STATURE HP_PROPORTIONATE_SHORT_STATURE	-1.459	1.036	-1.459	-0.219	0.403	-0.432	-0.219	1.952	-1.459	0.682	0.403
GOMF_POLY_PYRIMIDINE_TRACT_BINDING GOMF_POLY_PYRIMIDINE_TRACT_BINDING	-0.199	-0.581	-0.581	-0.581	1.493	1.493	1.493	-0.581	-0.581	-0.199	-0.581
GOBP_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION GOBP_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION	-0.664	0.362	0.362	3.580	0.362	-0.664	-0.664	-0.664	-0.248	0.362	-0.664
HP_DEEPLY_SET_EYE HP_DEEPLY_SET_EYE	-0.302	3.010	-1.731	0.479	0.479	-1.164	1.300	0.301	-0.769	-0.302	-1.164
HP_ANKLE_FLEXION_CONTRACTURE HP_ANKLE_FLEXION_CONTRACTURE	-0.176	-0.539	-0.539	-0.539	-0.539	1.608	0.476	2.380	-0.176	-0.539	-0.539
HP_BRADYKINESIA HP_BRADYKINESIA	-0.298	-0.748	-0.748	0.304	-0.748	0.656	3.205	0.656	-0.298	-0.748	-0.298
HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION	-0.789	-0.789	-0.325	0.609	-0.325	0.279	0.609	0.279	-0.789	3.040	-0.789
HP_MELANOCYTIC_NEVUS HP_MELANOCYTIC_NEVUS	-0.539	1.608	-0.539	0.969	-0.539	-0.539	-0.176	-0.539	1.608	-0.176	-0.539
