GO	[-6.29 -0.68]	[-0.68 -0.16]	[-0.16 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.35]	[0.35 1.02]	[1.02 4.75]
GOBP_LAMELLIPODIUM_ORGANIZATION GOBP_LAMELLIPODIUM_ORGANIZATION	-0.613	0.572	-0.613	-0.613	7.385	-0.301	-1.208	-0.613	-0.613	-0.301	-0.296
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	2.726	2.271	-1.879	0.853	-1.288	0.248	-1.879	-1.288	0.248	-0.571	0.619
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	1.059	3.885	-0.790	0.609	-0.790	-0.790	0.278	-0.790	-0.325	-0.790	-0.321
GOBP_CELL_MATURATION GOBP_CELL_MATURATION	-0.435	-0.957	1.845	-0.957	-0.435	0.822	1.287	-0.957	-0.435	-0.957	1.301
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	-0.623	0.396	-0.623	-0.223	-0.623	0.396	2.880	-0.623	-0.623	-0.623	1.400
GOBP_LIPID_PHOSPHORYLATION GOBP_LIPID_PHOSPHORYLATION	-0.299	-0.748	0.655	-0.748	-0.748	-0.299	-0.299	0.655	0.303	3.203	-0.742
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III	-0.457	3.778	0.187	-0.457	-0.457	-0.457	0.187	-0.457	-0.457	0.187	0.583
GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.640	0.211	-0.415	2.988	-0.415	-0.415	0.640	-0.415	-0.415	-0.415	-0.411
GOBP_EMBRYONIC_HEART_TUBE_MORPHOGENESIS GOBP_EMBRYONIC_HEART_TUBE_MORPHOGENESIS	-0.415	-0.415	-0.415	0.211	0.211	0.211	-0.415	0.211	-0.415	-0.415	4.108
GOCC_COHESIN_COMPLEX GOCC_COHESIN_COMPLEX	-0.332	-0.332	-0.332	0.272	-0.332	-0.332	-0.332	-0.332	2.458	-0.332	1.540
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	-0.332	2.458	-0.332	0.795	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	0.801
GOCC_GOLGI_CIS_CISTERNA GOCC_GOLGI_CIS_CISTERNA	-0.332	-0.332	-0.332	-0.332	0.795	-0.332	2.458	0.795	-0.332	-0.332	-0.329
GOBP_REGULATION_OF_HISTONE_H3_K9_METHYLATION GOBP_REGULATION_OF_HISTONE_H3_K9_METHYLATION	-0.332	-0.332	0.272	0.272	-0.332	3.574	-0.332	-0.332	-0.332	0.272	-0.329
