GO	[-2.13 -0.33]	[-0.33 -0.22]	[-0.22 -0.15]	[-0.15 -0.10]	[-0.10 -0.04]	[-0.04 0.02]	[0.02 0.07]	[0.07 0.14]	[0.14 0.22]	[0.22 0.38]	[0.38 2.90]
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	0.249	-1.285	-2.767	-0.570	0.249	-0.360	-0.360	0.406	-0.868	0.607	6.184
GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP	-1.920	-1.166	-0.706	-0.228	-0.228	-1.920	-0.228	2.163	-0.228	0.389	3.229
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN	-0.602	-0.602	-1.030	-0.602	-1.752	0.753	-1.030	-0.336	0.753	0.753	4.295
GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_DN GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_DN	-0.478	-1.542	-1.542	-0.865	-0.865	-0.478	0.616	-0.250	0.616	2.331	2.319
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_DN GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_DN	-2.300	-0.366	-0.956	-0.956	-0.956	0.641	-0.604	0.416	0.416	2.047	2.501
GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP	-0.342	-0.527	0.603	-1.601	-0.783	-0.342	-1.601	-0.342	-0.342	0.833	5.121
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN	-0.706	-1.166	-0.706	-0.228	0.389	-0.706	-0.228	-0.706	-0.413	0.389	5.937
GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP	-0.393	0.410	0.965	-0.680	-1.132	-0.393	-0.680	0.410	-1.878	0.225	3.948
GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP	-0.473	-0.787	-0.787	-2.047	-0.271	-0.473	1.148	0.334	-0.271	-0.271	4.155
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN	-0.393	-1.132	-0.680	-1.878	-0.393	0.225	-0.393	0.225	0.965	0.410	3.948
GSE18893_TCONV_VS_TREG_24H_CULTURE_DN GSE18893_TCONV_VS_TREG_24H_CULTURE_DN	-0.318	-0.997	-0.997	-0.997	0.502	-0.318	-1.710	0.284	1.550	0.502	2.534
GSE25677_MPL_VS_R848_STIM_BCELL_DN GSE25677_MPL_VS_R848_STIM_BCELL_DN	0.288	-3.107	-0.491	-1.077	-1.077	0.447	0.647	0.447	0.288	0.888	2.231
GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_DN GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_DN	-0.956	-2.300	-0.604	-0.604	0.245	-0.366	-0.604	0.641	0.416	2.047	2.034
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	0.301	-0.963	-1.668	-0.551	-0.963	0.824	0.529	0.301	-0.963	0.824	2.620
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_DN GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_DN	-0.366	-1.479	-1.479	-0.604	0.641	-0.604	0.641	0.245	-0.956	2.047	2.034
