GO	[-2.13 -0.33]	[-0.33 -0.22]	[-0.22 -0.15]	[-0.15 -0.10]	[-0.10 -0.04]	[-0.04 0.02]	[0.02 0.07]	[0.07 0.14]	[0.14 0.22]	[0.22 0.39]	[0.39 2.90]
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	1.285	2.811	2.244	0.584	-0.267	-0.899	-0.267	-1.586	-1.586	-1.586	-1.566
RHODES_CANCER_META_SIGNATURE RHODES_CANCER_META_SIGNATURE	0.323	4.823	0.323	-0.280	-0.280	0.607	-1.167	-1.167	-0.583	-0.280	-1.151
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	-0.832	2.159	0.255	-0.352	-0.352	-0.832	-0.352	-0.832	-0.832	0.255	2.916
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE	0.706	2.553	-0.273	1.827	-0.273	-0.707	-0.707	-0.707	-0.273	-0.707	-0.698
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2 BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	4.014	0.456	0.198	0.822	-0.957	-0.957	-0.957	-0.436	0.198	-0.436	-0.427
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	-1.107	-1.107	-2.212	-0.511	-0.330	1.132	0.274	-0.511	1.132	0.274	3.131
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-2.138	-1.508	-1.053	-1.053	-0.303	0.463	0.299	1.201	0.463	1.894	1.233
HUTTMANN_B_CLL_POOR_SURVIVAL_DN HUTTMANN_B_CLL_POOR_SURVIVAL_DN	-0.748	-0.748	-0.748	-0.748	-0.748	1.131	0.303	-0.299	0.655	2.411	0.309
GRABARCZYK_BCL11B_TARGETS_DN GRABARCZYK_BCL11B_TARGETS_DN	0.211	-0.415	0.211	-0.415	-0.415	-0.415	-0.415	-0.415	-0.415	0.640	4.116
NADLER_OBESITY_DN NADLER_OBESITY_DN	-0.415	2.987	0.211	-0.415	-0.415	-0.415	0.640	-0.415	-0.415	0.640	-0.410
BOYAULT_LIVER_CANCER_SUBCLASS_G2 BOYAULT_LIVER_CANCER_SUBCLASS_G2	-0.332	-0.332	-0.332	-0.332	0.272	0.272	-0.332	3.573	-0.332	-0.332	0.276
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP	-0.249	3.062	-0.249	-0.249	1.014	-0.249	-0.249	-0.249	-0.249	-0.249	-0.246
