GO	[-4.65 -0.85]	[-0.85 -0.28]	[-0.28 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.72]	[0.72 5.95]
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	-1.583	-0.502	2.250	2.818	-0.896	0.339	-0.266	-0.266	-0.502	0.339	-1.603
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP	1.311	0.541	-1.247	-0.642	-0.642	1.311	-1.247	1.813	-1.247	-0.642	0.530
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP	-0.336	0.754	-1.029	0.754	-0.601	-1.751	-1.751	0.478	2.467	1.093	-0.614
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_DN GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_DN	-0.705	1.285	0.928	1.699	-1.164	-0.705	-0.705	-1.164	-1.919	1.285	0.613
GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN	1.126	1.126	0.567	0.363	-0.247	0.363	-2.425	-0.247	1.126	-2.425	-1.064
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP	-0.814	-0.814	-2.087	2.377	1.107	0.788	1.107	-0.814	-1.302	-0.285	0.308
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP	-1.583	-0.896	-0.266	-0.266	0.339	1.740	0.339	-0.896	3.442	-0.896	-0.513
GSE17721_CTRL_VS_LPS_8H_BMDC_UP GSE17721_CTRL_VS_LPS_8H_BMDC_UP	1.439	0.454	1.049	-1.793	-1.063	0.454	2.387	-0.627	-0.627	-1.063	-0.641
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	0.258	0.258	-0.348	-0.926	0.437	-2.256	1.291	0.437	0.954	1.291	-2.285
GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP	-0.648	0.591	0.853	-0.648	2.382	-2.383	-0.648	-1.549	-0.234	0.591	0.832
