GO	[-2.86 -0.23]	[-0.23 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.02]	[-0.02 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.15]	[0.15 0.23]	[0.23 1.86]
ZNF547_TARGET_GENES ZNF547_TARGET_GENES	0.370	2.815	1.092	-1.082	-1.082	-0.241	-0.523	-1.082	-0.241	-1.082	1.104
MIR183_3P MIR183_3P	-0.708	-0.228	-0.708	-1.923	-1.923	0.388	0.388	1.281	1.281	1.694	-0.406
MIR103A_1_5P MIR103A_1_5P	-0.899	-1.586	-1.586	-0.267	-0.267	-0.267	0.338	2.812	-0.267	1.735	-0.262
MIR6884_5P MIR6884_5P	0.301	0.301	-1.670	1.607	0.823	0.823	-1.670	-0.301	0.528	-1.670	0.307
GGCACTT_MIR519E GGCACTT_MIR519E	-0.769	-1.418	-0.409	-0.409	-0.409	0.427	1.084	0.215	3.227	-1.418	0.434
MIR6818_5P MIR6818_5P	-0.957	-0.435	-0.957	-0.435	0.199	0.199	-0.957	4.016	0.822	0.199	0.202
MIR4428 MIR4428	-1.376	0.452	0.230	0.230	0.755	-0.387	-0.738	-0.738	3.342	0.452	-1.364
MIR1178_3P MIR1178_3P	-0.999	-0.204	-0.999	0.773	-0.464	-0.999	1.218	0.426	1.753	-0.999	0.432
DR3_Q4 DR3_Q4	-1.208	0.572	-1.208	1.372	0.572	-0.301	0.301	-0.301	1.890	-1.208	-0.605
MIR508_3P MIR508_3P	0.370	-1.082	-0.523	0.370	-0.241	0.685	-0.523	-1.082	-1.082	0.685	2.838
MIR339_5P MIR339_5P	-0.273	-0.706	-0.706	0.331	0.331	-0.706	0.331	-0.706	-0.706	2.554	1.220
RYTGCNNRGNAAC_MIF1_01 RYTGCNNRGNAAC_MIF1_01	-0.200	1.492	-0.581	1.492	-0.581	0.892	-0.581	-0.581	-0.581	0.434	-0.576
MIR4529_5P MIR4529_5P	0.187	0.187	-0.457	-0.457	-0.457	-0.457	1.149	-0.457	0.187	-0.457	2.774
