GO	[-1.85 -0.28]	[-0.28 -0.14]	[-0.14 -0.06]	[-0.06 0.01]	[0.01 0.07]	[0.07 0.12]	[0.12 0.17]	[0.17 0.24]	[0.24 0.33]	[0.33 0.45]	[0.45 17.21]
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	0.300	7.980	5.462	-0.459	-0.963	-1.344	-0.675	-0.963	-1.344	-1.847	-2.513
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	-1.792	-0.330	1.940	-0.814	0.274	0.909	-1.792	-0.814	-0.529	0.909	1.566
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	-0.301	-0.961	0.821	-0.550	-0.301	-1.662	-0.550	-0.961	3.198	0.527	0.827
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	-0.663	0.762	-0.663	-0.663	1.293	-0.663	-0.663	0.362	0.362	-0.663	1.949
GOBP_CARDIAC_SEPTUM_DEVELOPMENT GOBP_CARDIAC_SEPTUM_DEVELOPMENT	-0.260	-1.121	1.506	-0.551	-1.121	-0.551	1.506	-0.260	-0.551	2.058	-0.548
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	-0.223	-0.622	-0.622	0.396	-0.622	-0.223	3.779	-0.622	-0.223	-0.622	0.827
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	0.821	-0.550	-0.961	-0.550	1.179	2.077	-1.662	-0.550	1.179	-0.301	-0.955
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	-1.247	-0.936	0.704	0.528	-0.496	2.012	0.704	0.380	0.260	0.704	-3.496
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	2.971	-0.301	0.301	-1.157	0.703	-0.490	0.301	0.478	-2.582	0.478	-0.759
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	-0.814	-1.217	0.440	1.555	0.440	-0.529	1.940	0.274	0.440	-0.330	-2.655
GOBP_NUCLEOSOME_ORGANIZATION GOBP_NUCLEOSOME_ORGANIZATION	-3.085	-1.070	-0.315	0.288	-0.490	0.445	1.474	1.827	0.445	0.445	-0.728
