GO	[-1.85 -0.29]	[-0.29 -0.14]	[-0.14 -0.06]	[-0.06 0.01]	[0.01 0.07]	[0.07 0.12]	[0.12 0.18]	[0.18 0.25]	[0.25 0.33]	[0.33 0.47]	[0.47 17.21]
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-0.965	4.907	1.904	1.624	0.311	0.311	-0.965	-0.407	-0.738	-3.020	-3.037
GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP	-0.462	0.273	-1.091	0.385	1.077	2.836	1.312	0.273	0.385	-1.402	-5.502
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP	-0.874	-1.771	0.339	1.923	0.952	-0.266	2.219	1.648	-0.504	-1.771	-3.307
GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP	2.011	-1.994	-0.256	2.011	-0.256	-0.757	-1.994	-0.757	-0.256	-0.256	1.177
GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_DN GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_DN	-1.569	-2.000	-0.254	1.836	2.485	0.488	1.548	-0.511	-0.697	-0.254	-2.013
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP	-3.585	-0.713	0.598	0.598	3.236	-0.713	-0.325	-0.325	1.059	0.278	-1.016
GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN	-2.453	0.787	0.787	0.346	-1.066	-1.066	0.346	3.201	0.542	-1.066	-0.438
GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_DN GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_DN	0.290	0.420	0.420	4.647	-0.312	0.420	0.578	-0.873	-0.636	-2.022	-2.034
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_48H_UP GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_48H_UP	-1.194	-0.431	1.230	0.599	0.599	0.370	-1.952	3.121	-0.431	-0.730	-1.200
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN	-2.758	0.251	1.118	1.661	-0.705	-0.357	-0.955	0.513	-1.659	2.311	0.248
GSE27786_NKTCELL_VS_MONO_MAC_UP GSE27786_NKTCELL_VS_MONO_MAC_UP	-0.968	-0.730	-0.968	0.999	0.460	-0.968	0.460	2.071	1.229	0.793	-3.268
GSE6092_B_BURGDOFERI_VS_B_BURGDORFERI_AND_IFNG_STIM_ENDOTHELIAL_CELL_DN GSE6092_B_BURGDOFERI_VS_B_BURGDORFERI_AND_IFNG_STIM_ENDOTHELIAL_CELL_DN	-0.492	-3.049	0.753	0.560	-0.492	-0.492	0.560	2.554	-0.698	-1.310	1.223
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	-0.427	-3.417	-0.635	0.681	0.914	1.183	1.826	-0.635	-0.914	0.485	-0.432
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	-0.472	-0.712	1.517	-0.712	-0.712	-0.301	-3.039	0.911	-0.472	1.517	1.185
GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP	2.470	0.675	-0.836	1.747	0.337	-1.571	0.337	-0.405	-2.108	0.489	-1.165
GSE12707_AT16L1_HYPOMORPH_VS_WT_THYMUS_DN GSE12707_AT16L1_HYPOMORPH_VS_WT_THYMUS_DN	-1.328	0.795	0.247	-0.363	-0.363	0.247	-0.703	-1.328	3.442	-0.703	0.791
GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN	-2.325	-0.256	0.479	1.480	0.631	-0.363	0.631	2.363	-0.363	-1.474	-1.873
GSE17721_CTRL_VS_LPS_1H_BMDC_UP GSE17721_CTRL_VS_LPS_1H_BMDC_UP	-1.799	-1.391	0.440	-1.391	0.440	1.493	0.596	2.100	0.991	-0.418	-1.402
GSE360_DC_VS_MAC_L_MAJOR_UP GSE360_DC_VS_MAC_L_MAJOR_UP	-1.812	1.151	-0.289	-0.289	-0.289	1.450	0.468	0.660	-0.289	0.468	-3.472
GSE360_DC_VS_MAC_T_GONDII_UP GSE360_DC_VS_MAC_T_GONDII_UP	-1.262	0.547	-0.270	-0.784	-1.262	0.816	2.424	1.519	-1.262	0.334	-0.789
