GO	[-6.80 -2.49]	[-2.49 -1.58]	[-1.58 -1.12]	[-1.12 -0.78]	[-0.78 0.58]	[0.58 0.96]	[0.96 1.41]	[1.41 2.66]	[2.66 4.30]	[4.30 4.97]	[4.97 20.81]
GO:0046907 intracellular transport	-1.246	1.803	-1.246	-1.246	-1.246	-1.246	0.540	0.882	0.882	-0.321	1.808
GO:0051015 actin filament binding	-0.735	0.230	3.326	-1.371	0.230	-1.371	0.755	-0.735	1.584	0.230	-1.368
GO:0043034 costamere	0.371	0.371	4.314	0.371	-1.080	-1.080	-0.521	-1.080	-0.241	-0.241	-0.240
GO:0070840 dynein complex binding	-0.664	0.362	2.703	-0.664	1.294	0.362	-0.664	0.362	-0.664	-0.664	-0.662
GO:0006816 calcium ion transport	-0.871	-0.379	-0.379	-0.871	-0.871	0.235	2.043	0.527	2.043	-0.871	0.236
GO:0007417 central nervous system development	0.371	-1.080	-0.241	-1.080	2.805	0.371	1.091	-0.521	-1.080	-0.521	0.373
GO:0045165 cell fate commitment	-0.331	-0.331	0.273	-0.331	-0.331	0.273	4.884	-0.331	-0.331	-0.331	-0.331
GO:0031648 protein destabilization	1.944	-0.664	-0.664	-0.248	1.294	-0.248	-0.664	-0.664	-0.248	-0.664	1.297
GO:0042276 error-prone translesion synthesis	-0.414	2.983	0.211	1.258	0.211	-0.414	-0.414	-0.414	-0.414	-0.414	-0.413
GO:0048666 neuron development	-0.176	0.968	-0.539	-0.176	1.605	1.605	-0.539	-0.539	-0.539	-0.539	-0.538
