GO	[-6.79 -2.43]	[-2.43 -1.57]	[-1.57 -1.12]	[-1.12 -0.78]	[-0.78 0.55]	[0.55 0.89]	[0.89 1.29]	[1.29 2.03]	[2.03 4.10]	[4.10 4.88]	[4.88 6.64]
GO_ACTIN_FILAMENT_BINDING GO_ACTIN_FILAMENT_BINDING	-0.798	-0.218	3.113	-1.454	0.404	-1.454	0.683	-0.798	1.460	0.404	-1.478
GO_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION GO_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	3.883	-0.787	-0.324	-0.787	0.279	0.610	-0.787	0.610	-0.787	0.279	-0.800
GO_TRNA_PROCESSING GO_TRNA_PROCESSING	1.875	-1.496	-1.496	0.381	0.649	0.649	0.649	-0.453	0.649	-1.496	-0.466
GO_DYNEIN_COMPLEX_BINDING GO_DYNEIN_COMPLEX_BINDING	-0.663	0.363	2.710	-0.663	1.297	0.363	-0.663	0.363	-0.663	-0.663	-0.674
GO_MRNA_3_END_PROCESSING GO_MRNA_3_END_PROCESSING	-0.270	-2.040	-0.270	0.549	-0.472	2.441	1.960	-0.784	0.335	-1.264	-0.488
GO_ALCOHOL_BIOSYNTHETIC_PROCESS GO_ALCOHOL_BIOSYNTHETIC_PROCESS	-0.477	-1.537	-0.862	-0.862	-0.249	0.360	-0.477	2.326	1.343	1.343	-0.881
GO_COSTAMERE GO_COSTAMERE	0.372	0.687	3.537	0.372	-1.079	-1.079	-0.520	-1.079	-0.240	-0.240	-0.248
GO_PROTEIN_DESTABILIZATION GO_PROTEIN_DESTABILIZATION	2.161	-0.829	-0.829	-0.351	1.529	0.257	-0.351	-0.829	-0.351	-0.829	0.976
GO_RAN_GTPASE_BINDING GO_RAN_GTPASE_BINDING	-0.672	0.510	-1.287	0.264	-1.287	-0.672	-0.672	1.249	0.840	-0.341	2.245
GO_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY GO_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	-0.538	-0.538	0.477	1.609	-0.538	1.609	0.477	-0.538	-0.176	-0.538	-0.547
