GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.39]	[0.39 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
GOBP_REGULATION_OF_MYELINATION GOBP_REGULATION_OF_MYELINATION	3.369	-0.272	-0.704	1.824	-0.272	0.332	-0.704	-0.272	-0.704	-0.704	-0.708
GOBP_VESICLE_CARGO_LOADING GOBP_VESICLE_CARGO_LOADING	-0.704	-0.704	-0.704	0.332	0.332	-0.704	-0.704	1.824	2.547	0.332	-0.708
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	-0.455	-0.455	-0.455	1.149	-0.455	-0.455	-0.455	3.768	0.579	-0.455	-0.458
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	-0.299	0.930	0.930	-0.610	-0.299	-0.610	-0.610	-1.202	-0.299	3.838	-1.208
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	-1.859	0.605	-0.566	0.250	2.690	0.605	0.406	-0.359	-0.359	-2.744	0.599
GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	0.457	-1.205	-0.625	4.601	-2.172	-0.432	0.313	0.457	0.457	-0.878	0.308
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	1.882	0.573	-0.610	1.368	0.303	-1.202	-1.202	-1.202	-0.610	0.573	0.300
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-0.363	-0.363	-0.888	-0.888	-0.673	0.351	2.041	1.477	2.041	-0.673	-2.339
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	0.968	-0.538	-0.538	-0.538	3.267	-0.538	-0.176	-0.176	-0.538	0.477	-0.541
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	-0.414	4.076	-0.414	0.211	-0.414	0.641	-0.414	-0.414	0.211	-0.414	-0.416
GOBP_REGULATION_OF_PROTEIN_SUMOYLATION GOBP_REGULATION_OF_PROTEIN_SUMOYLATION	-0.663	-0.663	-0.663	1.294	-0.247	-0.247	-0.663	0.362	2.701	-0.663	0.360
GOBP_REGULATORY_T_CELL_DIFFERENTIATION GOBP_REGULATORY_T_CELL_DIFFERENTIATION	-0.538	-0.176	-0.176	-0.176	-0.538	4.282	-0.538	-0.176	-0.538	0.477	-0.541
GOBP_REGULATION_OF_ANOIKIS GOBP_REGULATION_OF_ANOIKIS	0.396	-0.621	2.072	-0.223	-0.223	2.072	-0.621	-0.621	-0.223	-0.621	-0.624
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	0.236	-0.870	-0.378	0.527	2.732	-0.870	-0.378	1.438	-0.378	-0.378	-0.874
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	-0.704	1.824	-0.272	-0.272	-0.704	-0.272	0.332	-0.704	-0.272	-0.704	2.536
GOBP_NADH_METABOLIC_PROCESS GOBP_NADH_METABOLIC_PROCESS	-0.663	0.362	-0.247	-0.247	-0.663	-0.663	3.564	0.763	-0.247	-0.663	-0.249
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.211	-0.414	0.211	-0.414	0.211	-0.414	-0.414	4.076	-0.414	0.211	-0.416
