chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr2	113605403	113605452	1788465:Satellite:TAR1	0	-	113605403	113605452	0	1	50	0	20.0434251169673	0.0620420675373877
chr2	132352331	132352380	1800872:Satellite:TAR1	0	-	132352331	132352380	0	1	50	0	-2.39789527279837	0.303686883488201
chr20	29878428	29878527	2045713:Satellite:LSAU	0	+	29878428	29878527	0	1	100	0	3.36037538371404	0.199431342199887
chr21	10119321	10119370	2127128:Satellite:SST1	0	-	10119321	10119370	0	1	50	0	0.112477983426691	0.930537644404941
chr21	10120508	10120607	2150195:Satellite:GSATII	0	+	10120508	10120607	0	1	100	0	1.06784062990153	0.520135648955683
chr3	75670525	75670574	2288150:Satellite:LSAU	0	-	75670525	75670574	0	1	50	0	1.10512696347002	0.562413803451455
chr1	248946188	248946237	336505:Satellite:TAR1	0	+	248946188	248946237	0	1	50	0	-2.73002910782099	0.273677126204284
chr8	205845	205894	3483816:Satellite:TAR1	0	-	205845	205894	0	1	50	0	-2.73274281369258	0.327364239284553
chr9	41356794	41356843	3605074:Satellite:TAR1	0	-	41356794	41356843	0	1	50	0	-0.31508104664184	0.655181819355559
chr9	41357790	41357839	3605075:Satellite:GSATII	0	-	41357790	41357839	0	1	50	0	-1.60943791243419	0.0603165452767351
chr9	66267908	66267957	3608906:Satellite:TAR1	0	-	66267908	66267957	0	1	50	0	-0.428454626337454	0.566878678483833
chr9	40107625	40107724	3689378:Satellite:GSATII	0	+	40107625	40107724	0	1	100	0	-0.988611393453781	0.700293165554323
chr9	41359031	41359080	3690031:Satellite:SST1	0	+	41359031	41359080	0	1	50	0	-0.395895657092014	0.749702689871566
chr9	66270144	66270193	3693968:Satellite:SST1	0	+	66270144	66270193	0	1	50	0	-0.281412459438186	0.824239294622511
