chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr13	95110938	95110998	1000225:SINE:AluSx	0	+	95110938	95110998	0	1	61	0	-0.606135803570315	0.30999738753293
chr13	95855070	95855119	1000869:SINE:AluJb	0	+	95855070	95855119	0	1	50	0	-1.09861228917849	0.409122063998827
chr13	99185998	99186047	1003111:SINE:AluSx	0	+	99185998	99186047	0	1	50	0	1.60943791391813	0.263554986322901
chr13	99700373	99700422	1003462:SINE:AluSx	0	+	99700373	99700422	0	1	50	0	-1.07672956791291	0.5014518359025
chr13	100419292	100419341	1003959:SINE:AluSx	0	+	100419292	100419341	0	1	50	0	1.09861228917849	0.409123255361004
chr13	101301593	101301642	1004512:SINE:AluSx	0	+	101301593	101301642	0	1	50	0	-1.89417446758426	0.342936254297109
chr13	105056005	105056064	1006561:SINE:AluY	0	+	105056005	105056064	0	1	60	0	-3.44201937639666	0.0243883119464441
chr1	151465854	151465903	100675:SINE:AluSx	0	-	151465854	151465903	0	1	50	0	-0.839329690738026	0.746200801415773
chr13	110513428	110513477	1009563:SINE:AluSx	0	+	110513428	110513477	0	1	50	0	2.48490665410051	0.0883805762722737
chr1	151874427	151874526	101058:SINE:AluSx	0	-	151874427	151874526	0	1	100	0	-1.82454929205105	0.490378124298765
chr1	151874577	151874676	101058:SINE:AluSx	0	-	151874577	151874676	0	1	100	0	-1.93932033937761	0.00399988792538252
chr13	112707386	112707444	1010643:SINE:AluSx	0	+	112707386	112707444	0	1	59	0	-3.93182563751962	0.0454074909175582
chr13	113252456	113252576	1010865:SINE:AluJb	0	+	113252456	113252576	0	1	121	0	0.646627164925054	0.973090296647597
chr14	19081896	19081945	1011740:SINE:AluSx	0	+	19081896	19081945	0	1	50	0	0.212561441983673	0.865229652473749
chr14	19099735	19099884	1011752:SINE:AluJb	0	+	19099735	19099884	0	1	150	0	1.89651739372964	0.368145240906755
chr14	19099935	19100019	1011752:SINE:AluJb	0	+	19099935	19100019	0	1	85	0	-0.00722024797336937	0.966997997875752
chr14	19104901	19105050	1011756:SINE:7SLRNA	0	+	19104901	19105050	0	1	150	0	-1.74059422401149	0.0144105047014881
chr14	19105101	19105169	1011756:SINE:7SLRNA	0	+	19105101	19105169	0	1	69	0	1.70252833550011	0.543799309996149
chr14	19111286	19111381	1011769:SINE:AluY	0	+	19111286	19111381	0	1	96	0	-19.5984219589983	0.157409338375182
chr14	21745850	21745899	1013551:SINE:AluSx	0	+	21745850	21745899	0	1	50	0	1.79175946870831	0.0117301762471144
chr14	22771928	22772027	1014183:SINE:AluSx	0	+	22771928	22772027	0	1	100	0	-5.20948615283205	0.00846522123238711
chr14	22880531	22880580	1014294:SINE:AluJb	0	+	22880531	22880580	0	1	50	0	-0.945642943886682	0.732212271301186
chr14	22880631	22880725	1014294:SINE:AluJb	0	+	22880631	22880725	0	1	95	0	-1.04982212449868	0.642896227929499
chr14	22880834	22880883	1014295:SINE:AluSx	0	+	22880834	22880883	0	1	50	0	0.243823756551643	0.752213605389633
chr14	24444553	24444602	1015374:SINE:AluJb	0	+	24444553	24444602	0	1	50	0	2.0067397091337	0.00291651816445448
chr14	24444703	24444785	1015374:SINE:AluJb	0	+	24444703	24444785	0	1	83	0	-0.373601680060018	0.137998117000907
chr14	26484355	26484464	1016492:SINE:AluY	0	+	26484355	26484464	0	1	110	0	-4.15888308335967	0.0280069622630963
chr14	28132694	28132754	1017358:SINE:AluSx	0	+	28132694	28132754	0	1	61	0	1.31218639592542	0.343914262243147
chr14	29253905	29253962	1017928:SINE:AluY	0	+	29253905	29253962	0	1	58	0	2.30258509895146	0.0474112793132353
chr14	30902138	30902198	1018946:SINE:AluSx	0	+	30902138	30902198	0	1	61	0	0.470175317796228	0.144028142201255
chr14	34541538	34541587	1021411:SINE:MIRc	0	+	34541538	34541587	0	1	50	0	-0.843429383609284	0.734923702730955
chr14	34550883	34550942	1021426:SINE:AluY	0	+	34550883	34550942	0	1	60	0	1.89711998443151	0.196467582057642
chr1	153648544	153648593	102151:SINE:AluSx	0	-	153648544	153648593	0	1	50	0	-3.20960218808287	0.308614990256102
chr14	34659313	34659373	1021565:SINE:AluSx	0	+	34659313	34659373	0	1	61	0	-0.559615790393442	0.605603275878011
chr14	34707280	34707329	1021632:SINE:AluY	0	+	34707280	34707329	0	1	50	0	-0.559615790393442	0.605603275878008
chr14	39163143	39163192	1024783:SINE:AluY	0	+	39163143	39163192	0	1	50	0	1.23953962483837	0.509234729089585
chr14	43087251	43087300	1026740:SINE:AluY	0	+	43087251	43087300	0	1	50	0	3.25809653940662	0.0401071980529475
chr1	154212012	154212061	102702:SINE:AluSx	0	-	154212012	154212061	0	1	50	0	0.513618921671604	0.852188631413298
chr1	154212112	154212161	102702:SINE:AluSx	0	-	154212112	154212161	0	1	50	0	-1.57818536893	0.516696796320142
chr14	49855416	49855476	1030723:SINE:AluJb	0	+	49855416	49855476	0	1	61	0	-1.09861228839589	0.0472702612731419
chr14	50192077	50192126	1031033:SINE:AluJb	0	+	50192077	50192126	0	1	50	0	-1.01160091811109	0.455219510680129
chr14	50308311	50308360	1031188:SINE:AluSx	0	+	50308311	50308360	0	1	50	0	-1.46633706827368	0.0629109709595685
chr14	50967007	50967056	1031647:SINE:AluSx	0	+	50967007	50967056	0	1	50	0	-0.69314718051342	0.413134770909217
chr14	51589989	51590038	1032028:SINE:AluSx	0	+	51589989	51590038	0	1	50	0	2.96056152607236e-16	1
chr14	54506616	54506665	1034031:SINE:AluSx	0	+	54506616	54506665	0	1	50	0	-0.916290731874293	0.067423283143614
chr14	54966149	54966198	1034343:SINE:AluSx	0	+	54966149	54966198	0	1	50	0	-1.33760749739991	0.649285582219203
chr14	56654695	56654744	1035515:SINE:AluSx	0	+	56654695	56654744	0	1	50	0	-4.30406509321385	0.0248272530635496
chr14	60247600	60247657	1037866:SINE:AluY	0	+	60247600	60247657	0	1	58	0	-3.80666248976995	0.000191567397137216
chr14	61164328	61164386	1038389:SINE:AluSx	0	+	61164328	61164386	0	1	59	0	-1.79175947120739	0.294753268402098
chr14	63256910	63256963	1039690:SINE:AluSx	0	+	63256910	63256963	0	1	54	0	-0.69314718039892	0.412717579081205
chr14	63256894	63256943	1039691:SINE:AluSx	0	+	63256894	63256943	0	1	50	0	-0.69314718039892	0.412717579081205
chr1	155606248	155606297	103969:SINE:AluSx	0	-	155606248	155606297	0	1	50	0	0.287682072723628	0.70736849975425
chr14	64136260	64136314	1040504:SINE:AluSx	0	+	64136260	64136314	0	1	55	0	0.69314718039892	0.216429154341176
chr14	64573883	64573943	1040857:SINE:AluSx	0	+	64573883	64573943	0	1	61	0	0.470003629245735	0.251668583859066
chr14	69465945	69466003	1044468:SINE:AluY	0	+	69465945	69466003	0	1	59	0	-2.70805020621561	0.216122036491378
chr14	71252236	71252285	1045799:SINE:AluY	0	+	71252236	71252285	0	1	50	0	-1.60943791242473	0.113182545685405
chr14	71387069	71387118	1045899:SINE:AluSx	0	+	71387069	71387118	0	1	50	0	-0.810930215226399	0.466360424123007
chr14	72323746	72323795	1046457:SINE:AluSx	0	+	72323746	72323795	0	1	50	0	-0.210387158460042	0.283850995843991
chr14	72922511	72922606	1046940:SINE:AluSx	0	+	72922511	72922606	0	1	96	0	-1.09861228917849	0.409122063998827
chr14	73050200	73050260	1047110:SINE:AluSx	0	+	73050200	73050260	0	1	61	0	-0.405465108466885	0.738433928591043
chr14	73447059	73447108	1047485:SINE:AluSx	0	+	73447059	73447108	0	1	50	0	0.654532344432166	0.801001587395737
chr14	73885212	73885303	1047958:SINE:AluSx	0	+	73885212	73885303	0	1	92	0	-1.34602046198195	0.584390778521705
chr14	75838375	75838424	1049741:SINE:AluY	0	+	75838375	75838424	0	1	50	0	3.93182563272432	0.00952363979464199
chr14	76890875	76890924	1050666:SINE:AluSx	0	+	76890875	76890924	0	1	50	0	-0.705058537139638	0.642505883292227
chr14	77321804	77321899	1051012:SINE:AluY	0	+	77321804	77321899	0	1	96	0	-1.79175946921869	0.0518370294330488
chr14	77614929	77615020	1051299:SINE:AluSx	0	+	77614929	77615020	0	1	92	0	0.405465107947139	0.513057648222929
chr14	79445164	79445213	1052553:SINE:AluSx	0	+	79445164	79445213	0	1	50	0	1.6102566300878e-10	0.999999730973442
chr14	81481853	81481902	1053850:SINE:AluSx	0	+	81481853	81481902	0	1	50	0	-1.00994665158245	0.702760131404419
chr14	81616701	81616750	1053948:SINE:AluSx	0	+	81616701	81616750	0	1	50	0	-1.00994665158245	0.702760131404419
chr14	85676989	85677049	1056334:SINE:AluSx	0	+	85676989	85677049	0	1	61	0	3.06027079469156	0.0057398342364976
chr14	86173300	86173356	1056598:SINE:AluY	0	+	86173300	86173356	0	1	57	0	3.83586164446258	0.208235521743614
